Site,Ecosystem,Emirate,plot,depth (cm),section length (cm),total core length (cm), % loss on ignition (LOI), % total carbon (TC),% inorganic carbon (IC),% organic carbon (OC),% nitrogen (N),proportion TC,proportion IC,proportion OC,proportion N,dry bulk density (g/cm3),TC density (g/cm3),IC density (g/cm3),OC density (g/cm3),TC (g/cm2),IC (g/cm2),OC (g/cm2),TC (g/m2),IC    (g/m2),OC (g/m2),TC (Mg/ha),IC  (Mg/ha),OC (Mg/ha),notes,,
Khalba South,mangrove,Sharjah,1,0-15,15,137,7.237,2.17,0.16,2.00,,0.022,0.002,0.020,,0.954,0.021,0.002,0.019,0.310,0.023,0.287,3101.0,232.4,2868.6,31.01,2.32,28.69,,,
Khalba South,mangrove,Sharjah,1,15-30,15,,5.942,2.08,0.26,1.82,,0.021,0.003,0.018,,1.101,0.023,0.003,0.020,0.343,0.043,0.300,3430.9,431.6,2999.3,34.31,4.32,29.99,,,
Khalba South,mangrove,Sharjah,1,30-50,20,,5.471,2.44,0.82,1.61,,0.024,0.008,0.016,,1.513,0.037,0.012,0.024,0.737,0.250,0.488,7374.2,2496.0,4878.2,73.74,24.96,48.78,,,
Khalba South,mangrove,Sharjah,1,50-100,50,,4.229,3.49,1.67,1.81,,0.035,0.017,0.018,,1.461,0.051,0.024,0.026,2.547,1.223,1.324,25471.4,12230.6,13240.8,254.71,122.31,132.41,,,
Khalba South,mangrove,Sharjah,2,>100,18,,2.805,4.15,2.76,1.39,,0.041,0.028,0.014,,1.506,0.062,0.042,0.021,1.125,0.748,0.376,11248.1,7485.0,3763.1,112.48,74.85,37.63,,,
Khalba South,mangrove,Sharjah,2,0-15,15,118,9.386,2.37,1.27,1.10,,0.024,0.013,0.011,,0.630,0.015,0.008,0.007,0.224,0.120,0.104,2240.3,1202.3,1038.0,22.40,12.02,10.38,,,
Khalba South,mangrove,Sharjah,2,15-30,15,,10.399,1.65,0.29,1.36,,0.016,0.003,0.014,,0.772,0.013,0.002,0.011,0.191,0.033,0.158,1907.5,330.4,1577.1,19.07,3.30,15.77,,,
Khalba South,mangrove,Sharjah,2,30-50,20,,6.271,1.63,0.23,1.40,,0.016,0.002,0.014,,1.142,0.019,0.003,0.016,0.372,0.053,0.319,3716.0,530.9,3185.1,37.16,5.31,31.85,,,
Khalba South,mangrove,Sharjah,2,50-100,50,,2.636,2.18,0.88,1.29,,0.022,0.009,0.013,,1.632,0.036,0.014,0.021,1.777,0.721,1.056,17771.9,7209.2,10562.7,177.72,72.09,105.63,,,
Khalba South,mangrove,Sharjah,3,>100,106,,9.151,3.02,0.46,2.56,,0.030,0.005,0.026,,0.989,0.030,0.005,0.025,3.171,0.487,2.684,31708.2,4866.0,26842.2,317.08,48.66,268.42,,,
Khalba South,mangrove,Sharjah,3,0-15,15,206,9.026,2.35,0.04,2.31,,0.023,0.000,0.023,,0.864,0.020,0.000,0.020,0.304,0.005,0.300,3042.6,47.5,2995.1,30.43,0.48,29.95,,,
Khalba South,mangrove,Sharjah,3,15-30,15,,8.153,2.37,0.22,2.15,,0.024,0.002,0.021,,0.857,0.020,0.002,0.018,0.305,0.029,0.276,3051.9,289.3,2762.6,30.52,2.89,27.63,,,
Khalba South,mangrove,Sharjah,3,30-50,20,,7.778,2.28,0.11,2.17,,0.023,0.001,0.022,,1.092,0.025,0.001,0.024,0.498,0.024,0.474,4980.0,242.4,4737.6,49.80,2.42,47.38,,,
Khalba South,mangrove,Sharjah,3,50-100,50,,9.383,2.92,0.13,2.79,,0.029,0.001,0.028,,0.949,0.028,0.001,0.027,1.387,0.061,1.326,13872.0,610.2,13261.8,138.72,6.10,132.62,,,
Khalba South,mangrove,Sharjah,4,>100,46,,3.501,5.74,5.13,0.61,,0.057,0.051,0.006,,1.483,0.085,0.076,0.009,3.917,3.502,0.415,39169.5,35022.4,4147.1,391.70,350.22,41.47,,,
Khalba South,mangrove,Sharjah,4,0-15,15,146,10.026,2.59,0.04,2.56,,0.026,0.000,0.026,,0.776,0.020,0.000,0.020,0.302,0.004,0.297,3017.6,42.9,2974.7,30.18,0.43,29.75,,,
Khalba South,mangrove,Sharjah,4,15-30,15,,6.778,1.92,0.04,1.89,,0.019,0.000,0.019,,1.034,0.020,0.000,0.020,0.298,0.005,0.293,2982.5,54.6,2927.9,29.82,0.55,29.28,,,
Khalba South,mangrove,Sharjah,4,30-50,20,,9.287,2.75,0.28,2.47,,0.028,0.003,0.025,,0.898,0.025,0.003,0.022,0.495,0.051,0.444,4948.3,506.2,4442.1,49.48,5.06,44.42,,,
Khalba South,mangrove,Sharjah,4,50-100,50,,6.110,2.45,0.76,1.68,,0.024,0.008,0.017,,1.337,0.033,0.010,0.022,1.635,0.511,1.124,16345.8,5109.8,11236.0,163.46,51.10,112.36,,,
Khalba South,mangrove,Sharjah,5,>100,76,,4.882,4.06,0.44,3.62,,0.041,0.004,0.036,,1.365,0.055,0.006,0.049,4.207,0.456,3.752,42073.0,4557.5,37515.5,420.73,45.58,375.16,,,
Khalba South,mangrove,Sharjah,5,0-15,15,176,11.158,1.53,0.16,1.37,,0.015,0.002,0.014,,0.729,0.011,0.001,0.010,0.167,0.018,0.149,1672.7,179.0,1493.7,16.73,1.79,14.94,,,
Khalba South,mangrove,Sharjah,5,15-30,15,,9.654,2.20,0.08,2.12,,0.022,0.001,0.021,,0.764,0.017,0.001,0.016,0.252,0.009,0.243,2520.9,94.8,2426.1,25.21,0.95,24.26,,,
Khalba South,mangrove,Sharjah,5,30-50,20,,11.065,3.21,0.09,3.11,,0.032,0.001,0.031,,0.711,0.023,0.001,0.022,0.456,0.013,0.443,4560.0,130.6,4429.4,45.60,1.31,44.29,,,
Khalba South,mangrove,Sharjah,5,50-100,50,,5.566,5.34,5.20,0.14,,0.053,0.052,0.001,,1.459,0.078,0.076,0.002,3.895,3.790,0.105,38952.2,37897.9,1054.3,389.52,378.98,10.54,,,
Khalba South,mangrove,Sharjah,6,>100,78,,5.181,2.99,0.04,2.95,,0.030,0.000,0.029,,1.363,0.041,0.001,0.040,3.175,0.044,3.131,31748.4,438.3,31310.1,317.48,4.38,313.10,,,
Khalba South,mangrove,Sharjah,6,0-15,15,178,12.490,1.96,0.04,1.92,,0.020,0.000,0.019,,0.802,0.016,0.000,0.015,0.236,0.005,0.231,2357.8,45.1,2312.6,23.58,0.45,23.13,,,
Khalba South,mangrove,Sharjah,6,15-30,15,,9.196,2.61,0.03,2.58,,0.026,0.000,0.026,,0.672,0.018,0.000,0.017,0.263,0.003,0.260,2626.8,25.7,2601.1,26.27,0.26,26.01,,,
Khalba South,mangrove,Sharjah,6,30-50,20,,10.239,2.08,0.02,2.05,,0.021,0.000,0.021,,0.763,0.016,0.000,0.016,0.317,0.004,0.313,3165.0,37.4,3127.6,31.65,0.37,31.28,,,
Khalba South,mangrove,Sharjah,6,50-100,50,,4.685,1.71,0.16,1.56,,0.017,0.002,0.016,,1.497,0.026,0.002,0.023,1.283,0.116,1.166,12826.1,1161.8,11664.4,128.26,11.62,116.64,,,
Khalba West,mangrove,Sharjah,1,0-15,15,73,9.604,2.57,0.10,2.47,,0.026,0.001,0.025,,0.757,0.019,0.001,0.019,0.292,0.011,0.281,2915.4,108.9,2806.5,29.15,1.09,28.06,,,
Khalba West,mangrove,Sharjah,1,15-30,15,,7.578,2.37,0.12,2.25,,0.024,0.001,0.022,,1.117,0.026,0.001,0.025,0.397,0.020,0.376,3967.8,203.8,3764.0,39.68,2.04,37.64,,,
Khalba West,mangrove,Sharjah,1,30-50,20,,6.134,2.19,0.50,1.69,,0.022,0.005,0.017,,1.350,0.030,0.007,0.023,0.591,0.134,0.456,5907.3,1342.9,4564.5,59.07,13.43,45.64,,,
Khalba West,mangrove,Sharjah,1,50-100,23,,4.890,8.71,6.05,2.66,,0.087,0.061,0.027,,1.362,0.119,0.082,0.036,2.729,1.897,0.832,27290.0,18965.9,8324.1,272.90,189.66,83.24,,,
Khalba West,mangrove,Sharjah,2,0-15,15,58,6.817,2.67,0.12,2.55,,0.027,0.001,0.025,,0.829,0.022,0.001,0.021,0.332,0.015,0.317,3315.7,149.8,3165.9,33.16,1.50,31.66,,,
Khalba West,mangrove,Sharjah,2,15-30,15,,6.120,1.88,0.10,1.77,,0.019,0.001,0.018,,1.205,0.023,0.001,0.021,0.339,0.019,0.320,3390.4,188.2,3202.2,33.90,1.88,32.02,,,
Khalba West,mangrove,Sharjah,2,30-50,20,,6.934,2.45,0.10,2.35,,0.025,0.001,0.024,,1.075,0.026,0.001,0.025,0.528,0.022,0.506,5278.2,219.5,5058.7,52.78,2.19,50.59,,,
Khalba West,mangrove,Sharjah,2,50-100,8,,6.282,2.52,0.10,2.42,,0.025,0.001,0.024,,1.203,0.030,0.001,0.029,0.243,0.009,0.233,2425.8,93.7,2332.1,24.26,0.94,23.32,,,
Khalba West,mangrove,Sharjah,3,0-15,15,65,5.478,1.83,0.49,1.34,,0.018,0.005,0.013,,0.759,0.014,0.004,0.010,0.208,0.056,0.152,2082.2,557.9,1524.3,20.82,5.58,15.24,,,
Khalba West,mangrove,Sharjah,3,15-30,15,,6.109,1.84,1.78,0.06,,0.018,0.018,0.001,,1.129,0.021,0.020,0.001,0.312,0.301,0.011,3115.4,3008.3,107.2,31.15,30.08,1.07,,,
Khalba West,mangrove,Sharjah,3,30-50,20,,5.883,2.37,0.16,2.20,,0.024,0.002,0.022,,1.264,0.030,0.002,0.028,0.599,0.042,0.557,5985.1,415.4,5569.8,59.85,4.15,55.70,,,
Khalba West,mangrove,Sharjah,3,50-100,15,,6.390,2.43,0.48,1.95,,0.024,0.005,0.020,,1.383,0.034,0.007,0.027,0.504,0.100,0.405,5042.9,995.4,4047.5,50.43,9.95,40.47,,,
Khalba West,mangrove,Sharjah,4,0-15,15,84,7.890,2.31,0.26,2.05,,0.023,0.003,0.021,,0.774,0.018,0.002,0.016,0.268,0.030,0.238,2681.5,301.2,2380.4,26.82,3.01,23.80,,,
Khalba West,mangrove,Sharjah,4,15-30,15,,7.924,3.19,0.11,3.08,,0.032,0.001,0.031,,0.872,0.028,0.001,0.027,0.418,0.015,0.403,4177.2,147.7,4029.6,41.77,1.48,40.30,,,
Khalba West,mangrove,Sharjah,4,30-50,20,,7.823,2.68,0.13,2.55,,0.027,0.001,0.025,,1.032,0.028,0.001,0.026,0.553,0.028,0.526,5534.0,275.4,5258.6,55.34,2.75,52.59,,,
Khalba West,mangrove,Sharjah,4,50-100,34,,3.806,2.83,1.44,1.40,,0.028,0.014,0.014,,1.600,0.045,0.023,0.022,1.541,0.782,0.759,15409.2,7815.7,7593.5,154.09,78.16,75.94,,,
Khalba West,mangrove,Sharjah,5,>100,7,,3.272,3.32,0.10,3.21,,0.033,0.001,0.032,,1.606,0.053,0.002,0.052,0.373,0.012,0.361,3727.0,115.9,3611.0,37.27,1.16,36.11,,,
Khalba West,mangrove,Sharjah,5,0-15,15,107,1.964,2.08,0.34,1.74,,0.021,0.003,0.017,,0.624,0.013,0.002,0.011,0.195,0.032,0.163,1947.4,320.2,1627.2,19.47,3.20,16.27,,,
Khalba West,mangrove,Sharjah,5,15-30,15,,6.574,2.25,0.13,2.13,,0.023,0.001,0.021,,1.077,0.024,0.001,0.023,0.364,0.021,0.344,3641.1,205.1,3436.0,36.41,2.05,34.36,,,
Khalba West,mangrove,Sharjah,5,30-50,20,,6.238,2.18,0.14,2.04,,0.022,0.001,0.020,,1.118,0.024,0.002,0.023,0.487,0.031,0.456,4866.2,306.6,4559.6,48.66,3.07,45.60,,,
Khalba West,mangrove,Sharjah,5,50-100,50,,7.991,2.49,0.12,2.36,,0.025,0.001,0.024,,1.051,0.026,0.001,0.025,1.306,0.065,1.241,13059.9,648.4,12411.6,130.60,6.48,124.12,,,
Khalba West,mangrove,Sharjah,6,>100,22,,8.812,3.74,0.14,3.61,,0.037,0.001,0.036,,1.094,0.041,0.002,0.039,0.901,0.033,0.867,9006.1,331.9,8674.2,90.06,3.32,86.74,,,
Khalba West,mangrove,Sharjah,6,0-15,15,122,9.973,2.58,0.13,2.45,,0.026,0.001,0.024,,0.765,0.020,0.001,0.019,0.296,0.015,0.281,2962.4,153.3,2809.1,29.62,1.53,28.09,,,
Khalba West,mangrove,Sharjah,6,15-30,15,,6.473,9.13,1.67,7.45,,0.091,0.017,0.075,,0.971,0.089,0.016,0.072,1.329,0.244,1.085,13290.1,2436.7,10853.4,132.90,24.37,108.53,,,
Khalba West,mangrove,Sharjah,6,30-50,20,,7.178,2.09,0.17,1.91,,0.021,0.002,0.019,,0.945,0.020,0.002,0.018,0.394,0.033,0.361,3939.4,329.4,3610.0,39.39,3.29,36.10,,,
Khalba West,mangrove,Sharjah,6,50-100,50,,4.811,1.89,0.41,1.48,,0.019,0.004,0.015,,1.546,0.029,0.006,0.023,1.462,0.321,1.141,14617.0,3205.8,11411.2,146.17,32.06,114.11,,,
Al Khor,mangrove,Dubai,1,>100,113,,2.081,9.54,8.74,0.80,,0.095,0.087,0.008,,1.296,0.124,0.113,0.010,13.966,12.795,1.170,139656.7,127953.3,11703.4,1396.57,1279.53,117.03,,,
Al Khor,mangrove,Dubai,1,0-15,15,213,7.177,8.72,6.61,2.11,,0.087,0.066,0.021,,0.831,0.072,0.055,0.018,1.087,0.823,0.263,10865.5,8232.7,2632.8,108.66,82.33,26.33,,,
Al Khor,mangrove,Dubai,1,15-30,15,,3.268,8.99,7.75,1.24,,0.090,0.077,0.012,,1.249,0.112,0.097,0.016,1.684,1.451,0.233,16839.6,14509.8,2329.8,168.40,145.10,23.30,,,
Al Khor,mangrove,Dubai,1,30-50,20,,2.276,8.33,7.87,0.47,,0.083,0.079,0.005,,1.459,0.122,0.115,0.007,2.432,2.296,0.136,24316.0,22956.3,1359.7,243.16,229.56,13.60,,,
Al Khor,mangrove,Dubai,1,50-100,50,,2.155,8.75,8.20,0.55,,0.088,0.082,0.006,,1.355,0.119,0.111,0.007,5.932,5.559,0.373,59316.3,55586.8,3729.5,593.16,555.87,37.29,,,
Al Khor,mangrove,Dubai,2,>100,180,,2.615,8.67,8.00,0.67,,0.087,0.080,0.007,,1.418,0.123,0.113,0.009,22.138,20.429,1.709,221381.0,204287.0,17094.0,2213.81,2042.87,170.94,,,
Al Khor,mangrove,Dubai,2,0-15,15,280,11.671,11.37,6.75,4.62,,0.114,0.067,0.046,,0.573,0.065,0.039,0.026,0.977,0.580,0.397,9766.7,5795.5,3971.2,97.67,57.96,39.71,,,
Al Khor,mangrove,Dubai,2,15-30,15,,4.586,9.34,7.85,1.49,,0.093,0.079,0.015,,1.254,0.117,0.098,0.019,1.756,1.477,0.280,17563.4,14766.0,2797.3,175.63,147.66,27.97,,,
Al Khor,mangrove,Dubai,2,30-50,20,,2.984,8.66,6.86,1.80,,0.087,0.069,0.018,,1.650,0.143,0.113,0.030,2.858,2.263,0.595,28577.9,22626.0,5951.9,285.78,226.26,59.52,,,
Al Khor,mangrove,Dubai,2,50-100,50,,3.131,8.62,8.16,0.46,,0.086,0.082,0.005,,1.316,0.113,0.107,0.006,5.671,5.369,0.301,56705.2,53692.2,3013.0,567.05,536.92,30.13,,,
Al Khor,mangrove,Dubai,3,>100,180,,2.231,9.38,8.87,0.52,,0.094,0.089,0.005,,1.438,0.135,0.127,0.007,24.280,22.946,1.334,242798.6,229462.3,13336.3,2427.99,2294.62,133.36,,,
Al Khor,mangrove,Dubai,3,0-15,15,280,5.479,9.08,7.88,1.21,,0.091,0.079,0.012,,0.831,0.075,0.065,0.010,1.132,0.982,0.150,11324.7,9821.9,1502.8,113.25,98.22,15.03,,,
Al Khor,mangrove,Dubai,3,15-30,15,,3.278,9.14,9.00,0.14,,0.091,0.090,0.001,,1.284,0.117,0.116,0.002,1.761,1.733,0.028,17612.3,17333.7,278.7,176.12,173.34,2.79,,,
Al Khor,mangrove,Dubai,3,30-50,20,,2.322,8.71,8.06,0.65,,0.087,0.081,0.007,,1.447,0.126,0.117,0.009,2.523,2.333,0.189,25225.5,23331.1,1894.4,252.26,233.31,18.94,,,
Al Khor,mangrove,Dubai,3,50-100,50,,3.869,8.81,7.37,1.44,,0.088,0.074,0.014,,1.672,0.147,0.123,0.024,7.367,6.164,1.204,73672.8,61636.7,12036.1,736.73,616.37,120.36,,,
Al Khor,mangrove,Dubai,4,>100,130,,2.987,8.41,8.38,0.03,,0.084,0.084,0.000,,1.497,0.126,0.125,0.000,16.365,16.315,0.050,163653.4,163149.4,504.0,1636.53,1631.49,5.04,,,
Al Khor,mangrove,Dubai,4,0-15,15,230,17.665,9.77,7.11,2.66,,0.098,0.071,0.027,,0.567,0.055,0.040,0.015,0.831,0.605,0.226,8309.8,6049.5,2260.3,83.10,60.49,22.60,,,
Al Khor,mangrove,Dubai,4,15-30,15,,6.294,9.39,7.45,1.94,,0.094,0.074,0.019,,1.307,0.123,0.097,0.025,1.841,1.460,0.380,18407.9,14603.8,3804.1,184.08,146.04,38.04,,,
Al Khor,mangrove,Dubai,4,30-50,20,,3.796,8.29,7.55,0.74,,0.083,0.075,0.007,,1.619,0.134,0.122,0.012,2.683,2.444,0.239,26833.1,24442.2,2390.9,268.33,244.42,23.91,,,
Al Khor,mangrove,Dubai,4,50-100,50,,2.632,8.51,7.88,0.62,,0.085,0.079,0.006,,1.467,0.125,0.116,0.009,6.237,5.781,0.456,62368.6,57809.4,4559.2,623.69,578.09,45.59,,,
Al Khor,mangrove,Dubai,5,>100,66,,2.920,8.75,8.33,0.42,,0.088,0.083,0.004,,1.586,0.139,0.132,0.007,9.159,8.720,0.439,91594.8,87202.7,4392.1,915.95,872.03,43.92,,,
Al Khor,mangrove,Dubai,5,0-15,15,166,5.258,9.63,8.79,0.84,,0.096,0.088,0.008,,1.142,0.110,0.100,0.010,1.648,1.505,0.144,16483.1,15046.7,1436.4,164.83,150.47,14.36,,,
Al Khor,mangrove,Dubai,5,15-30,15,,3.533,9.16,8.76,0.40,,0.092,0.088,0.004,,1.440,0.132,0.126,0.006,1.979,1.893,0.086,19786.2,18931.0,855.2,197.86,189.31,8.55,,,
Al Khor,mangrove,Dubai,5,30-50,20,,2.497,8.60,7.68,0.92,,0.086,0.077,0.009,,1.462,0.126,0.112,0.013,2.515,2.246,0.268,25146.2,22462.0,2684.2,251.46,224.62,26.84,,,
Al Khor,mangrove,Dubai,5,50-100,50,,2.520,9.15,8.84,0.31,,0.091,0.088,0.003,,1.409,0.129,0.125,0.004,6.445,6.227,0.218,64449.4,62270.8,2178.6,644.49,622.71,21.79,,,
Al Khor,mangrove,Dubai,6,>100,96,,3.137,8.54,8.18,0.36,,0.085,0.082,0.004,,1.350,0.115,0.110,0.005,11.068,10.596,0.472,110678.7,105960.1,4718.6,1106.79,1059.60,47.19,,,
Al Khor,mangrove,Dubai,6,0-15,15,196,15.216,10.63,5.72,4.91,,0.106,0.057,0.049,,0.678,0.072,0.039,0.033,1.081,0.582,0.499,10807.6,5819.4,4988.2,108.08,58.19,49.88,,,
Al Khor,mangrove,Dubai,6,15-30,15,,4.539,9.27,6.45,2.81,,0.093,0.065,0.028,,1.459,0.135,0.094,0.041,2.027,1.412,0.616,20273.7,14117.4,6156.3,202.74,141.17,61.56,,,
Al Khor,mangrove,Dubai,6,30-50,20,,2.229,9.73,9.08,0.65,,0.097,0.091,0.007,,1.528,0.149,0.139,0.010,2.973,2.775,0.199,29734.7,27746.9,1987.9,297.35,277.47,19.88,,,
Al Khor,mangrove,Dubai,6,50-100,50,,3.138,11.14,8.09,3.05,,0.111,0.081,0.030,,1.355,0.151,0.110,0.041,7.546,5.481,2.065,75462.4,54807.8,20654.5,754.62,548.08,206.55,,,
Ras Al Kaimah,mangrove,Ras Al Kaimah,1,>100,76,,4.042,7.04,5.37,1.67,,0.070,0.054,0.017,,1.553,0.109,0.083,0.026,8.308,6.339,1.970,83081.6,63386.3,19695.3,830.82,633.86,196.95,,,
Ras Al Kaimah,mangrove,Ras Al Kaimah,1,0-15,15,176,11.866,5.89,2.62,3.27,,0.059,0.026,0.033,,0.773,0.046,0.020,0.025,0.683,0.304,0.379,6829.8,3037.5,3792.3,68.30,30.37,37.92,,,
Ras Al Kaimah,mangrove,Ras Al Kaimah,1,15-30,15,,4.192,6.32,4.74,1.58,,0.063,0.047,0.016,,1.637,0.103,0.078,0.026,1.552,1.163,0.389,15517.9,11629.8,3888.1,155.18,116.30,38.88,,,
Ras Al Kaimah,mangrove,Ras Al Kaimah,1,30-50,20,,4.902,8.73,5.76,2.97,,0.087,0.058,0.030,,1.508,0.132,0.087,0.045,2.633,1.738,0.895,26332.1,17381.1,8951.1,263.32,173.81,89.51,,,
Ras Al Kaimah,mangrove,Ras Al Kaimah,1,50-100,50,,4.196,5.39,5.22,0.17,,0.054,0.052,0.002,,1.511,0.081,0.079,0.003,4.074,3.945,0.129,40737.5,39449.6,1287.9,407.38,394.50,12.88,,,
Ras Al Kaimah,mangrove,Ras Al Kaimah,2,>100,78,,3.233,5.98,5.30,0.69,,0.060,0.053,0.007,,1.341,0.080,0.071,0.009,6.257,5.540,0.717,62570.7,55404.0,7166.6,625.71,554.04,71.67,,,
Ras Al Kaimah,mangrove,Ras Al Kaimah,2,0-15,15,178,17.005,5.69,0.64,5.05,,0.057,0.006,0.051,,0.444,0.025,0.003,0.022,0.379,0.042,0.337,3793.9,424.6,3369.3,37.94,4.25,33.69,,,
Ras Al Kaimah,mangrove,Ras Al Kaimah,2,15-30,15,,3.766,5.82,4.49,1.33,,0.058,0.045,0.013,,1.655,0.096,0.074,0.022,1.444,1.115,0.329,14439.2,11145.2,3294.0,144.39,111.45,32.94,,,
Ras Al Kaimah,mangrove,Ras Al Kaimah,2,30-50,20,,3.238,6.21,5.75,0.46,,0.062,0.058,0.005,,1.563,0.097,0.090,0.007,1.942,1.798,0.144,19419.8,17980.6,1439.3,194.20,179.81,14.39,,,
Ras Al Kaimah,mangrove,Ras Al Kaimah,2,50-100,50,,3.082,6.16,5.26,0.89,,0.062,0.053,0.009,,1.512,0.093,0.080,0.014,4.653,3.977,0.676,46530.0,39769.3,6760.6,465.30,397.69,67.61,,,
Ras Al Kaimah,mangrove,Ras Al Kaimah,3,>100,77,,3.175,4.72,3.54,1.18,,0.047,0.035,0.012,,1.637,0.077,0.058,0.019,5.949,4.465,1.485,59494.1,44648.6,14845.5,594.94,446.49,148.45,,,
Ras Al Kaimah,mangrove,Ras Al Kaimah,3,0-15,15,177,16.083,6.95,1.05,5.90,,0.069,0.010,0.059,,0.485,0.034,0.005,0.029,0.505,0.076,0.429,5050.4,762.6,4287.8,50.50,7.63,42.88,,,
Ras Al Kaimah,mangrove,Ras Al Kaimah,3,15-30,15,,3.509,5.80,4.52,1.28,,0.058,0.045,0.013,,1.342,0.078,0.061,0.017,1.167,0.910,0.257,11671.1,9096.5,2574.5,116.71,90.97,25.75,,,
Ras Al Kaimah,mangrove,Ras Al Kaimah,3,30-50,20,,2.272,5.71,5.68,0.04,,0.057,0.057,0.000,,1.784,0.102,0.101,0.001,2.038,2.025,0.013,20380.8,20247.4,133.4,203.81,202.47,1.33,,,
Ras Al Kaimah,mangrove,Ras Al Kaimah,3,50-100,50,,3.049,7.90,5.98,1.91,,0.079,0.060,0.019,,1.545,0.122,0.092,0.030,6.101,4.622,1.478,61005.8,46221.3,14784.6,610.06,462.21,147.85,,,
Ras Al Kaimah,mangrove,Ras Al Kaimah,4,>100,57,,10.028,3.55,0.21,3.34,,0.036,0.002,0.033,,1.603,0.057,0.003,0.054,3.244,0.190,3.054,32438.0,1896.2,30541.8,324.38,18.96,305.42,,,
Ras Al Kaimah,mangrove,Ras Al Kaimah,4,0-15,15,157,22.420,5.28,0.20,5.08,,0.053,0.002,0.051,,0.371,0.020,0.001,0.019,0.294,0.011,0.283,2938.4,112.2,2826.2,29.38,1.12,28.26,,,
Ras Al Kaimah,mangrove,Ras Al Kaimah,4,15-30,15,,3.419,3.32,2.29,1.03,,0.033,0.023,0.010,,1.655,0.055,0.038,0.017,0.823,0.568,0.255,8230.5,5682.1,2548.4,82.30,56.82,25.48,,,
Ras Al Kaimah,mangrove,Ras Al Kaimah,4,30-50,20,,2.986,5.86,5.43,0.43,,0.059,0.054,0.004,,1.722,0.101,0.094,0.007,2.017,1.870,0.147,20170.9,18705.0,1465.9,201.71,187.05,14.66,,,
Ras Al Kaimah,mangrove,Ras Al Kaimah,4,50-100,50,,3.130,6.23,5.13,1.11,,0.062,0.051,0.011,,1.560,0.097,0.080,0.017,4.863,3.998,0.865,48628.0,39976.7,8651.3,486.28,399.77,86.51,,,
Ras Al Kaimah,mangrove,Ras Al Kaimah,5,>100,98,,3.174,5.67,4.62,1.05,,0.057,0.046,0.011,,1.284,0.073,0.059,0.014,7.137,5.812,1.326,71374.0,58115.8,13258.2,713.74,581.16,132.58,,,
Ras Al Kaimah,mangrove,Ras Al Kaimah,5,0-15,15,198,22.398,9.26,1.23,8.03,,0.093,0.012,0.080,,0.369,0.034,0.005,0.030,0.513,0.068,0.445,5130.7,681.4,4449.3,51.31,6.81,44.49,,,
Ras Al Kaimah,mangrove,Ras Al Kaimah,5,15-30,15,,3.700,5.72,5.13,0.59,,0.057,0.051,0.006,,1.397,0.080,0.072,0.008,1.199,1.076,0.123,11994.1,10759.3,1234.7,119.94,107.59,12.35,,,
Ras Al Kaimah,mangrove,Ras Al Kaimah,5,30-50,20,,3.356,6.14,5.25,0.88,,0.061,0.053,0.009,,1.543,0.095,0.081,0.014,1.894,1.622,0.272,18938.0,16218.9,2719.2,189.38,162.19,27.19,,,
Ras Al Kaimah,mangrove,Ras Al Kaimah,5,50-100,50,,3.092,6.03,5.81,0.22,,0.060,0.058,0.002,,1.431,0.086,0.083,0.003,4.313,4.155,0.158,43128.0,41551.7,1576.3,431.28,415.52,15.76,,,
Ras Al Kaimah,mangrove,Ras Al Kaimah,6,>100,87,,3.236,5.75,4.93,0.82,,0.058,0.049,0.008,,1.527,0.088,0.075,0.013,7.640,6.546,1.094,76402.4,65462.5,10939.9,764.02,654.62,109.40,,,
Ras Al Kaimah,mangrove,Ras Al Kaimah,6,0-15,15,187,23.276,8.83,0.30,8.53,,0.088,0.003,0.085,,0.308,0.027,0.001,0.026,0.409,0.014,0.395,4086.8,140.0,3946.8,40.87,1.40,39.47,,,
Ras Al Kaimah,mangrove,Ras Al Kaimah,6,15-30,15,,3.120,2.18,1.94,0.24,,0.022,0.019,0.002,,1.353,0.030,0.026,0.003,0.444,0.394,0.049,4435.3,3942.5,492.7,44.35,39.43,4.93,,,
Ras Al Kaimah,mangrove,Ras Al Kaimah,6,30-50,20,,3.113,6.06,5.88,0.17,,0.061,0.059,0.002,,1.467,0.089,0.086,0.003,1.777,1.727,0.050,17772.3,17270.7,501.6,177.72,172.71,5.02,,,
Ras Al Kaimah,mangrove,Ras Al Kaimah,6,50-100,50,,2.835,5.96,5.71,0.25,,0.060,0.057,0.002,,1.439,0.086,0.082,0.004,4.286,4.108,0.177,42855.8,41083.4,1772.4,428.56,410.83,17.72,,,
Sinnia,mangrove,Umm Al Quwain,1,0-15,15,23,12.994,13.36,4.61,8.74,,0.134,0.046,0.087,,0.406,0.054,0.019,0.035,0.814,0.281,0.532,8135.6,2811.0,5324.6,81.36,28.11,53.25,,,
Sinnia,mangrove,Umm Al Quwain,1,15-30,8,,2.805,8.98,8.41,0.57,,0.090,0.084,0.006,,1.532,0.138,0.129,0.009,1.100,1.031,0.069,11001.0,10308.3,692.7,110.01,103.08,6.93,,,
Sinnia,mangrove,Umm Al Quwain,2,0-15,15,45,37.417,19.24,1.39,17.85,,0.192,0.014,0.179,,0.234,0.045,0.003,0.042,0.674,0.049,0.625,6739.4,485.2,6254.2,67.39,4.85,62.54,,,
