Type,Site,Latitude_N,Longitude_E,accuracy_flag,Dominant_halophyte_species-genera,Age_status,Sampling_date_year-month-date,SOC_percent,SOC_accuracy,DBD_g_cm3,DBD_accuracy,SOC_stock_MgC_ha,SOCD_accuracy,Source,Ref_number,Reference_detail
Salt marsh,"Yellow River Delta, Shandong",37.7643,119.1619,exact,P. australis,nd,2009,0.43,extrapolated,1.36,extrapolated to 1m,57.8,extrapolated to 1m,Yu et al 2014,38,"38. Yu, J., Dong, H., Li, Y., Wu, H., Guan, B., Gao, Y., ... & Wang, Y. (2014). Spatiotemporal distribution characteristics of soil organic carbon in newborn coastal wetlands of the Yellow River Delta Estuary. Clean-soil Air Water, 42, 311-318."
Salt marsh,"Yellow River Delta, Shandong",37.7649,119.1617,exact,S. salus+ P. australis,nd,2009,0.32,extrapolated,1.46,extrapolated to 1m,45.8,extrapolated to 1m,Yu et al 2014,38,"38. Yu, J., Dong, H., Li, Y., Wu, H., Guan, B., Gao, Y., ... & Wang, Y. (2014). Spatiotemporal distribution characteristics of soil organic carbon in newborn coastal wetlands of the Yellow River Delta Estuary. Clean-soil Air Water, 42, 311-318."
Salt marsh,"Yellow River Delta, Shandong",37.7658,119.1613,exact,S. salus+ T. chinensis,nd,2009,0.48,extrapolated,1.37,extrapolated to 1m,65.7,extrapolated to 1m,Yu et al 2014,38,"38. Yu, J., Dong, H., Li, Y., Wu, H., Guan, B., Gao, Y., ... & Wang, Y. (2014). Spatiotemporal distribution characteristics of soil organic carbon in newborn coastal wetlands of the Yellow River Delta Estuary. Clean-soil Air Water, 42, 311-318."
Salt marsh,"Yellow River Delta, Shandong",37.7766,119.16,exact,S. salus+ T. chinensis,nd,2009,0.36,extrapolated,1.37,extrapolated to 1m,48.9,extrapolated to 1m,Yu et al 2014,38,"38. Yu, J., Dong, H., Li, Y., Wu, H., Guan, B., Gao, Y., ... & Wang, Y. (2014). Spatiotemporal distribution characteristics of soil organic carbon in newborn coastal wetlands of the Yellow River Delta Estuary. Clean-soil Air Water, 42, 311-318."
Salt marsh,"Yellow River Delta, Shandong",37.7775,119.1615,exact,S. salus,nd,2009,0.45,extrapolated,1.15,extrapolated to 1m,52,extrapolated to 1m,Yu et al 2014,38,"38. Yu, J., Dong, H., Li, Y., Wu, H., Guan, B., Gao, Y., ... & Wang, Y. (2014). Spatiotemporal distribution characteristics of soil organic carbon in newborn coastal wetlands of the Yellow River Delta Estuary. Clean-soil Air Water, 42, 311-318."
Salt marsh,"Laizhou Bay, Shandong",37.09,119.37,exact,T. chinensis,nd,201206-201211,0.13,reported,1.61,estimated from SOC,16.6,sampled to 1m,Wang et al 2017,39,"39. Wang, Q., Song, J., Cao, L., Li, X., Yuan, H., & Li, N. (2017). Distribution and storage of soil organic carbon in a coastal wetland under the pressure of human activities. Journal of Soils and Sediments, 17, 11-22."
Salt marsh,"Laizhou Bay, Shandong",37.1,119.37,exact,T. chinensis,nd,201206-201211,0.1,reported,1.62,estimated from SOC,16.4,sampled to 1m,Wang et al 2017,39,"39. Wang, Q., Song, J., Cao, L., Li, X., Yuan, H., & Li, N. (2017). Distribution and storage of soil organic carbon in a coastal wetland under the pressure of human activities. Journal of Soils and Sediments, 17, 11-22."
Salt marsh,"Laizhou Bay, Shandong",37.1,119.35,exact,T. chinensis,nd,201206-201211,0.16,reported,1.54,estimated from SOC,19.2,sampled to 1m,Wang et al 2017,39,"39. Wang, Q., Song, J., Cao, L., Li, X., Yuan, H., & Li, N. (2017). Distribution and storage of soil organic carbon in a coastal wetland under the pressure of human activities. Journal of Soils and Sediments, 17, 11-22."
Salt marsh,"Laizhou Bay, Shandong",37.3422,118.926,estimated from map,P. australis+ S. salsa,nd,201206,0.32,extrapolated,1.37,estimated from SOC,47,extrapolated to 1m,Cao et al 2015,40,"40. Cao, L., Song, J., Li, X., Yuan, H., Li, N., Duan, L., & Wang, Q. (2015). Geochemical characteristics of soil C, N, P, and their stoichiometrical significance in the coastal wetlands of Laizhou Bay, Bohai Sea. Clean-soil Air Water, 43, 260-270."
Salt marsh,"Laizhou Bay, Shandong",37.3442,118.923,estimated from map,P. australis+ S. salsa,nd,201206,0.17,extrapolated,1.5,estimated from SOC,23.2,extrapolated to 1m,Cao et al 2015,40,"40. Cao, L., Song, J., Li, X., Yuan, H., Li, N., Duan, L., & Wang, Q. (2015). Geochemical characteristics of soil C, N, P, and their stoichiometrical significance in the coastal wetlands of Laizhou Bay, Bohai Sea. Clean-soil Air Water, 43, 260-270."
Salt marsh,"Laizhou Bay, Shandong",37.08,119.36,estimated from map,S. salus+ T. chinensis,nd,201206,0.12,extrapolated,1.62,estimated from SOC,14.1,extrapolated to 1m,Cao et al 2015,40,"40. Cao, L., Song, J., Li, X., Yuan, H., Li, N., Duan, L., & Wang, Q. (2015). Geochemical characteristics of soil C, N, P, and their stoichiometrical significance in the coastal wetlands of Laizhou Bay, Bohai Sea. Clean-soil Air Water, 43, 260-270."
Salt marsh,"Laizhou Bay, Shandong",37.1037,119.368,estimated from map,S. salus+ T. chinensis,nd,201206,0.14,extrapolated,1.58,estimated from SOC,15.7,extrapolated to 1m,Cao et al 2015,40,"40. Cao, L., Song, J., Li, X., Yuan, H., Li, N., Duan, L., & Wang, Q. (2015). Geochemical characteristics of soil C, N, P, and their stoichiometrical significance in the coastal wetlands of Laizhou Bay, Bohai Sea. Clean-soil Air Water, 43, 260-270."
Salt marsh,"Jiaozhou Bay, Shandong",36.1767,120.115,estimated from map,S. salus,nd,201401-201410,0.69,extrapolated,1.2,estimated from SOC,81.2,extrapolated to 1m,Zi et al 2016,41,"41. Zi, Y., Xi, M., Kong, F., Li, Y. & Yang, L. (2016). Temporal and spatial distribution of soil organic carbon and its storage in the coastal wetlands of Jiaozhou Bay, China. Chinese Journal of Applied Ecology, 27, 2075-2083. (in Chinese)."
Salt marsh,"Jiaozhou Bay, Shandong",36.2159,120.1,estimated from map,P. australis,nd,201401-201410,0.61,extrapolated,1.23,estimated from SOC,73.1,extrapolated to 1m,Zi et al 2016,41,"41. Zi, Y., Xi, M., Kong, F., Li, Y. & Yang, L. (2016). Temporal and spatial distribution of soil organic carbon and its storage in the coastal wetlands of Jiaozhou Bay, China. Chinese Journal of Applied Ecology, 27, 2075-2083. (in Chinese)."
Salt marsh,"Jiaozhou Bay, Shandong",36.1191,120.098,estimated from map,Spartina anglica,nd,201401-201410,1.1,extrapolated,1.11,estimated from SOC,117.6,extrapolated to 1m,Zi et al 2016,41,"41. Zi, Y., Xi, M., Kong, F., Li, Y. & Yang, L. (2016). Temporal and spatial distribution of soil organic carbon and its storage in the coastal wetlands of Jiaozhou Bay, China. Chinese Journal of Applied Ecology, 27, 2075-2083. (in Chinese)."
Salt marsh,"Jiaozhou Bay, Shandong",36.1839,120.1205,exact,S. salus,nd,201110,0.58,extrapolated,1.45,extrapolated to 1m,82.1,extrapolated to 1m,Hou et al 2013,42,"42. Hou, X., Yin, P., Ding, X., Zhang, Y., & Bi, S. (2013). Carbon storage capacity in the Daguhe wetland, Jiaozhou Bay of Qingdao. Marine Geology Frontiers, 28, 17-26. (in Chinese)."
Salt marsh,"Jiaozhou Bay, Shandong",36.1801,120.1357,exact,nd,nd,201110,0.66,extrapolated,1.31,extrapolated to 1m,74,extrapolated to 1m,Hou et al 2013,42,"42. Hou, X., Yin, P., Ding, X., Zhang, Y., & Bi, S. (2013). Carbon storage capacity in the Daguhe wetland, Jiaozhou Bay of Qingdao. Marine Geology Frontiers, 28, 17-26. (in Chinese)."
Salt marsh,"Jiaozhou Bay, Shandong",36.2629,120.1194,exact,P. australis,nd,201110,0.78,extrapolated,1.62,extrapolated to 1m,97.7,extrapolated to 1m,Hou et al 2013,42,"42. Hou, X., Yin, P., Ding, X., Zhang, Y., & Bi, S. (2013). Carbon storage capacity in the Daguhe wetland, Jiaozhou Bay of Qingdao. Marine Geology Frontiers, 28, 17-26. (in Chinese)."
Salt marsh,"Jiaozhou Bay, Shandong",nd,nd,no location,P. australis,nd,201211,0.86,extrapolated,1.17,estimated from SOC,98.4,extrapolated to 1m,Xie et al 2014,43,"43. Xie, W., Zhu, K, Cui, Y., Du, H., & Chen, J. (2014). Spatial distribution of soil carbon and nitrogen in Jiaozhou Bay estuarine wetland. Acta Prataculturae Sinica, 23, 54-60. (in Chinese)."
Salt marsh,"Jiaozhou Bay, Shandong",nd,nd,no location,P. australis+ Imperata cylindrica+ etc.,nd,201211,0.77,extrapolated,1.19,estimated from SOC,90.3,extrapolated to 1m,Xie et al 2014,43,"43. Xie, W., Zhu, K, Cui, Y., Du, H., & Chen, J. (2014). Spatial distribution of soil carbon and nitrogen in Jiaozhou Bay estuarine wetland. Acta Prataculturae Sinica, 23, 54-60. (in Chinese)."
Salt marsh,"Jiaozhou Bay, Shandong",nd,nd,no location,S. salus,nd,201211,1.13,extrapolated,1.1,estimated from SOC,124,extrapolated to 1m,Xie et al 2014,43,"43. Xie, W., Zhu, K, Cui, Y., Du, H., & Chen, J. (2014). Spatial distribution of soil carbon and nitrogen in Jiaozhou Bay estuarine wetland. Acta Prataculturae Sinica, 23, 54-60. (in Chinese)."
Salt marsh,"Wanggang, Jiangsu",33.1864,120.7586,estimated from map,S. alterniflora,nd,201208-201306,0.32,extrapolated,1.42,estimated from SOC,40.8,extrapolated to 1m,Gao et al 2016,44,"44. Gao, J., Feng, Z., Chen, L., Wang, Y., Bai, F., & Li, J. (2016). The effect of biomass variations of Spartina alterniflora on the organic carbon content and composition of a salt marsh in northern Jiangsu Province, China. Ecological Engineering, 95, 160-170."
Salt marsh,"Wanggang, Jiangsu",33.1863,120.7589,estimated from map,S. alterniflora,nd,201208-201306,0.34,extrapolated,1.42,estimated from SOC,42.9,extrapolated to 1m,Gao et al 2016,44,"44. Gao, J., Feng, Z., Chen, L., Wang, Y., Bai, F., & Li, J. (2016). The effect of biomass variations of Spartina alterniflora on the organic carbon content and composition of a salt marsh in northern Jiangsu Province, China. Ecological Engineering, 95, 160-170."
Salt marsh,"Wanggang, Jiangsu",33.1861,120.7595,estimated from map,S. alterniflora,nd,201208-201306,0.29,extrapolated,1.45,estimated from SOC,31.3,extrapolated to 1m,Gao et al 2016,44,"44. Gao, J., Feng, Z., Chen, L., Wang, Y., Bai, F., & Li, J. (2016). The effect of biomass variations of Spartina alterniflora on the organic carbon content and composition of a salt marsh in northern Jiangsu Province, China. Ecological Engineering, 95, 160-170."
Salt marsh,"Yancheng, Jiangsu",33.6104,120.6168,estimated from map,S. alterniflora,3,201207,0.09,reported,1.65,reported,14.4,sampled to 1m,Liu et al 2017,45,"45. Liu, J., Han, R., Su, H., Wu, Y., Zhang, L., Richardson, C. J., & Wang, G. (2017). Effects of exotic Spartina alterniflora on vertical soil organic carbon distribution and storage amount in coastal salt marshes in Jiangsu, China. Ecological Engineering, 106, 132-139."
Salt marsh,"Yancheng, Jiangsu",33.6093,120.6161,estimated from map,S. alterniflora,5,201207,0.24,reported,1.53,reported,31.8,sampled to 1m,Liu et al 2017,45,"45. Liu, J., Han, R., Su, H., Wu, Y., Zhang, L., Richardson, C. J., & Wang, G. (2017). Effects of exotic Spartina alterniflora on vertical soil organic carbon distribution and storage amount in coastal salt marshes in Jiangsu, China. Ecological Engineering, 106, 132-139."
Salt marsh,"Yancheng, Jiangsu",33.6081,120.6148,estimated from map,S. alterniflora,9,201207,0.27,reported,1.43,reported,36.9,sampled to 1m,Liu et al 2017,45,"45. Liu, J., Han, R., Su, H., Wu, Y., Zhang, L., Richardson, C. J., & Wang, G. (2017). Effects of exotic Spartina alterniflora on vertical soil organic carbon distribution and storage amount in coastal salt marshes in Jiangsu, China. Ecological Engineering, 106, 132-139."
Salt marsh,"Yancheng, Jiangsu",33.6074,120.6104,estimated from map,S. alterniflora,14,201207,0.38,reported,1.37,reported,49.2,sampled to 1m,Liu et al 2017,45,"45. Liu, J., Han, R., Su, H., Wu, Y., Zhang, L., Richardson, C. J., & Wang, G. (2017). Effects of exotic Spartina alterniflora on vertical soil organic carbon distribution and storage amount in coastal salt marshes in Jiangsu, China. Ecological Engineering, 106, 132-139."
Salt marsh,"Yancheng, Jiangsu",33.6062,120.6101,estimated from map,S. alterniflora,23,201207,0.34,reported,1.4,reported,44,sampled to 1m,Liu et al 2017,45,"45. Liu, J., Han, R., Su, H., Wu, Y., Zhang, L., Richardson, C. J., & Wang, G. (2017). Effects of exotic Spartina alterniflora on vertical soil organic carbon distribution and storage amount in coastal salt marshes in Jiangsu, China. Ecological Engineering, 106, 132-139."
Salt marsh,"Yancheng, Jiangsu",33.6031,120.6054,estimated from map,S. alterniflora,S. alterniflora patches at S. salsa salt marsh,201207,0.27,reported,1.42,reported,37.7,sampled to 1m,Liu et al 2017,45,"45. Liu, J., Han, R., Su, H., Wu, Y., Zhang, L., Richardson, C. J., & Wang, G. (2017). Effects of exotic Spartina alterniflora on vertical soil organic carbon distribution and storage amount in coastal salt marshes in Jiangsu, China. Ecological Engineering, 106, 132-139."
Salt marsh,"Yancheng, Jiangsu",33.6029,120.6043,estimated from map,S. alterniflora+ S. salus,nd,201207,0.16,reported,1.52,reported,23.6,sampled to 1m,Liu et al 2017,45,"45. Liu, J., Han, R., Su, H., Wu, Y., Zhang, L., Richardson, C. J., & Wang, G. (2017). Effects of exotic Spartina alterniflora on vertical soil organic carbon distribution and storage amount in coastal salt marshes in Jiangsu, China. Ecological Engineering, 106, 132-139."
Salt marsh,"Yancheng, Jiangsu",33.5957,120.5862,estimated from map,S. salus,nd,201207,0.31,reported,1.38,reported,41.9,sampled to 1m,Liu et al 2017,45,"45. Liu, J., Han, R., Su, H., Wu, Y., Zhang, L., Richardson, C. J., & Wang, G. (2017). Effects of exotic Spartina alterniflora on vertical soil organic carbon distribution and storage amount in coastal salt marshes in Jiangsu, China. Ecological Engineering, 106, 132-139."
Salt marsh,"Yancheng, Jiangsu",33.5783,120.5533,estimated from map,"Aeluropus littoralis+ P. australis, etc",nd,201207,0.23,reported,1.44,reported,32.8,sampled to 1m,Liu et al 2017,45,"45. Liu, J., Han, R., Su, H., Wu, Y., Zhang, L., Richardson, C. J., & Wang, G. (2017). Effects of exotic Spartina alterniflora on vertical soil organic carbon distribution and storage amount in coastal salt marshes in Jiangsu, China. Ecological Engineering, 106, 132-139."
Salt marsh,"Yancheng, Jiangsu",nd,nd,no location,P. australis,nd,201708,0.44,reported,1.29,reported,56.3,sampled to 1m,Zang 2019,46,"46. Zang, Z. (2019). Analysis of intrinsic value and estimating losses of “blue carbon” in coastal wetlands: a case study of Yancheng, China, Ecosystem Health and Sustainability, 5, 216-225,"
Salt marsh,"Yancheng, Jiangsu",nd,nd,no location,S. salus,nd,201708,0.43,reported,1.29,reported,56.1,sampled to 1m,Zang 2019,46,"46. Zang, Z. (2019). Analysis of intrinsic value and estimating losses of “blue carbon” in coastal wetlands: a case study of Yancheng, China, Ecosystem Health and Sustainability, 5, 216-225,"
Salt marsh,"Yancheng, Jiangsu",nd,nd,no location,S. alterniflora,nd,201708,0.52,reported,1.25,reported,65.3,sampled to 1m,Zang 2019,46,"46. Zang, Z. (2019). Analysis of intrinsic value and estimating losses of “blue carbon” in coastal wetlands: a case study of Yancheng, China, Ecosystem Health and Sustainability, 5, 216-225,"
Salt marsh,"Yancheng, Jiangsu",nd,nd,no location,S. alterniflora,nd,201705,0.59,reported,1.26,reported,71.9,sampled to 1m,Yang 2019,47,"47. Yang, R. (2019). Interacting effects of plant invasion, climate, and soils on soil organic carbon storage in coastal wetlands. Journal of Geophysical Research: Biogeosciences, 124, 2554-2564"
Salt marsh,"Dafeng, Jiangsu",33.0717,120.8617,exact,S. alterniflora,nd,201311,0.2,extrapolated,1.47,estimated from SOC,29.1,sampled to 1m,Yang et al 2016,48,"48. Yang, T., Ren, H., Zhang, Z., Chen, Y., & Jiang, D. (2016). Distribution and influence factors of soil organic carbon of different land-use types in the Jiangsu coastal areas. Journal of Subtropical Resources and Environment, 11, 46-52. (in Chinese)."
Salt marsh,"Chongming Dongtan, Shanghai",31.527,121.9825,estimated from map,S. alterniflora,4,201210,1.03,extrapolated,1.12,estimated from SOC,114.1,sampled to 1m,Wang et al 2015a,49,"49. Wang, D., Zhang, R., Xiong, J., Guo, H., & Zhao, B. (2015). Contribution of invasive species Spartina alterniflora to soil organic carbon pool in coastal wetland: Stable isotope approach. Chinese Journal of Plant Ecology, 39, 941-949. (in Chinese)."
Salt marsh,"Chongming Dongtan, Shanghai",31.5278,121.9801,estimated from map,S. alterniflora,6,201210,1.18,extrapolated,1.1,estimated from SOC,123.1,sampled to 1m,Wang et al 2015a,49,"49. Wang, D., Zhang, R., Xiong, J., Guo, H., & Zhao, B. (2015). Contribution of invasive species Spartina alterniflora to soil organic carbon pool in coastal wetland: Stable isotope approach. Chinese Journal of Plant Ecology, 39, 941-949. (in Chinese)."
Salt marsh,"Chongming Dongtan, Shanghai",31.5296,121.9659,estimated from map,S. alterniflora,10,201210,1.54,extrapolated,1.04,estimated from SOC,155.7,sampled to 1m,Wang et al 2015a,49,"49. Wang, D., Zhang, R., Xiong, J., Guo, H., & Zhao, B. (2015). Contribution of invasive species Spartina alterniflora to soil organic carbon pool in coastal wetland: Stable isotope approach. Chinese Journal of Plant Ecology, 39, 941-949. (in Chinese)."
Salt marsh,"Chongming Dongtan, Shanghai",31.495,121.995,estimated from map,S. mariqueter,nd,200810,0.53,extrapolated,1.26,estimated from SOC,66.8,sampled to 1m,Zhang et al 2014,50,"50. Zhang, Y., Du, J., Zhao, X., Wu, W., Peng, B., & Zhang, J. (2014). A multi-proxy study of sedimentary humic substances in the salt marsh of the Changjiang Estuary, China. Estuarine, Coastal and Shelf Science, 151, 295-301."
Salt marsh,"Chongming Dongtan, Shanghai",31.525,121.96,estimated from map,P. australis,nd,200711,nd,NA,nd,NA,60.9,sampled to 1m,Bu et al 2015,51,"51. Bu, N., Qu, J., Li, G., Zhao, B., Zhang, R., & Fang, C. (2015). Reclamation of coastal salt marshes promoted carbon loss from previously-sequestered soil carbon pool. Ecological Engineering, 81, 335-339."
Salt marsh,"Hangzhou Bay, Zhejiang",30.3739,121.2053,exact,S. alterniflora,nd,201510,0.49,reported,1.28,estimated from SOC,62.6,sampled to 1m,Loh et al 2018,52,"52. Loh, P. S., Cheng, L., Yuan, H., Yang, L., Lou, Z., Jin, A., ... & Chen, C. A. (2018). Impacts of human activity and extreme weather events on sedimentary organic matter in the Andong salt marsh, Hangzhou Bay, China. Continental Shelf Research, 154, 55-64."
Salt marsh,"Luoyuan Bay, Fujian",nd,nd,no location,S. alterniflora,nd,201204,0.64,reported,1.22,reported,78.1,sampled to 1m,Ye et al 2014,53,"53. Ye, X., Wang, A., & Chen, J. (2014). Distribution and deposition characteristics of carbon and nitrogen in sediments in a semi-closed bay area, southeast China. Continental Shelf Research, 90, 133-141."
Salt marsh,"Min River Estuary, Fujian",nd,nd,no location,P. australis,nd,201507,2.31,extrapolated,0.95,estimated from SOC,218.9,extrapolated to 1m,Wang et al 2018,54,"54. Wang, H., Sun, Z., Li, J., He, T., Gao, H., Wang, J., ... & Wu, X. (2018). Spatial variations of soil carbon and nitrogen contents in Phragmites australis and Cyperus malaccensis marsh in the Minjiang River estuary. Chinese Journal of Ecology, 37, 1102-1110. (in Chinese)."
Salt marsh,"Min River Estuary, Fujian",nd,nd,no location,P. australis+ Cyperus malaccensis,nd,201507,2.52,extrapolated,0.94,estimated from SOC,233.4,extrapolated to 1m,Wang et al 2018,54,"54. Wang, H., Sun, Z., Li, J., He, T., Gao, H., Wang, J., ... & Wu, X. (2018). Spatial variations of soil carbon and nitrogen contents in Phragmites australis and Cyperus malaccensis marsh in the Minjiang River estuary. Chinese Journal of Ecology, 37, 1102-1110. (in Chinese)."
Salt marsh,"Min River Estuary, Fujian",nd,nd,no location,C. malaccensis,nd,201507,2.11,extrapolated,0.97,estimated from SOC,204,extrapolated to 1m,Wang et al 2018,54,"54. Wang, H., Sun, Z., Li, J., He, T., Gao, H., Wang, J., ... & Wu, X. (2018). Spatial variations of soil carbon and nitrogen contents in Phragmites australis and Cyperus malaccensis marsh in the Minjiang River estuary. Chinese Journal of Ecology, 37, 1102-1110. (in Chinese)."
Salt marsh,"Min River Estuary, Fujian",nd,nd,no location,C. malaccensis,nd,2014111,1.52,extrapolated,1.04,estimated from SOC,157.8,extrapolated to 1m,Jin et al 2017,55,"55. Jin, B., Lai, D. Y. F., Gao, D., Tong, C., & Zeng, C. (2017). Changes in soil organic carbon dynamics in a native C4 plant-dominated tidal marsh following Spartina alterniflora invasion. Pedosphere, 27, 856-867."
Salt marsh,"Min River Estuary, Fujian",nd,nd,no location,S. alterniflora,4,2014111,1.41,extrapolated,1.06,estimated from SOC,147.8,extrapolated to 1m,Jin et al 2017,55,"55. Jin, B., Lai, D. Y. F., Gao, D., Tong, C., & Zeng, C. (2017). Changes in soil organic carbon dynamics in a native C4 plant-dominated tidal marsh following Spartina alterniflora invasion. Pedosphere, 27, 856-867."
Salt marsh,"Min River Estuary, Fujian",nd,nd,no location,S. alterniflora,8,2014111,1.58,extrapolated,1.03,estimated from SOC,162,extrapolated to 1m,Jin et al 2017,55,"55. Jin, B., Lai, D. Y. F., Gao, D., Tong, C., & Zeng, C. (2017). Changes in soil organic carbon dynamics in a native C4 plant-dominated tidal marsh following Spartina alterniflora invasion. Pedosphere, 27, 856-867."
Salt marsh,"Min River Estuary, Fujian",nd,nd,no location,S. alterniflora,12,2014111,1.73,extrapolated,1.01,estimated from SOC,174,extrapolated to 1m,Jin et al 2017,55,"55. Jin, B., Lai, D. Y. F., Gao, D., Tong, C., & Zeng, C. (2017). Changes in soil organic carbon dynamics in a native C4 plant-dominated tidal marsh following Spartina alterniflora invasion. Pedosphere, 27, 856-867."
Salt marsh,"Min River Estuary, Fujian",nd,nd,no location,Scirpus triqueter,nd,200710,0.88,extrapolated,1.03,extrapolated to 1m,76.6,extrapolated to 1m,Wang et al 2015b,56,"56. Wang, W., Wang, C., Sardans, J., Tong, C., Jia, R., Zeng, C., & Penuelas, J. (2015). Flood regime affects soil stoichiometry and the distribution of the invasive plants in subtropical estuarine wetlands in China. Catena, 128, 144-154."
Salt marsh,"Min River Estuary, Fujian",nd,nd,no location,C. malaccensis,nd,200710,1.71,extrapolated,0.9,extrapolated to 1m,150.3,extrapolated to 1m,Wang et al 2015b,56,"56. Wang, W., Wang, C., Sardans, J., Tong, C., Jia, R., Zeng, C., & Penuelas, J. (2015). Flood regime affects soil stoichiometry and the distribution of the invasive plants in subtropical estuarine wetlands in China. Catena, 128, 144-154."
Salt marsh,"Min River Estuary, Fujian",nd,nd,no location,P. australis,nd,200710,2.12,extrapolated,0.79,extrapolated to 1m,167.3,extrapolated to 1m,Wang et al 2015b,56,"56. Wang, W., Wang, C., Sardans, J., Tong, C., Jia, R., Zeng, C., & Penuelas, J. (2015). Flood regime affects soil stoichiometry and the distribution of the invasive plants in subtropical estuarine wetlands in China. Catena, 128, 144-154."
Salt marsh,"Min River Estuary, Fujian",nd,nd,no location,C. malaccensis,nd,201602-201612,2.99,extrapolated,0.89,estimated from SOC,264.8,extrapolated to 1m,He et al 2020,57,"57. He, T., Sun, Z., Hu, X., Chen, B., Wang, H., & Wang, J. (2020). Effects of Spartina alterniflora invasion on spatial and temporal variations of total sulfur and inorganic sulfur fractions in sediments of salt marsh in the Min River estuary, southeast China. Ecological Indicators, 113, 106253."
Salt marsh,"Min River Estuary, Fujian",nd,nd,no location,C. malaccensis+S. alterniflora,nd,201602-201612,2.87,extrapolated,0.9,estimated from SOC,256.1,extrapolated to 1m,He et al 2020,57,"57. He, T., Sun, Z., Hu, X., Chen, B., Wang, H., & Wang, J. (2020). Effects of Spartina alterniflora invasion on spatial and temporal variations of total sulfur and inorganic sulfur fractions in sediments of salt marsh in the Min River estuary, southeast China. Ecological Indicators, 113, 106253."
Salt marsh,"Min River Estuary, Fujian",nd,nd,no location,S. alterniflora,nd,201602-201612,2.91,extrapolated,0.89,estimated from SOC,259.4,extrapolated to 1m,He et al 2020,57,"57. He, T., Sun, Z., Hu, X., Chen, B., Wang, H., & Wang, J. (2020). Effects of Spartina alterniflora invasion on spatial and temporal variations of total sulfur and inorganic sulfur fractions in sediments of salt marsh in the Min River estuary, southeast China. Ecological Indicators, 113, 106253."
Salt marsh,"Zhang River Estuary, Fujian",nd,nd,no location,S. alterniflora,nd,201707,0.84,reported,1.16,reported,96.8,sampled to 1m,Sun et al 2018,7,"7. Sun, H., Jiang, J., Cui, L., Zhang, S., & Zhang, J. (2018). Effects of Spartina alterniflora invasion on soil organic carbon composition of mangrove wetland in Zhangjiang River Estuary. Chinese Journal of Plant Ecology, 42, 774-784.  (in Chinese)."
Salt marsh,"Zhang River Estuary, Fujian",23.9271,117.4442,estimated from map,S. alterniflora,nd,201408,0.86,extrapolated,0.84,extrapolated to 1m,63.7,extrapolated to 1m,Feng et al 2017,4,"4. Feng, J., Zhou, J., Wang, L., Cui, X., Ning, C., Wu, H., ... & Lin, G. (2017). Effects of short-term invasion of Spartina alterniflora and the subsequent restoration of native mangroves on the soil organic carbon, nitrogen and phosphorus stock. Chemosphere, 184, 774-783."
Salt marsh,"Qi'ao Island, Guangdong",NA,NA,no location,S. alterniflora,NA,201801,NA,NA,NA,NA,113.6,sampled to 1m,Hu et al 2019b,14,"14. Hu, Y., Zhu, N., Liao, B., You, Y., & Tang, H. (2019). Carbon density and carbon fixation rate of mangroves of different restoration types in Qi’ao island. Journal of Central South University of Forestry & Technology, 39, 101-107. (in Chinese)."
Salt marsh,"Qin River Estuary, Guangxi",21.8451,108.5952,exact,S. alterniflora,nd,200905,3.5,extrapolated,0.87,estimated from SOC,327.7,extrapolated to 1m,Gan et al 2013,20,"20. Gan, H., Lin, J. Liang, K., & Xia, Z. (2013). Selected trace metals (As, Cd and Hg) distribution and contamination in the coastal wetland sediment of the northern Beibu Gulf, South China Sea. Marine Pollution Bulletin, 66, 252-258."
Seagrass,"Zulin, Guangxi",21.4349,109.2791,exact,H. ovalis,nd,20170810,0.12,reported,1.67,estimated from SOC,20,sampled to 1m,Li 2018,24,"24. Li, M. (2018). Carbon storage in the seagrass sediments of Guangxi. China. Nanning Normal University, Master Dissertation. (in Chinese). "
Seagrass,"Lianzhou Bay, Guangxi",21.5664,109.0973,exact,H. beccarii,nd,20170822,0.31,reported,1.61,estimated from SOC,48.7,sampled to 1m,Li 2018,24,"24. Li, M. (2018). Carbon storage in the seagrass sediments of Guangxi. China. Nanning Normal University, Master Dissertation. (in Chinese). "
Seagrass,"Zhenzhu Bay (Jiaodong), Guangxi",21.6021,108.1996,exact,H. beccarii,nd,20170808,0.92,extrapolated,1.43,estimated from SOC,126.2,sampled to 1m,Li 2018,24,"24. Li, M. (2018). Carbon storage in the seagrass sediments of Guangxi. China. Nanning Normal University, Master Dissertation. (in Chinese). "
Seagrass,"Zhenzhu Bay (Guiming), Guangxi",21.5788,108.1884,exact,Z. japonica,nd,20170809,0.24,extrapolated,1.63,estimated from SOC,39.6,extrapolated to 1m,Li 2018,24,"24. Li, M. (2018). Carbon storage in the seagrass sediments of Guangxi. China. Nanning Normal University, Master Dissertation. (in Chinese). "
Seagrass,"Zhenzhu Bay (Guiming), Guangxi",21.5825,108.1933,exact,Z. japonica,nd,20170809,0.24,extrapolated,1.63,estimated from SOC,39.3,extrapolated to 1m,Li 2018,24,"24. Li, M. (2018). Carbon storage in the seagrass sediments of Guangxi. China. Nanning Normal University, Master Dissertation. (in Chinese). "
