Saltmarsh_ID,Nation,Year,Lat_dec_deg ,Long_dec_deg,Grid_Reference,X_easting,Y_northing,Sampling_Method,Depth_cm,Dry_Bulk_Density_g_cm_3,OC_Perc,LOI_Perc,Soil_Texture,LOI_Perc,OC_Perc
Rockcliffe,England,2019,54.9646,-3.0372,NY3369163823,333691,563823,Syringe,0_10,1.022,4.51,7.38,Not sandy,7.38,4.51
Scarth Bight,England,2019,54.155695,-3.2385676,SD1921374029,319213,474029,Syringe,0_10,1.97,0.05,2.74,Sandy ,2.74,0.05
Scarth Bight,England,2019,54.155988,-3.238071,SD1924674061,319246,474061,Syringe,0_10,1.22,0.65,3.46,Sandy ,3.46,0.65
Scarth Bight,England,2019,54.155851,-3.2383119,SD1923074046,319230,474046,Syringe,0_10,0.82,2.30,5.36,Sandy ,5.36,2.30
Scarth Bight,England,2019,54.156161,-3.2378618,SD1926074080,319260,474080,Syringe,0_10,0.82,2.65,6.47,Sandy ,6.47,2.65
Scarth Bight,England,2019,54.155531,-3.238823,SD1919674011,319196,474011,Syringe,0_10,1.57,4.62,12.40,Not Sandy,12.40,4.62
Seaton Burn,England,2019,55.0814,-1.477813889,NZ3343576452,433435,576452,Syringe,0_10,0.28,28.55,52.16,Organic,52.16,28.55
Seaton Burn,England,2019,55.08117,-1.477893333,NZ3343076427,433430,576427,Syringe,0_10,0.28,28.47,53.19,Organic,53.19,28.47
Seaton Burn,England,2019,55.081165,-1.477893,NZ3343076426,433430,576426,Syringe,0_10,0.36,24.57,47.10,Organic,47.10,24.57
Seaton Burn,England,2019,55.081399,-1.477814,NZ3343576452,433435,576452,Syringe,0_10,0.24,28.47,53.19,Organic,53.19,28.47
Shirehall Moore,England,2019,50.39452,-4.664022222,SX1074858353,210748,58353,Syringe,0_10,0.40,11.92,17.23,Not Sandy,17.23,11.92
Shirehall Moore,England,2019,50.39458,-4.662302778,SX1087058355,210870,58355,Syringe,0_10,0.40,12.33,17.88,Not Sandy,17.88,12.33
Shirehall Moore,England,2019,50.39453,-4.663563889,SX1078058353,210780,58353,Syringe,0_10,0.42,8.50,19.58,Not Sandy,19.58,8.50
Shirehall Moore,England,2019,50.39446,-4.663327778,SX1079758345,210797,58345,Syringe,0_10,0.28,12.35,32.80,Not Sandy,32.80,12.35
Shirehall Moore,England,2019,50.39449,-4.662702778,SX1084158346,210841,58346,Syringe,0_10,0.19,19.13,48.42,Organic,48.42,19.13
Shotley Gate,England,2019,51.96028,1.2475,TM2321534070,623215,234070,Syringe,0_10,1.58,1.00,0.50,Sandy ,0.50,1.00
Shotley Gate,England,2019,51.96,1.2475,TM2321634039,623216,234039,Syringe,0_10,1.49,1.23,1.97,Sandy ,1.97,1.23
Shotley Gate,England,2019,51.96,1.2475,TM2321634039,623216,234039,Syringe,0_10,1.01,1.71,2.65,Sandy ,2.65,1.71
