"[Abbreviations: ID, identification; cm, centimeter; µm, micron; Φ, phi particle size scale; %, percent; Dx, x% of particles are finer than reported value]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample/Core ID,"Depth
 (cm)","Sediment Texture 
(Folk, 1954)",Averaged Sample Runs,"Mean Grain Size 
(µm)","Mean Grain Size 
Standard Deviation
(µm)","Sorting 
(µm)","Sorting
 Standard Deviation 
(µm)","Skewness
 (µm)","Skewness 
Standard Deviation 
(µm)","Kurtosis 
(µm)","Kurtosis
 Standard Deviation 
(µm)","Mean Grain Size 
(Φ)","Mean Grain Size 
Standard Deviation 
(Φ)","Sorting 
(Φ)","Sorting 
Standard Deviation 
(Φ)","Skewness 
(Φ)","Skewness
 Standard Deviation 
(Φ)","Kurtosis
(Φ)","Kurtosis 
Standard Deviation 
(Φ)","Mean Grain Size 
(Descriptive)","Sorting
(Descriptive)","Skewness 
(Descriptive)","Kurtosis 
(Descriptive)","D10 
(µm)","D10 
Standard Deviation
 (µm)","D50 
(µm)","D50 
Standard Deviation 
(µm)","D90 
(µm)","D90 
Standard Deviation 
(µm)","Sand 
(%)","Sand 
Standard Deviation 
(%)","Mud 
(%)","Mud 
Standard Deviation 
(%)","Very Coarse Sand 
(%)","Coarse Sand
(%)","Medium Sand 
(%)","Fine Sand 
(%)","Very Fine Sand 
(%)","Very Coarse Silt 
(%)","Coarse Silt 
(%)","Medium Silt 
(%)","Fine Silt 
(%)","Very Fine Silt 
(%)","Clay 
(%)",,,,,,,
16CCT03-GB231M,29-30,Sandy Mud,N=8,44.25,0.65,4.447,0.073,-0.250,0.003,1.453,0.012,4.498,0.021,2.153,0.024,0.250,0.003,1.453,0.012,Very Coarse Silt,Very Poorly Sorted,Fine Skewed,Leptokurtic,4.41,0.11,52.94,0.73,225.83,9.86,43.1,0.6,56.9,0.6,0.0,2.2,6.5,11.2,23.1,24.6,12.2,6.6,4.1,3.2,6.2,,,,,,,
16CCT03-GB231M,30-31,Sandy Mud,N=8,48.57,0.87,4.507,0.026,-0.223,0.007,1.439,0.003,4.364,0.026,2.172,0.008,0.223,0.007,1.439,0.003,Very Coarse Silt,Very Poorly Sorted,Fine Skewed,Leptokurtic,4.97,0.18,55.86,0.41,261.25,4.88,45.4,0.3,54.6,0.3,0.0,2.0,8.6,11.9,22.9,23.8,11.7,6.3,3.9,3.0,5.8,,,,,,,
16CCT03-GB231M,31-32,Sandy Mud,N=8,45.18,2.01,4.458,0.053,-0.230,0.015,1.455,0.003,4.470,0.064,2.156,0.017,0.230,0.015,1.455,0.003,Very Coarse Silt,Very Poorly Sorted,Fine Skewed,Leptokurtic,4.68,0.24,52.90,1.40,238.73,17.79,43.1,1.2,56.9,1.2,0.0,2.1,7.4,10.9,22.7,24.6,12.5,6.7,4.0,3.1,6.0,,,,,,,
16CCT03-GB231M,32-33,Sandy Mud,N=8,43.22,0.88,4.404,0.070,-0.240,0.005,1.471,0.005,4.532,0.030,2.139,0.023,0.240,0.005,1.471,0.005,Very Coarse Silt,Very Poorly Sorted,Fine Skewed,Leptokurtic,4.48,0.26,51.28,0.48,221.09,4.11,41.8,0.4,58.2,0.4,0.0,1.9,6.7,10.5,22.7,25.1,12.9,6.8,4.1,3.2,6.1,,,,,,,
16CCT03-GB231M,33-34,Sandy Mud,N=8,55.93,1.00,4.615,0.027,-0.197,0.009,1.394,0.011,4.160,0.026,2.206,0.008,0.197,0.009,1.394,0.011,Very Coarse Silt,Very Poorly Sorted,Fine Skewed,Leptokurtic,5.69,0.16,61.50,0.52,318.23,8.39,49.4,0.3,50.6,0.3,0.0,3.1,10.4,12.8,23.0,22.2,10.8,5.8,3.6,2.8,5.5,,,,,,,
16CCT03-GB231M,34-35,Sandy Mud,N=8,45.91,0.73,5.042,0.067,-0.211,0.003,1.380,0.007,4.445,0.023,2.334,0.019,0.211,0.003,1.380,0.007,Very Coarse Silt,Very Poorly Sorted,Fine Skewed,Leptokurtic,3.89,0.20,54.05,0.51,319.00,6.39,44.5,0.3,55.5,0.3,0.0,3.8,8.8,10.1,21.7,22.6,11.8,6.8,4.4,3.5,6.6,,,,,,,
16CCT03-GB231M,35-36,Sandy Mud,N=8,41.06,3.04,5.006,0.169,-0.230,0.020,1.335,0.012,4.610,0.107,2.323,0.049,0.230,0.020,1.335,0.012,Very Coarse Silt,Very Poorly Sorted,Fine Skewed,Leptokurtic,3.39,0.11,49.75,2.34,259.96,38.85,41.5,1.9,58.5,1.9,0.0,2.6,7.9,10.3,20.7,22.9,12.7,7.4,4.7,3.7,7.1,,,,,,,
16CCT03-GB231M,36-37,Sandy Mud,N=8,53.57,0.45,5.571,0.059,-0.165,0.007,1.210,0.006,4.223,0.012,2.478,0.015,0.165,0.007,1.210,0.006,Very Coarse Silt,Very Poorly Sorted,Fine Skewed,Leptokurtic,3.83,0.07,57.94,0.34,380.51,8.05,47.4,0.2,52.6,0.2,0.6,4.3,12.4,11.1,18.9,20.6,11.2,6.4,4.2,3.6,6.5,,,,,,,
16CCT03-GB231M,37-38,Sandy Mud,N=8,51.58,1.00,5.451,0.041,-0.162,0.006,1.239,0.007,4.277,0.028,2.446,0.011,0.162,0.006,1.239,0.007,Very Coarse Silt,Very Poorly Sorted,Fine Skewed,Leptokurtic,3.97,0.15,55.72,0.92,363.93,6.21,46.1,0.6,53.9,0.6,0.1,4.5,11.7,10.8,19.1,21.0,11.9,6.8,4.3,3.4,6.5,,,,,,,
16CCT03-GB231M,38-39,Sandy Mud,N=8,40.89,1.28,5.252,0.021,-0.220,0.007,1.290,0.012,4.613,0.045,2.393,0.006,0.220,0.007,1.290,0.012,Very Coarse Silt,Very Poorly Sorted,Fine Skewed,Leptokurtic,3.18,0.09,50.08,0.68,295.74,15.88,42.1,0.5,57.9,0.5,0.0,3.0,8.7,10.2,20.1,22.1,12.4,7.2,4.9,4.2,7.0,,,,,,,
16CCT03-GB231M,39-40,Sandy Mud,N=8,52.29,1.28,5.884,0.115,-0.138,0.012,1.250,0.011,4.258,0.035,2.557,0.028,0.138,0.012,1.250,0.011,Very Coarse Silt,Very Poorly Sorted,Fine Skewed,Leptokurtic,3.59,0.06,55.54,0.50,423.54,20.70,45.9,0.3,54.1,0.3,0.8,6.1,10.6,9.4,19.1,20.8,11.5,6.8,4.5,3.7,6.7,,,,,,,
16CCT03-GB231M,40-41,Sandy Mud,N=8,60.42,1.83,5.720,0.090,-0.112,0.005,1.262,0.024,4.050,0.044,2.516,0.023,0.112,0.005,1.262,0.024,Very Coarse Silt,Very Poorly Sorted,Fine Skewed,Leptokurtic,4.68,0.31,60.14,1.03,446.36,6.86,48.6,0.6,51.4,0.6,1.2,6.4,11.8,9.3,19.8,20.9,11.0,6.4,4.1,3.2,6.0,,,,,,,
16CCT03-GB231M,41-42,Sandy Mud,N=7,54.00,5.55,5.552,0.086,-0.168,0.028,1.264,0.012,4.219,0.150,2.473,0.022,0.168,0.028,1.264,0.012,Very Coarse Silt,Very Poorly Sorted,Fine Skewed,Leptokurtic,4.00,0.47,58.72,2.84,398.59,27.48,47.7,1.7,52.3,1.7,0.1,5.4,11.6,10.3,20.4,20.6,10.9,6.5,4.3,3.5,6.5,,,,,,,
16CCT03-GB231M,42-43,Sandy Mud,N=8,53.77,1.07,5.442,0.082,-0.185,0.010,1.272,0.008,4.217,0.029,2.444,0.022,0.185,0.010,1.272,0.008,Very Coarse Silt,Very Poorly Sorted,Fine Skewed,Leptokurtic,4.04,0.06,60.39,0.47,392.79,14.23,48.8,0.3,51.2,0.3,0.2,5.4,10.7,11.7,20.8,20.2,10.6,6.3,4.2,3.5,6.3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16CCT03-GB232M(B),0-1,Muddy Sand,N=7,61.43,1.79,3.599,0.197,-0.255,0.030,1.683,0.017,4.026,0.042,1.846,0.078,0.255,0.030,1.683,0.017,Very Coarse Silt,Poorly Sorted,Fine Skewed,Very Leptokurtic,9.97,0.37,69.17,1.23,236.30,43.40,54.6,0.7,45.4,0.7,0.8,1.6,6.6,14.2,31.4,22.8,9.6,4.2,2.4,2.1,4.4,,,,,,,
16CCT03-GB232M(B),1-2,Muddy Sand,N=8,50.55,3.10,4.030,0.185,-0.331,0.019,1.546,0.064,4.309,0.089,2.009,0.066,0.331,0.019,1.546,0.064,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,5.30,0.96,64.79,0.20,206.01,3.74,51.6,0.2,48.4,0.2,0.0,1.2,6.6,13.5,30.2,21.8,9.5,4.6,3.9,3.6,5.1,,,,,,,
16CCT03-GB232M(B),2-3,Muddy Sand,N=8,59.64,1.01,3.890,0.090,-0.273,0.008,1.588,0.017,4.068,0.024,1.959,0.033,0.273,0.008,1.588,0.017,Very Coarse Silt,Poorly Sorted,Fine Skewed,Very Leptokurtic,7.94,0.21,68.92,0.79,255.75,19.67,54.2,0.4,45.8,0.4,0.0,1.3,8.9,14.5,29.4,21.5,9.6,4.8,2.8,2.3,4.9,,,,,,,
16CCT03-GB232M(B),3-4,Sandy Mud,N=8,43.20,1.14,4.171,0.135,-0.330,0.018,1.440,0.005,4.533,0.038,2.060,0.047,0.330,0.018,1.440,0.005,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,4.40,0.10,55.00,1.16,180.37,15.98,44.9,1.0,55.1,1.0,0.0,0.9,5.4,11.5,27.1,23.2,12.2,6.4,3.8,3.0,6.4,,,,,,,
16CCT03-GB232M(B),4-5,Sandy Mud,N=8,37.49,1.41,4.401,0.083,-0.372,0.020,1.333,0.040,4.738,0.054,2.138,0.027,0.372,0.020,1.333,0.040,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,3.14,0.07,52.24,1.33,164.45,10.61,43.0,1.0,57.0,1.0,0.0,1.0,4.4,10.6,27.0,22.9,11.8,6.5,4.5,4.2,7.1,,,,,,,
16CCT03-GB232M(B),5-6,Sandy Mud,N=8,40.08,3.17,4.186,0.097,-0.384,0.021,1.370,0.078,4.645,0.114,2.065,0.034,0.384,0.021,1.370,0.078,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,3.75,0.52,54.50,2.19,162.94,8.55,44.5,1.5,55.5,1.5,0.0,0.7,4.3,11.3,28.2,23.1,11.4,6.4,4.3,3.6,6.7,,,,,,,
16CCT03-GB232M(B),6-7,Sandy Mud,N=8,38.26,0.20,4.192,0.051,-0.407,0.003,1.342,0.006,4.708,0.007,2.068,0.018,0.407,0.003,1.342,0.006,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,3.29,0.08,53.26,0.29,154.78,2.64,43.5,0.3,56.5,0.3,0.0,0.6,3.6,11.1,28.2,23.3,11.5,6.4,4.3,3.8,7.1,,,,,,,
16CCT03-GB232M(B),7-8,Sandy Mud,N=8,38.53,0.75,4.184,0.037,-0.399,0.003,1.353,0.016,4.698,0.028,2.065,0.013,0.399,0.003,1.353,0.016,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,3.31,0.14,53.24,0.59,155.46,1.66,43.5,0.4,56.5,0.4,0.0,0.8,3.6,11.0,28.1,23.5,11.6,6.3,4.2,3.9,7.0,,,,,,,
16CCT03-GB232M(B),8-9,Sandy Mud,N=8,38.94,0.32,4.227,0.039,-0.390,0.005,1.357,0.007,4.683,0.012,2.079,0.013,0.390,0.005,1.357,0.007,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,3.32,0.07,53.57,0.36,159.67,1.73,43.8,0.3,56.2,0.3,0.0,0.8,3.9,11.2,27.9,23.3,11.6,6.3,4.2,3.8,7.0,,,,,,,
16CCT03-GB232M(B),9-10,Sandy Mud,N=8,39.13,0.82,4.095,0.084,-0.408,0.002,1.361,0.016,4.676,0.030,2.034,0.030,0.408,0.002,1.361,0.016,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,3.51,0.25,53.66,0.43,152.39,1.06,43.7,0.3,56.3,0.3,0.0,0.5,3.4,11.1,28.7,23.6,11.5,6.4,4.2,3.6,7.0,,,,,,,
16CCT03-GB232M(B),10-11,Sandy Mud,N=8,38.71,0.70,4.191,0.026,-0.403,0.004,1.358,0.014,4.692,0.026,2.067,0.009,0.403,0.004,1.358,0.014,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,3.37,0.14,53.55,0.67,155.90,2.33,43.6,0.5,56.4,0.5,0.0,0.6,3.7,11.0,28.3,23.5,11.4,6.4,4.3,3.6,7.1,,,,,,,
16CCT03-GB232M(B),11-12,Sandy Mud,N=8,37.01,1.41,4.266,0.028,-0.411,0.014,1.315,0.041,4.757,0.055,2.093,0.009,0.411,0.014,1.315,0.041,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,3.10,0.19,52.42,0.85,152.41,4.14,42.9,0.6,57.1,0.6,0.0,0.7,3.5,10.7,28.0,23.3,11.5,6.5,4.5,4.0,7.3,,,,,,,
16CCT03-GB232M(B),12-13,Sandy Mud,N=8,41.73,1.97,4.200,0.019,-0.381,0.023,1.417,0.046,4.584,0.068,2.071,0.007,0.381,0.023,1.417,0.046,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,3.78,0.41,56.43,1.38,168.97,9.04,45.8,1.0,54.2,1.0,0.0,0.8,4.6,11.8,28.6,22.9,11.0,6.1,4.0,3.5,6.8,,,,,,,
16CCT03-GB232M(B),13-14,Sandy Mud,N=8,38.63,0.79,4.220,0.047,-0.400,0.011,1.349,0.019,4.694,0.029,2.077,0.016,0.400,0.011,1.349,0.019,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,3.28,0.09,53.57,0.83,157.23,5.68,43.8,0.7,56.2,0.7,0.0,1.2,3.3,11.0,28.2,23.1,11.6,6.4,4.2,3.8,7.2,,,,,,,
16CCT03-GB232M(B),14-15,Sandy Mud,N=8,36.91,0.36,4.241,0.087,-0.385,0.014,1.283,0.008,4.760,0.014,2.084,0.030,0.385,0.014,1.283,0.008,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,3.30,0.12,50.52,0.22,153.42,3.76,41.8,0.2,58.2,0.2,0.0,0.6,3.7,10.6,27.0,23.0,12.4,7.3,4.6,3.7,7.2,,,,,,,
16CCT03-GB232M(B),15-16,Sandy Mud,N=8,41.46,0.47,4.315,0.090,-0.349,0.011,1.397,0.013,4.592,0.016,2.109,0.030,0.349,0.011,1.397,0.013,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,3.88,0.14,55.07,0.32,177.76,4.78,45.0,0.2,55.0,0.2,0.0,0.9,5.4,11.5,27.3,22.6,11.6,6.5,4.2,3.4,6.7,,,,,,,
16CCT03-GB232M(B),16-17,Sandy Mud,N=8,45.98,0.60,4.327,0.055,-0.326,0.005,1.481,0.025,4.443,0.019,2.113,0.018,0.326,0.005,1.481,0.025,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,4.40,0.21,59.35,0.50,210.47,8.91,47.9,0.3,52.1,0.3,0.0,1.1,7.3,11.6,27.9,22.0,10.8,6.0,3.8,3.1,6.3,,,,,,,
16CCT03-GB232M(B),17-18,Muddy Sand,N=8,54.36,2.10,4.422,0.022,-0.285,0.014,1.513,0.013,4.202,0.056,2.145,0.007,0.285,0.014,1.513,0.013,Very Coarse Silt,Very Poorly Sorted,Fine Skewed,Very Leptokurtic,5.11,0.34,65.88,1.13,287.03,11.58,52.1,0.7,47.9,0.7,0.0,1.7,10.1,12.8,27.5,20.7,9.7,5.2,3.4,2.9,5.9,,,,,,,
16CCT03-GB232M(B),18-19,Muddy Sand,N=8,56.78,2.86,4.706,0.031,-0.263,0.023,1.466,0.005,4.140,0.073,2.235,0.009,0.263,0.023,1.466,0.005,Very Coarse Silt,Very Poorly Sorted,Fine Skewed,Leptokurtic,4.87,0.38,67.40,1.13,325.49,16.53,52.9,0.7,47.1,0.7,0.1,2.5,11.3,12.6,26.4,19.9,9.4,5.3,3.5,3.0,6.0,,,,,,,
16CCT03-GB232M(B),19-20,Muddy Sand,N=8,56.12,2.47,4.735,0.104,-0.251,0.015,1.460,0.016,4.157,0.063,2.243,0.032,0.251,0.015,1.460,0.016,Very Coarse Silt,Very Poorly Sorted,Fine Skewed,Leptokurtic,4.84,0.15,65.65,1.33,323.20,14.61,51.9,0.8,48.1,0.8,0.0,2.5,11.5,11.8,26.1,20.4,9.7,5.4,3.5,3.0,6.0,,,,,,,
16CCT03-GB232M(B),20-21,Muddy Sand,N=8,68.04,1.09,5.240,0.070,-0.187,0.006,1.213,0.013,3.878,0.023,2.389,0.019,0.187,0.006,1.213,0.013,Very Fine Sand,Very Poorly Sorted,Fine Skewed,Leptokurtic,5.36,0.20,71.66,1.28,401.94,5.14,55.1,0.7,44.9,0.7,0.0,4.5,17.1,10.8,22.7,18.6,8.9,5.3,3.5,2.9,5.7,,,,,,,
16CCT03-GB232M(B),21-22,Muddy Sand,N=8,67.54,9.16,5.217,0.024,-0.209,0.004,1.197,0.115,3.901,0.197,2.383,0.007,0.209,0.004,1.197,0.115,Very Fine Sand,Very Poorly Sorted,Fine Skewed,Mesokurtic,5.22,0.73,73.25,8.72,392.38,34.95,55.2,4.0,44.8,4.0,0.4,3.5,18.6,10.8,22.0,18.2,8.9,5.4,3.6,2.9,5.8,,,,,,,
16CCT03-GB232M(B),22-23,Muddy Sand,N=7,62.20,1.64,5.870,0.098,-0.234,0.004,1.006,0.005,4.008,0.038,2.553,0.024,0.234,0.004,1.006,0.005,Very Fine Sand,Very Poorly Sorted,Fine Skewed,Mesokurtic,3.79,0.23,71.73,0.92,405.49,3.39,54.5,0.4,45.5,0.4,0.0,3.8,21.3,9.9,19.5,16.6,8.8,5.8,4.2,3.5,6.7,,,,,,,
16CCT03-GB232M(B),23-24,Sandy Mud,N=8,49.81,2.09,6.750,0.057,-0.219,0.002,0.927,0.012,4.329,0.061,2.755,0.012,0.219,0.002,0.927,0.012,Very Coarse Silt,Very Poorly Sorted,Fine Skewed,Mesokurtic,2.60,0.11,59.89,2.04,406.58,10.62,48.8,0.9,51.2,0.9,0.1,4.3,18.6,8.5,17.3,16.0,9.9,7.2,5.5,4.5,8.2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16CCT03-GB233M,0-1,Sandy Mud,N=7,46.73,1.41,3.167,0.044,-0.472,0.017,1.679,0.032,4.420,0.044,1.663,0.020,0.472,0.017,1.679,0.032,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,6.17,0.57,59.63,1.00,127.74,5.71,47.2,1.0,52.8,1.0,0.0,0.2,0.5,9.9,36.7,27.1,9.8,4.7,3.0,2.9,5.2,,,,,,,
16CCT03-GB233M,1-2,Sandy Mud,N=8,38.75,1.10,3.541,0.085,-0.497,0.006,1.461,0.028,4.690,0.041,1.824,0.035,0.497,0.006,1.461,0.028,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Leptokurtic,3.97,0.43,53.59,0.42,120.00,0.30,42.0,0.3,58.0,0.3,0.0,0.0,0.1,8.7,33.2,27.1,11.3,5.9,3.7,3.3,6.6,,,,,,,
16CCT03-GB233M,2-3,Sandy Mud,N=7,34.76,1.04,3.871,0.048,-0.486,0.004,1.291,0.023,4.847,0.043,1.953,0.018,0.486,0.004,1.291,0.023,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Leptokurtic,3.18,0.15,50.68,1.34,123.58,2.42,40.4,1.1,59.6,1.1,0.0,0.0,0.1,9.5,30.7,25.4,11.8,6.6,4.6,4.1,7.2,,,,,,,
16CCT03-GB233M,3-4,Sandy Mud,N=8,32.14,0.71,3.950,0.066,-0.462,0.010,1.229,0.012,4.960,0.032,1.982,0.024,0.462,0.010,1.229,0.012,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Leptokurtic,2.99,0.22,46.35,0.18,119.58,0.66,37.1,0.1,62.9,0.1,0.0,0.0,0.1,8.7,28.2,25.8,12.9,7.5,5.0,4.1,7.5,,,,,,,
16CCT03-GB233M,4-5,Sandy Mud,N=8,45.70,1.12,3.483,0.057,-0.441,0.010,1.600,0.040,4.452,0.036,1.800,0.024,0.441,0.010,1.600,0.040,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,5.24,0.37,59.07,0.96,141.82,1.38,47.1,0.8,52.9,0.8,0.0,0.9,1.3,11.5,33.5,25.8,10.0,5.1,3.3,2.9,5.8,,,,,,,
16CCT03-GB233M,5-6,Sandy Mud,N=8,40.23,0.58,3.688,0.061,-0.465,0.004,1.459,0.015,4.636,0.021,1.883,0.024,0.465,0.004,1.459,0.015,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Leptokurtic,3.96,0.32,55.33,0.29,134.51,1.68,44.0,0.3,56.0,0.3,0.0,0.3,1.1,10.8,32.0,25.9,10.6,5.6,3.9,3.5,6.4,,,,,,,
16CCT03-GB233M,6-7,Sandy Mud,N=8,38.30,0.60,3.881,0.068,-0.470,0.018,1.357,0.045,4.707,0.022,1.956,0.025,0.470,0.018,1.357,0.045,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Leptokurtic,3.59,0.42,54.66,0.57,136.85,1.33,43.9,0.3,56.1,0.3,0.0,0.2,1.2,11.1,31.3,24.5,10.7,6.2,4.3,3.7,6.8,,,,,,,
16CCT03-GB233M,7-8,Sandy Mud,N=7,39.41,1.68,3.724,0.060,-0.470,0.009,1.440,0.045,4.666,0.061,1.897,0.023,0.470,0.009,1.440,0.045,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Leptokurtic,3.70,0.38,54.51,1.14,132.35,3.09,43.4,0.9,56.6,0.9,0.0,0.2,0.9,10.6,31.8,25.8,10.9,5.7,3.8,3.6,6.8,,,,,,,
16CCT03-GB233M,8-9,Sandy Mud,N=8,40.32,1.55,3.656,0.043,-0.471,0.015,1.456,0.030,4.634,0.056,1.870,0.017,0.471,0.015,1.456,0.030,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Leptokurtic,4.11,0.38,55.12,1.02,131.84,4.54,43.9,0.9,56.1,0.9,0.0,0.2,0.6,10.7,32.4,25.7,10.9,5.8,3.8,3.2,6.5,,,,,,,
16CCT03-GB233M,9-10,Sandy Mud,N=8,34.83,0.87,3.871,0.029,-0.479,0.008,1.303,0.032,4.844,0.036,1.953,0.011,0.479,0.008,1.303,0.032,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Leptokurtic,3.23,0.11,49.99,1.25,123.49,1.80,40.0,1.0,60.0,1.0,0.0,0.0,0.1,9.5,30.4,25.6,12.0,6.7,4.6,3.7,7.3,,,,,,,
16CCT03-GB233M,10-11,Sandy Mud,N=8,37.18,0.78,3.745,0.048,-0.472,0.003,1.378,0.012,4.749,0.031,1.905,0.018,0.472,0.003,1.378,0.012,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Leptokurtic,3.61,0.21,51.85,0.66,126.26,0.86,41.4,0.6,58.6,0.6,0.0,0.0,0.1,10.2,31.0,26.0,11.8,6.3,4.2,3.5,6.9,,,,,,,
16CCT03-GB233M,11-12,Sandy Mud,N=7,27.59,1.76,4.080,0.206,-0.391,0.085,1.007,0.065,5.183,0.094,2.027,0.074,0.391,0.085,1.007,0.065,Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Mesokurtic,3.01,0.45,39.26,5.99,115.86,5.34,33.3,3.8,66.7,3.8,0.0,0.0,0.1,8.1,25.1,23.1,13.6,10.1,7.7,5.2,6.9,,,,,,,
16CCT03-GB233M,12-13,Sandy Mud,N=8,31.65,1.92,4.258,0.149,-0.494,0.008,1.215,0.061,4.984,0.088,2.089,0.051,0.494,0.008,1.215,0.061,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,2.47,0.24,48.95,1.21,125.67,2.20,39.7,0.8,60.3,0.8,0.0,0.0,0.3,9.9,29.5,24.4,11.5,6.6,4.9,4.4,8.6,,,,,,,
16CCT03-GB233M,13-14,Sandy Mud,N=8,37.86,0.95,3.864,0.090,-0.450,0.005,1.366,0.030,4.723,0.036,1.950,0.034,0.450,0.005,1.366,0.030,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Leptokurtic,3.58,0.21,52.40,0.43,134.85,2.43,42.4,0.3,57.6,0.3,0.0,0.4,1.1,10.6,30.3,24.9,11.8,6.3,4.2,3.5,7.0,,,,,,,
16CCT03-GB233M,14-15,Sandy Mud,N=8,39.74,0.63,3.970,0.056,-0.472,0.008,1.353,0.018,4.653,0.023,1.989,0.021,0.472,0.008,1.353,0.018,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Leptokurtic,3.57,0.29,57.21,0.51,144.72,3.57,46.2,0.4,53.8,0.4,0.0,0.4,1.6,12.2,32.0,22.7,10.4,6.0,4.2,3.7,6.8,,,,,,,
16CCT03-GB233M,15-16,Sandy Mud,N=8,35.44,4.43,4.026,0.094,-0.454,0.018,1.188,0.174,4.830,0.181,2.009,0.034,0.454,0.018,1.188,0.174,Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Mesokurtic,3.43,0.23,51.17,5.75,134.85,8.37,42.3,3.6,57.7,3.6,0.0,0.1,1.1,10.9,30.1,22.1,11.4,7.7,5.6,4.2,6.8,,,,,,,
16CCT03-GB233M,16-17,Sandy Mud,N=8,31.71,2.18,4.012,0.077,-0.420,0.043,1.027,0.089,4.982,0.100,2.004,0.027,0.420,0.043,1.027,0.089,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Mesokurtic,3.47,0.20,45.15,4.12,126.56,1.77,38.6,2.2,61.4,2.2,0.0,0.0,0.2,10.2,28.2,21.3,12.5,9.6,7.0,4.6,6.3,,,,,,,
16CCT03-GB233M,17-18,Sandy Mud,N=8,35.81,6.38,4.046,0.196,-0.440,0.047,1.178,0.229,4.827,0.260,2.015,0.070,0.440,0.047,1.178,0.229,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Leptokurtic,3.51,0.43,51.12,8.93,137.39,8.14,42.8,5.4,57.2,5.4,0.0,0.4,1.2,11.2,30.0,21.0,11.1,8.1,6.0,4.3,6.7,,,,,,,
16CCT03-GB233M,18-19,Sandy Mud,N=8,44.66,0.85,3.726,0.102,-0.490,0.006,1.473,0.016,4.485,0.027,1.897,0.039,0.490,0.006,1.473,0.016,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Leptokurtic,4.28,0.40,62.31,0.44,146.17,3.62,49.8,0.3,50.2,0.3,0.0,0.1,1.3,13.8,34.7,22.1,9.6,5.3,3.6,3.2,6.4,,,,,,,
16CCT03-GB233M,19-20,Sandy Mud,N=8,35.96,3.91,4.099,0.189,-0.486,0.008,1.232,0.115,4.806,0.157,2.034,0.067,0.486,0.008,1.232,0.115,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,3.15,0.45,53.59,3.23,135.05,5.53,43.7,2.2,56.3,2.2,0.0,0.3,0.7,11.3,31.3,22.2,11.0,6.7,4.9,4.1,7.4,,,,,,,
