study_id,site_id,core_id,Class,Sedimentar
Rovai_et_al_2022,PA2,S0L2MG2,Delta,Terrigenous
Rovai_et_al_2022,PA2,S0L2MG3,Delta,Terrigenous
Rovai_et_al_2022,PA3,S0L3MG1,Delta,Terrigenous
Rovai_et_al_2022,PA3,S0L3MG2,Delta,Terrigenous
Rovai_et_al_2022,PA3,S0L3MG3,Delta,Terrigenous
Rovai_et_al_2022,GN3,N11L3MG1,OpenCoast,Terrigenous
Rovai_et_al_2022,GN3,N11L3MG2,OpenCoast,Terrigenous
Rovai_et_al_2022,GN3,N11L3MG3,OpenCoast,Terrigenous
Rovai_et_al_2022,SB1,SB-C1,OpenCoast,Carbonate
Rovai_et_al_2022,SB1,SB-C2,OpenCoast,Carbonate
Rovai_et_al_2022,SB1,SB-C3,OpenCoast,Carbonate
Rovai_et_al_2022,RB23,RB2-C1,Lagoon,Terrigenous
Rovai_et_al_2022,RB23,RB2-C2,Lagoon,Terrigenous
Rovai_et_al_2022,RB23,RB2-C3,Lagoon,Terrigenous
Rovai_et_al_2022,SRS61,SRS6-C1,Lagoon,Carbonate
Rovai_et_al_2022,SRS61,SRS6-C2,Lagoon,Carbonate
Rovai_et_al_2022,SRS61,SRS6-C3,Lagoon,Carbonate
Rovai_et_al_2022,NR2,NR-C1,Lagoon,Carbonate
Rovai_et_al_2022,NR2,NR-C2,Lagoon,Carbonate
Rovai_et_al_2022,NR2,NR-C3,Lagoon,Carbonate
Rovai_et_al_2022,CB3,CB-C1,Lagoon,Carbonate
Rovai_et_al_2022,CB3,CB-C2,Lagoon,Carbonate
Rovai_et_al_2022,CB3,CB-C3,Lagoon,Carbonate
Rovai_et_al_2022,TS71,TS7-C1,Lagoon,Carbonate
Rovai_et_al_2022,TS71,TS7-C2,Lagoon,Carbonate
Rovai_et_al_2022,TS71,TS7-C3,Lagoon,Carbonate
Rovai_et_al_2022,TS82,TS8-C1,Lagoon,Carbonate
Rovai_et_al_2022,TS82,TS8-C2,Lagoon,Carbonate
Rovai_et_al_2022,TS82,TS8-C3,Lagoon,Carbonate
Rovai_et_al_2022,TC3,TC-C1,Lagoon,Carbonate
Rovai_et_al_2022,TC3,TC-C2,Lagoon,Carbonate
Rovai_et_al_2022,TC3,TC-C3,Lagoon,Carbonate
Rovai_et_al_2022,GP2,S13L2MG1,OpenCoast,Terrigenous
Rovai_et_al_2022,GP2,S13L2MG2,OpenCoast,Terrigenous
Rovai_et_al_2022,GP2,S13L2MG3,OpenCoast,Terrigenous
Rovai_et_al_2022,GP3,S13L3MG1,OpenCoast,Terrigenous
Rovai_et_al_2022,GP3,S13L3MG2,OpenCoast,Terrigenous
Rovai_et_al_2022,GP3,S13L3MG3,OpenCoast,Terrigenous
Rovai_et_al_2022,SP1,S23L1MG1,Lagoon,Terrigenous
Rovai_et_al_2022,SP1,S23L1MG2,Lagoon,Terrigenous
Rovai_et_al_2022,SP1,S23L1MG3,Lagoon,Terrigenous
Rovai_et_al_2022,ES1,N13L1MG1,Lagoon,Terrigenous
Rovai_et_al_2022,ES1,N13L1MG2,Lagoon,Terrigenous
Rovai_et_al_2022,ES1,N13L1MG3,Lagoon,Terrigenous
Rovai_et_al_2022,ES2,N13L2MG1,Estuary,Terrigenous
Rovai_et_al_2022,ES2,N13L2MG2,Estuary,Terrigenous
Rovai_et_al_2022,ES2,N13L2MG3,Estuary,Terrigenous
Rovai_et_al_2022,ES3,N13L3MG1,Lagoon,Terrigenous
Rovai_et_al_2022,ES3,N13L3MG2,Lagoon,Terrigenous
Rovai_et_al_2022,ES3,N13L3MG3,Lagoon,Terrigenous
Rovai_et_al_2022,CQ1,CQ1-C1,Estuary,Terrigenous
Rovai_et_al_2022,CQ1,CQ1-C2,Estuary,Terrigenous
Rovai_et_al_2022,CQ1,CQ1-C3,Estuary,Terrigenous
Rovai_et_al_2022,CQ2,CQ2-C1,OpenCoast,Terrigenous
Rovai_et_al_2022,CQ2,CQ2-C2,OpenCoast,Terrigenous
Rovai_et_al_2022,CQ2,CQ2-C3,OpenCoast,Terrigenous
Rovai_et_al_2022,CQ3,CQ3-C1,Estuary,Terrigenous
Rovai_et_al_2022,CQ3,CQ3-C2,Estuary,Terrigenous
Rovai_et_al_2022,CQ3,CQ3-C3,Estuary,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished Vanga22b,M1129,Estuary,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished Vanga20b,M1130,Estuary,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished VangaAM,M1131,Estuary,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished Vanga2,M1133,Estuary,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished Vanga17,M1136,Estuary,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished Vanga31,M1137,Estuary,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished Vanga14b,M1138,Estuary,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished Vanga15,M1139,Estuary,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished Vanga16,M1140,Estuary,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished Vanga13,M1141,Estuary,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished Vanga44,M1142,Estuary,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished Vanga44b,M1143,Estuary,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished Vanga43b,M1144,Estuary,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished Vanga45b,M1145,Estuary,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished VangaRM1,M1146,Estuary,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished Vanga41b,M1147,Estuary,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished Vanga45,M1149,Estuary,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished VangaC1,M1150,Estuary,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished VangaA1,M1151,Estuary,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished VangaW2,M1152,Estuary,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished VangaW3,M1153,Estuary,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished VangaW4,M1154,Estuary,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished VangaW5,M1155,Estuary,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished Vanga6,M1156,Estuary,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished GaziB13,M1157,OpenCoast,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished GaziB16,M1158,OpenCoast,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished GaziB2,M1159,OpenCoast,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished GaziB26,M1160,OpenCoast,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished GaziB27,M1161,OpenCoast,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished GaziB3,M1162,OpenCoast,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished GaziB11,M1163,OpenCoast,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished GaziB28,M1164,OpenCoast,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished GaziB29,M1165,OpenCoast,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished GaziB17,M1166,OpenCoast,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished GaziB6,M1167,OpenCoast,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished GaziB7,M1168,OpenCoast,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished GaziB14,M1169,OpenCoast,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished GaziB23,M1171,OpenCoast,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished GaziB12,M1172,OpenCoast,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished GaziB18,M1174,OpenCoast,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished GaziB19,M1175,OpenCoast,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished GaziB21,M1176,OpenCoast,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished GaziB30,M1177,OpenCoast,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished GaziB9,M1179,OpenCoast,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished GaziS46,M1181,OpenCoast,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished GaziS25,M1182,OpenCoast,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished GaziS44,M1183,OpenCoast,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished GaziS45,M1184,OpenCoast,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished GaziS10,M1185,OpenCoast,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished GaziS38,M1186,OpenCoast,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished GaziS39,M1187,OpenCoast,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished GaziS41,M1188,OpenCoast,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished GaziS24,M1189,OpenCoast,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished GaziS49,M1190,OpenCoast,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished GaziS21,M1191,OpenCoast,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished GaziS22,M1192,OpenCoast,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished GaziS29,M1194,OpenCoast,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished GaziS31,M1195,OpenCoast,Terrigenous
"S._Gress_Unpublished,_Gress_et_al_2016",SKG Unpublished GaziS33,M1196,OpenCoast,Terrigenous
Sahu_et_al_2016,SCS16 Natural,M0387,Delta,Terrigenous
Saintilan_et_al_2013,NS13 MarraMarra,M0370,Estuary,Terrigenous
Saintilan_et_al_2013,NS13 Kooragang Island,M0372,Estuary,Terrigenous
Sanders_et_al_2010_ECSS,CJS10ECSS T5B,M0653,Estuary,Terrigenous
Sanders_et_al_2010_ECSS,CJS10ECSS T5C,M0654,Estuary,Terrigenous
Sanders_et_al_2012_MER,CJS12 MER GTA,M1197,Estuary,Terrigenous
Sanders_et_al_2012_MER,CJS12 MER PAA,M1198,Estuary,Terrigenous
Sanders_et_al_2014,CJS14 Ilow,M0655,Lagoon,Terrigenous
Sanders_et_al_2014,CJS14 Iup,M0656,Lagoon,Terrigenous
Sanders_et_al_2015,CJS15 JW1,M0695,Estuary,Terrigenous
Sanders_et_al_2016_JGR_Biogeoscience,CJS16 JGR D1,M1081,Estuary,Terrigenous
Sanders_et_al_2016_JGR_Biogeoscience,CJS16 JGR D2,M1082,Estuary,Terrigenous
Sanders_et_al_2016_JGR_Biogeoscience,CJS16 JGR D3,M1083,Estuary,Terrigenous
Sanders_et_al_2016_JGR_Biogeoscience,CJS16 JGR D4,M1084,Estuary,Terrigenous
Sanders_et_al_2016_JGR_Biogeoscience,CJS16 JGR D5,M1085,Estuary,Terrigenous
Sanders_et_al_2016_JGR_Biogeoscience,CJS16 JGR D6,M1086,Estuary,Terrigenous
Sanders_et_al_2016_JGR_Biogeoscience,CJS16 JGR H1,M1087,OpenCoast,Terrigenous
Sanders_et_al_2016_JGR_Biogeoscience,CJS16 JGR H2,M1088,OpenCoast,Terrigenous
Sanders_et_al_2016_JGR_Biogeoscience,CJS16 JGR H3,M1089,OpenCoast,Terrigenous
Sanders_et_al_2016_JGR_Biogeoscience,CJS16 JGR H4,M1090,OpenCoast,Terrigenous
Sanders_et_al_2016_JGR_Biogeoscience,CJS16 JGR H5,M1091,OpenCoast,Terrigenous
Sanders_et_al_2016_JGR_Biogeoscience,CJS16 JGR H6,M1092,OpenCoast,Terrigenous
Sanders_et_al_2016_JGR_Biogeoscience,CJS16 JGR N1,M1103,Estuary,Terrigenous
Sanders_et_al_2016_JGR_Biogeoscience,CJS16 JGR N2,M1104,Estuary,Terrigenous
Sanders_et_al_2016_JGR_Biogeoscience,CJS16 JGR N3,M1105,Estuary,Terrigenous
Sanders_et_al_2016_JGR_Biogeoscience,CJS16 JGR N4,M1106,Estuary,Terrigenous
Sanders_et_al_2016_JGR_Biogeoscience,CJS16 JGR N5,M1107,Estuary,Terrigenous
Sanders_et_al_2016_JGR_Biogeoscience,CJS16 JGR N6,M1108,Estuary,Terrigenous
Schile-Beers_and_Megonigal_2017,Ajman al Zorah,Ajman_al_Zorah_mangrove_1,OpenCoast,Terrigenous
Schile-Beers_and_Megonigal_2017,Ajman al Zorah,Ajman_al_Zorah_mangrove_2,OpenCoast,Terrigenous
Schile-Beers_and_Megonigal_2017,Ajman al Zorah,Ajman_al_Zorah_mangrove_3,OpenCoast,Terrigenous
Schile-Beers_and_Megonigal_2017,Ajman al Zorah,Ajman_al_Zorah_mangrove_4,OpenCoast,Terrigenous
Schile-Beers_and_Megonigal_2017,Ajman al Zorah,Ajman_al_Zorah_mangrove_5,OpenCoast,Terrigenous
Schile-Beers_and_Megonigal_2017,Ajman al Zorah,Ajman_al_Zorah_mangrove_6,OpenCoast,Terrigenous
Schile-Beers_and_Megonigal_2017,Al Rams,Al_Rams_mangrove_1,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Al Rams,Al_Rams_mangrove_2,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Al Rams,Al_Rams_mangrove_3,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Al Rams,Al_Rams_mangrove_4,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Al Rams,Al_Rams_mangrove_5,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Al Rams,Al_Rams_mangrove_6,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Al Shalila,Al_Shalila_mangrove_1,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Al Shalila,Al_Shalila_mangrove_2,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Al Shalila,Al_Shalila_mangrove_3,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Al Shalila,Al_Shalila_mangrove_4,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Al Shalila,Al_Shalila_mangrove_5,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Al Shalila,Al_Shalila_mangrove_6,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Bu Tinah Shamal,Bu_Tinah_Shamal_mangrove_1,OpenCoast,Carbonate
Schile-Beers_and_Megonigal_2017,Bu Tinah Shamal,Bu_Tinah_Shamal_mangrove_2,OpenCoast,Carbonate
Schile-Beers_and_Megonigal_2017,Bu Tinah Shamal,Bu_Tinah_Shamal_mangrove_3,OpenCoast,Carbonate
Schile-Beers_and_Megonigal_2017,Bu Tinah Shamal,Bu_Tinah_Shamal_mangrove_4,OpenCoast,Carbonate
Schile-Beers_and_Megonigal_2017,Bu Tinah Shamal,Bu_Tinah_Shamal_mangrove_5,OpenCoast,Carbonate
Schile-Beers_and_Megonigal_2017,Bu Tinah Shamal,Bu_Tinah_Shamal_mangrove_6,OpenCoast,Carbonate
Schile-Beers_and_Megonigal_2017,Eastern Mangrove,Eastern_Mangrove_mangrove_1,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Eastern Mangrove,Eastern_Mangrove_mangrove_2,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Eastern Mangrove,Eastern_Mangrove_mangrove_3,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Eastern Mangrove,Eastern_Mangrove_mangrove_4,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Eastern Mangrove,Eastern_Mangrove_mangrove_5,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Eastern Mangrove,Eastern_Mangrove_mangrove_6,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Kalba East,Kalba_East_mangrove_1,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Kalba East,Kalba_East_mangrove_2,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Kalba East,Kalba_East_mangrove_3,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Kalba East,Kalba_East_mangrove_4,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Kalba East,Kalba_East_mangrove_5,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Kalba East,Kalba_East_mangrove_6,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Kalba North,Kalba_North_mangrove_1,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Kalba North,Kalba_North_mangrove_2,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Kalba North,Kalba_North_mangrove_3,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Kalba North,Kalba_North_mangrove_4,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Kalba North,Kalba_North_mangrove_5,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Kalba North,Kalba_North_mangrove_6,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Kalba South,Kalba_South_mangrove_1,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Kalba South,Kalba_South_mangrove_2,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Kalba South,Kalba_South_mangrove_3,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Kalba South,Kalba_South_mangrove_4,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Kalba South,Kalba_South_mangrove_5,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Kalba South,Kalba_South_mangrove_6,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Kalba West,Kalba_West_mangrove_1,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Kalba West,Kalba_West_mangrove_2,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Kalba West,Kalba_West_mangrove_3,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Kalba West,Kalba_West_mangrove_4,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Kalba West,Kalba_West_mangrove_5,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Kalba West,Kalba_West_mangrove_6,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Ras al Kaimah,Ras_al_Kaimah_mangrove_1,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Ras al Kaimah,Ras_al_Kaimah_mangrove_2,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Ras al Kaimah,Ras_al_Kaimah_mangrove_3,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Ras al Kaimah,Ras_al_Kaimah_mangrove_4,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Ras al Kaimah,Ras_al_Kaimah_mangrove_5,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Ras al Kaimah,Ras_al_Kaimah_mangrove_6,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Salaam,Salaam_mangrove_1,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Salaam,Salaam_mangrove_2,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Salaam,Salaam_mangrove_3,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Salaam,Salaam_mangrove_4,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Salaam,Salaam_mangrove_5,Lagoon,Terrigenous
Schile-Beers_and_Megonigal_2017,Salaam,Salaam_mangrove_6,Lagoon,Terrigenous
Senger_et_al_2020,Pedro,Pe01,OpenCoast,Carbonate
Senger_et_al_2020,Pedro,Pe02,OpenCoast,Carbonate
Senger_et_al_2020,Pedro,Pe03,OpenCoast,Carbonate
Senger_et_al_2020,Pedro,Pe04,OpenCoast,Carbonate
Senger_et_al_2020,Pedro,Pe05,OpenCoast,Carbonate
Senger_et_al_2020,Awa_di_Lodo,Aw02,OpenCoast,Carbonate
Senger_et_al_2020,Awa_di_Lodo,Aw05,OpenCoast,Carbonate
Senger_et_al_2020,Isla_Yuwana,IY01,OpenCoast,Carbonate
Senger_et_al_2020,Isla_Yuwana,IY02,OpenCoast,Carbonate
Senger_et_al_2020,Isla_Yuwana,IY03,OpenCoast,Carbonate
Senger_et_al_2020,Isla_Yuwana,IY04,OpenCoast,Carbonate
Sharma_et_al_2021,Koh_Kohng_132,Koh_Kohng_132_359,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_132,Koh_Kohng_132_360,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_132,Koh_Kohng_132_361,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_133,Koh_Kohng_133_362,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_134,Koh_Kohng_134_365,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_134,Koh_Kohng_134_366,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_134,Koh_Kohng_134_367,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_134,Koh_Kohng_134_368,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_134,Koh_Kohng_134_369,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_137,Koh_Kohng_137_378,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_137,Koh_Kohng_137_379,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_137,Koh_Kohng_137_380,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_137,Koh_Kohng_137_381,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_137,Koh_Kohng_137_382,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_138,Koh_Kohng_138_383,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_138,Koh_Kohng_138_384,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_138,Koh_Kohng_138_385,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_138,Koh_Kohng_138_386,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_138,Koh_Kohng_138_387,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_140,Koh_Kohng_140_393,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_140,Koh_Kohng_140_394,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_140,Koh_Kohng_140_395,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_141,Koh_Kohng_141_396,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_141,Koh_Kohng_141_397,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_141,Koh_Kohng_141_398,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_141,Koh_Kohng_141_399,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_141,Koh_Kohng_141_400,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_142,Koh_Kohng_142_401,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_142,Koh_Kohng_142_402,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_142,Koh_Kohng_142_403,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_142,Koh_Kohng_142_404,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_142,Koh_Kohng_142_405,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_143,Koh_Kohng_143_406,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_143,Koh_Kohng_143_407,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_143,Koh_Kohng_143_408,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_143,Koh_Kohng_143_409,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_143,Koh_Kohng_143_410,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_144,Koh_Kohng_144_411,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_144,Koh_Kohng_144_412,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_144,Koh_Kohng_144_413,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_145,Koh_Kohng_145_414,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_145,Koh_Kohng_145_415,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_145,Koh_Kohng_145_416,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_145,Koh_Kohng_145_417,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_145,Koh_Kohng_145_418,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_146,Koh_Kohng_146_419,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_146,Koh_Kohng_146_420,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_146,Koh_Kohng_146_421,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_146,Koh_Kohng_146_422,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_146,Koh_Kohng_146_423,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_147,Koh_Kohng_147_424,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_147,Koh_Kohng_147_425,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_147,Koh_Kohng_147_426,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_147,Koh_Kohng_147_427,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_147,Koh_Kohng_147_428,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_148,Koh_Kohng_148_429,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_148,Koh_Kohng_148_430,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_148,Koh_Kohng_148_431,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_148,Koh_Kohng_148_432,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_148,Koh_Kohng_148_433,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_149,Koh_Kohng_149_434,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_149,Koh_Kohng_149_435,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_149,Koh_Kohng_149_436,Estuary,Terrigenous
Sharma_et_al_2021,Koh_Kohng_149,Koh_Kohng_149_437,Estuary,Terrigenous
