"","Source","Site_name","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","SOM_perc","N_perc","DOI"
"212","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.32,0.33,"EA",NA,NA,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"213","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.33,0.34,"EA",0.67022187,7.939119704,0.101666667,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"214","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.34,0.35,"EA",NA,NA,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"215","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.35,0.36,"EA",1.901787057,8.042710309,0.1,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"216","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.36,0.37,"EA",NA,NA,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"217","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.37,0.38,"EA",1.27,8.146300914,0.1,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"218","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.38,0.39,"EA",NA,NA,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"219","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.39,0.4,"EA",0.822307237,8.436935123,0.1,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"220","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.4,0.41,"EA",NA,NA,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"221","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.41,0.42,"EA",0.475339806,8.727569331,0.1,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"222","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.42,0.43,"EA",NA,NA,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"223","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.43,0.44,"EA",1.17286479,8.56131553,0.1,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"224","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.44,0.45,"EA",NA,NA,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"225","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.45,0.46,"EA",0.580753709,8.395061728,0.1,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"226","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.46,0.47,"EA",NA,NA,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"227","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.47,0.48,"EA",0.444212622,8.576349602,0.1,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"228","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.48,0.49,"EA",NA,NA,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"229","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.49,0.5,"EA",0.616814859,8.757637475,0.12,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"230","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.5,0.52,"EA",0.595383705,NA,0.09,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"231","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.52,0.54,"EA",NA,NA,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"232","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.54,0.56,"EA",0.388763557,8.352599975,0.06,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"233","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.56,0.58,"EA",NA,NA,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"234","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.58,0.6,"EA",0.382437475,NA,0.06,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"235","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.6,0.62,"EA",NA,7.947562474,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"236","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.62,0.64,"EA",0.435301086,8.336755647,0.06,"https://doi.org/10.1016/j.gloplacha.2020.103215"
