"","Source","Site_name","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","SOM_perc","BD_reported_g_cm3","DOI"
"1648","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.26,0.27,"EA",8.490039659,NA,0.208302069,"https://doi.org/10.1038/s41467-019-12176-8"
"1649","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.27,0.28,"EA",NA,NA,0.217551571,"https://doi.org/10.1038/s41467-019-12176-8"
"1650","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.28,0.29,"EA",6.818680744,NA,0.213348099,"https://doi.org/10.1038/s41467-019-12176-8"
"1651","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.29,0.3,"EA",NA,NA,0.195221908,"https://doi.org/10.1038/s41467-019-12176-8"
"1652","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.3,0.31,"EA",9.40041997,NA,0.219024184,"https://doi.org/10.1038/s41467-019-12176-8"
"1653","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.31,0.32,"EA",NA,NA,0.199977144,"https://doi.org/10.1038/s41467-019-12176-8"
"1654","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.32,0.33,"EA",NA,NA,0.210661978,"https://doi.org/10.1038/s41467-019-12176-8"
"1655","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.33,0.34,"EA",NA,NA,0.202788158,"https://doi.org/10.1038/s41467-019-12176-8"
"1656","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.34,0.35,"EA",11.914117,NA,0.172726344,"https://doi.org/10.1038/s41467-019-12176-8"
"1657","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.35,0.36,"EA",NA,NA,0.192612214,"https://doi.org/10.1038/s41467-019-12176-8"
"1658","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.36,0.37,"EA",NA,NA,0.163741539,"https://doi.org/10.1038/s41467-019-12176-8"
"1659","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.37,0.38,"EA",NA,NA,0.188272665,"https://doi.org/10.1038/s41467-019-12176-8"
"1660","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.38,0.39,"EA",NA,NA,0.172487743,"https://doi.org/10.1038/s41467-019-12176-8"
"1661","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.39,0.4,"EA",10.85635099,NA,0.204413624,"https://doi.org/10.1038/s41467-019-12176-8"
"1662","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.4,0.41,"EA",NA,NA,0.226784296,"https://doi.org/10.1038/s41467-019-12176-8"
"1663","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.41,0.42,"EA",NA,NA,0.217920656,"https://doi.org/10.1038/s41467-019-12176-8"
"1664","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.42,0.43,"EA",NA,NA,0.387985112,"https://doi.org/10.1038/s41467-019-12176-8"
"1665","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.43,0.44,"EA",NA,NA,0.340363783,"https://doi.org/10.1038/s41467-019-12176-8"
"1666","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.44,0.45,"EA",3.033142377,NA,0.31763521,"https://doi.org/10.1038/s41467-019-12176-8"
"1667","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.45,0.46,"EA",NA,NA,0.398966332,"https://doi.org/10.1038/s41467-019-12176-8"
"1668","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.46,0.47,"EA",NA,NA,0.384793828,"https://doi.org/10.1038/s41467-019-12176-8"
"1669","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.47,0.48,"EA",NA,NA,0.500407013,"https://doi.org/10.1038/s41467-019-12176-8"
"1670","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.48,0.49,"EA",NA,NA,0.481919193,"https://doi.org/10.1038/s41467-019-12176-8"
"1671","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.49,0.5,"EA",NA,NA,0.622479191,"https://doi.org/10.1038/s41467-019-12176-8"
"1672","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.5,0.51,"EA",NA,NA,0.528108918,"https://doi.org/10.1038/s41467-019-12176-8"
"1673","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.51,0.52,"EA",NA,NA,0.680323064,"https://doi.org/10.1038/s41467-019-12176-8"
"1674","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.52,0.53,"EA",NA,NA,0.695666202,"https://doi.org/10.1038/s41467-019-12176-8"
"1675","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.53,0.54,"EA",NA,NA,0.57330323,"https://doi.org/10.1038/s41467-019-12176-8"
"1676","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.54,0.55,"EA",1.347470992,NA,0.749207809,"https://doi.org/10.1038/s41467-019-12176-8"
"1677","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.55,0.56,"EA",NA,NA,0.629870218,"https://doi.org/10.1038/s41467-019-12176-8"
"1678","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.56,0.57,"EA",NA,NA,0.654770429,"https://doi.org/10.1038/s41467-019-12176-8"
"1679","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.57,0.58,"EA",NA,NA,0.79665205,"https://doi.org/10.1038/s41467-019-12176-8"
"1680","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.58,0.59,"EA",NA,NA,0.737708377,"https://doi.org/10.1038/s41467-019-12176-8"
"1681","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.59,0.6,"EA",0.570991511,NA,0.885390976,"https://doi.org/10.1038/s41467-019-12176-8"
"1682","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.6,0.61,"EA",NA,NA,0.645476189,"https://doi.org/10.1038/s41467-019-12176-8"
"1683","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.61,0.62,"EA",NA,NA,0.909103777,"https://doi.org/10.1038/s41467-019-12176-8"
"1684","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.62,0.63,"EA",NA,NA,0.954400613,"https://doi.org/10.1038/s41467-019-12176-8"
"1685","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.63,0.64,"EA",NA,NA,0.928255204,"https://doi.org/10.1038/s41467-019-12176-8"
"1686","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.64,0.65,"EA",0.83213209,NA,0.788260019,"https://doi.org/10.1038/s41467-019-12176-8"
"1687","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.65,0.66,"EA",NA,NA,1.027602537,"https://doi.org/10.1038/s41467-019-12176-8"
"1688","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.66,0.67,"EA",NA,NA,0.774676561,"https://doi.org/10.1038/s41467-019-12176-8"
"1689","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.67,0.68,"EA",NA,NA,1.081487132,"https://doi.org/10.1038/s41467-019-12176-8"
"1690","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.68,0.69,"EA",NA,NA,1.008725127,"https://doi.org/10.1038/s41467-019-12176-8"
"1691","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.69,0.7,"EA",0.340102356,NA,1.111511664,"https://doi.org/10.1038/s41467-019-12176-8"
"1692","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.7,0.71,"EA",NA,NA,1.059273041,"https://doi.org/10.1038/s41467-019-12176-8"
"1693","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.71,0.72,"EA",NA,NA,1.271786038,"https://doi.org/10.1038/s41467-019-12176-8"
"1694","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.72,0.73,"EA",NA,NA,1.065718986,"https://doi.org/10.1038/s41467-019-12176-8"
"1695","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.73,0.74,"EA",NA,NA,1.287378962,"https://doi.org/10.1038/s41467-019-12176-8"
"1696","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.74,0.75,"EA",0.578143405,NA,1.064809321,"https://doi.org/10.1038/s41467-019-12176-8"
"1697","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.75,0.76,"EA",NA,NA,0.836632567,"https://doi.org/10.1038/s41467-019-12176-8"
"1698","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.76,0.77,"EA",NA,NA,1.068798425,"https://doi.org/10.1038/s41467-019-12176-8"
"1699","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.77,0.78,"EA",NA,NA,0.805044082,"https://doi.org/10.1038/s41467-019-12176-8"
"1700","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.78,0.79,"EA",NA,NA,0.95947274,"https://doi.org/10.1038/s41467-019-12176-8"
"1701","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.79,0.8,"EA",0.97187697,NA,1.081343599,"https://doi.org/10.1038/s41467-019-12176-8"
"1702","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.8,0.81,"EA",NA,NA,0.987101946,"https://doi.org/10.1038/s41467-019-12176-8"
"1703","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.81,0.82,"EA",NA,NA,1.090663935,"https://doi.org/10.1038/s41467-019-12176-8"
"1704","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.82,0.83,"EA",NA,NA,0.950033103,"https://doi.org/10.1038/s41467-019-12176-8"
"1705","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.83,0.84,"EA",NA,NA,1.046942236,"https://doi.org/10.1038/s41467-019-12176-8"
"1706","Serrano et al 2019","OS A23","A23","Saltmarsh",-33.566861,137.949778,"direct from dataset","1","Australia",2013,0.84,0.85,"EA",2.013385612,NA,0.704604405,"https://doi.org/10.1038/s41467-019-12176-8"
"1707","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0,0.01,"EA",18.54876479,NA,0.284860066,"https://doi.org/10.1038/s41467-019-12176-8"
"1708","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.01,0.02,"EA",17.09348847,NA,0.174272683,"https://doi.org/10.1038/s41467-019-12176-8"
"1709","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.02,0.03,"EA",16.27516407,NA,0.119769693,"https://doi.org/10.1038/s41467-019-12176-8"
"1710","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.03,0.04,"EA",16.02971178,NA,0.133102856,"https://doi.org/10.1038/s41467-019-12176-8"
"1711","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.04,0.05,"EA",12.24450452,NA,0.13524312,"https://doi.org/10.1038/s41467-019-12176-8"
"1712","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.05,0.06,"EA",18.47520465,NA,0.13753842,"https://doi.org/10.1038/s41467-019-12176-8"
"1713","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.06,0.07,"EA",12.72201728,NA,0.12759905,"https://doi.org/10.1038/s41467-019-12176-8"
"1714","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.07,0.08,"EA",13.85188994,NA,0.142429642,"https://doi.org/10.1038/s41467-019-12176-8"
"1715","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.08,0.09,"EA",13.32315823,NA,0.133653047,"https://doi.org/10.1038/s41467-019-12176-8"
"1716","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.09,0.1,"EA",14.64454324,NA,0.154586794,"https://doi.org/10.1038/s41467-019-12176-8"
"1717","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.1,0.11,"EA",11.96938163,NA,0.132390065,"https://doi.org/10.1038/s41467-019-12176-8"
"1718","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.11,0.12,"EA",NA,NA,0.110195226,"https://doi.org/10.1038/s41467-019-12176-8"
"1719","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.12,0.13,"EA",10.18001204,NA,0.148010966,"https://doi.org/10.1038/s41467-019-12176-8"
"1720","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.13,0.14,"EA",NA,NA,0.197257831,"https://doi.org/10.1038/s41467-019-12176-8"
"1721","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.14,0.15,"EA",5.063724455,NA,0.29173195,"https://doi.org/10.1038/s41467-019-12176-8"
"1722","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.15,0.16,"EA",NA,NA,0.233315226,"https://doi.org/10.1038/s41467-019-12176-8"
"1723","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.16,0.17,"EA",6.338632678,NA,0.25000815,"https://doi.org/10.1038/s41467-019-12176-8"
"1724","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.17,0.18,"EA",NA,NA,0.230031094,"https://doi.org/10.1038/s41467-019-12176-8"
"1725","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.18,0.19,"EA",7.994708121,NA,0.20424583,"https://doi.org/10.1038/s41467-019-12176-8"
"1726","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.19,0.2,"EA",NA,NA,0.26090421,"https://doi.org/10.1038/s41467-019-12176-8"
"1727","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.2,0.21,"EA",6.686711689,NA,0.187101031,"https://doi.org/10.1038/s41467-019-12176-8"
"1728","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.21,0.22,"EA",NA,NA,0.198961345,"https://doi.org/10.1038/s41467-019-12176-8"
"1729","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.22,0.23,"EA",8.781950003,NA,0.216788684,"https://doi.org/10.1038/s41467-019-12176-8"
"1730","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.23,0.24,"EA",NA,NA,0.189916272,"https://doi.org/10.1038/s41467-019-12176-8"
"1731","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.24,0.25,"EA",8.151265686,NA,0.216425671,"https://doi.org/10.1038/s41467-019-12176-8"
"1732","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.25,0.26,"EA",NA,NA,0.229970591,"https://doi.org/10.1038/s41467-019-12176-8"
"1733","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.26,0.27,"EA",5.993118179,NA,0.254999578,"https://doi.org/10.1038/s41467-019-12176-8"
"1734","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.27,0.28,"EA",NA,NA,0.263239215,"https://doi.org/10.1038/s41467-019-12176-8"
"1735","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.28,0.29,"EA",5.334063997,NA,0.272401511,"https://doi.org/10.1038/s41467-019-12176-8"
"1736","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.29,0.3,"EA",NA,NA,0.269712946,"https://doi.org/10.1038/s41467-019-12176-8"
"1737","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.3,0.31,"EA",6.133524653,NA,0.335395601,"https://doi.org/10.1038/s41467-019-12176-8"
"1738","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.31,0.32,"EA",NA,NA,0.253352785,"https://doi.org/10.1038/s41467-019-12176-8"
"1739","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.32,0.33,"EA",NA,NA,0.28408599,"https://doi.org/10.1038/s41467-019-12176-8"
"1740","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.33,0.34,"EA",NA,NA,0.187242833,"https://doi.org/10.1038/s41467-019-12176-8"
"1741","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.34,0.35,"EA",12.35991535,NA,0.19321364,"https://doi.org/10.1038/s41467-019-12176-8"
"1742","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.35,0.36,"EA",NA,NA,0.201201816,"https://doi.org/10.1038/s41467-019-12176-8"
"1743","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.36,0.37,"EA",NA,NA,0.171275936,"https://doi.org/10.1038/s41467-019-12176-8"
"1744","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.37,0.38,"EA",NA,NA,0.218681267,"https://doi.org/10.1038/s41467-019-12176-8"
"1745","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.38,0.39,"EA",NA,NA,0.221955946,"https://doi.org/10.1038/s41467-019-12176-8"
"1746","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.39,0.4,"EA",14.69267687,NA,0.174418267,"https://doi.org/10.1038/s41467-019-12176-8"
"1747","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.4,0.41,"EA",NA,NA,0.141567486,"https://doi.org/10.1038/s41467-019-12176-8"
"1748","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.41,0.42,"EA",NA,NA,0.194257302,"https://doi.org/10.1038/s41467-019-12176-8"
"1749","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.42,0.43,"EA",NA,NA,0.188040706,"https://doi.org/10.1038/s41467-019-12176-8"
"1750","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.43,0.44,"EA",NA,NA,0.182415896,"https://doi.org/10.1038/s41467-019-12176-8"
"1751","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.44,0.45,"EA",8.996001905,NA,0.216242274,"https://doi.org/10.1038/s41467-019-12176-8"
"1752","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.45,0.46,"EA",NA,NA,0.173885091,"https://doi.org/10.1038/s41467-019-12176-8"
"1753","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.46,0.47,"EA",NA,NA,0.164427848,"https://doi.org/10.1038/s41467-019-12176-8"
"1754","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.47,0.48,"EA",NA,NA,0.176046153,"https://doi.org/10.1038/s41467-019-12176-8"
"1755","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.48,0.49,"EA",NA,NA,0.301361247,"https://doi.org/10.1038/s41467-019-12176-8"
"1756","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.49,0.5,"EA",7.639245112,NA,0.178218558,"https://doi.org/10.1038/s41467-019-12176-8"
"1757","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.5,0.51,"EA",NA,NA,0.1899919,"https://doi.org/10.1038/s41467-019-12176-8"
"1758","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.51,0.52,"EA",NA,NA,0.245190665,"https://doi.org/10.1038/s41467-019-12176-8"
"1759","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.52,0.53,"EA",NA,NA,0.228344596,"https://doi.org/10.1038/s41467-019-12176-8"
"1760","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.53,0.54,"EA",NA,NA,0.430149542,"https://doi.org/10.1038/s41467-019-12176-8"
"1761","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.54,0.55,"EA",4.985422065,NA,0.540520603,"https://doi.org/10.1038/s41467-019-12176-8"
"1762","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.55,0.56,"EA",NA,NA,0.461812968,"https://doi.org/10.1038/s41467-019-12176-8"
"1763","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.56,0.57,"EA",NA,NA,0.524279555,"https://doi.org/10.1038/s41467-019-12176-8"
"1764","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.57,0.58,"EA",NA,NA,0.611841303,"https://doi.org/10.1038/s41467-019-12176-8"
"1765","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.58,0.59,"EA",NA,NA,0.575481397,"https://doi.org/10.1038/s41467-019-12176-8"
"1766","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.59,0.6,"EA",1.69038397,NA,0.69049978,"https://doi.org/10.1038/s41467-019-12176-8"
"1767","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.6,0.61,"EA",NA,NA,0.862900678,"https://doi.org/10.1038/s41467-019-12176-8"
"1768","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.61,0.62,"EA",NA,NA,0.938492451,"https://doi.org/10.1038/s41467-019-12176-8"
"1769","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.62,0.63,"EA",NA,NA,0.742166732,"https://doi.org/10.1038/s41467-019-12176-8"
"1770","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.63,0.64,"EA",NA,NA,0.816491741,"https://doi.org/10.1038/s41467-019-12176-8"
"1771","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.64,0.65,"EA",0.679765254,NA,0.676809276,"https://doi.org/10.1038/s41467-019-12176-8"
"1772","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.65,0.66,"EA",NA,NA,0.751132395,"https://doi.org/10.1038/s41467-019-12176-8"
"1773","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.66,0.67,"EA",NA,NA,0.734386532,"https://doi.org/10.1038/s41467-019-12176-8"
"1774","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.67,0.68,"EA",NA,NA,0.924926733,"https://doi.org/10.1038/s41467-019-12176-8"
"1775","Serrano et al 2019","OS A24","A24","Saltmarsh",-33.566722,137.950278,"direct from dataset","1","Australia",2013,0.68,0.69,"EA",NA,NA,0.77367323,"https://doi.org/10.1038/s41467-019-12176-8"
