"ID","TRANSID","COMPID","N","L"
2226,446,8,0,2.00
2227,446,9,0,3.00
2228,446,10,0,5.00
2229,446,12,0,12.00
2230,446,13,0,12.00
2231,447,8,23,2.00
2232,447,9,17,3.00
2233,447,10,15,5.00
2234,447,12,2,12.00
2235,447,13,1,12.00
2236,448,8,0,2.00
2237,448,9,0,3.00
2238,448,10,0,5.00
2239,448,12,0,12.00
2240,448,13,0,12.00
2241,449,8,0,2.00
2242,449,9,0,3.00
2243,449,10,0,5.00
2244,449,12,0,12.00
2245,449,13,0,12.00
2246,450,8,0,2.00
2247,450,9,0,3.00
2248,450,10,0,5.00
2249,450,12,0,12.00
2250,450,13,2,12.00
2251,451,8,0,2.00
2252,451,9,0,3.00
2253,451,10,0,5.00
2254,451,12,0,12.00
2255,451,13,0,12.00
2256,452,8,0,2.00
2257,452,9,0,3.00
2258,452,10,0,5.00
2259,452,12,0,12.00
2260,452,13,0,12.00
2261,453,8,0,2.00
2262,453,9,0,3.00
2263,453,10,0,5.00
2264,453,12,0,12.00
2265,453,13,0,12.00
2266,454,8,0,2.00
2267,454,9,0,3.00
2268,454,10,0,5.00
2269,454,12,0,12.00
2270,454,13,2,12.00
2271,455,8,0,2.00
2272,455,9,0,3.00
2273,455,10,0,5.00
2274,455,12,0,12.00
2275,455,13,0,12.00
2276,456,8,0,2.00
2277,456,9,0,3.00
2278,456,10,0,5.00
2279,456,12,0,12.00
2280,456,13,2,12.00
2281,457,8,0,2.00
2282,457,9,0,3.00
2283,457,10,0,5.00
2284,457,12,0,12.00
2285,457,13,0,12.00
2286,458,8,0,2.00
2287,458,9,0,3.00
2288,458,10,0,5.00
2289,458,12,0,12.00
2290,458,13,0,12.00
2291,459,8,0,2.00
2292,459,9,0,3.00
2293,459,10,0,5.00
2294,459,12,0,12.00
2295,459,13,1,12.00
2296,460,8,0,2.00
2297,460,9,0,3.00
2298,460,10,0,5.00
2299,460,12,0,12.00
2300,460,13,1,12.00
2301,461,8,0,2.00
2302,461,9,0,3.00
2303,461,10,0,5.00
2304,461,12,0,12.00
2305,461,13,0,12.00
2306,462,8,0,2.00
2307,462,9,0,3.00
2308,462,10,0,5.00
2309,462,12,0,12.00
2310,462,13,0,12.00
2311,463,8,0,2.00
2312,463,9,0,3.00
2313,463,10,0,5.00
2314,463,12,1,12.00
2315,463,13,0,12.00
2316,464,8,0,2.00
2317,464,9,0,3.00
2318,464,10,0,5.00
2319,464,12,0,12.00
2320,464,13,1,12.00
2321,465,8,0,2.00
2322,465,9,0,3.00
2323,465,10,0,5.00
2324,465,12,0,12.00
2325,465,13,2,12.00
2326,466,8,0,2.00
2327,466,9,0,3.00
2328,466,10,0,5.00
2329,466,12,0,12.00
2330,466,13,1,12.00
2331,467,8,0,2.00
2332,467,9,0,3.00
2333,467,10,0,5.00
2334,467,12,0,12.00
2335,467,13,3,12.00
2336,468,8,0,2.00
2337,468,9,0,3.00
2338,468,10,0,5.00
2339,468,12,0,12.00
2340,468,13,0,12.00
2341,469,8,0,2.00
2342,469,9,0,3.00
2343,469,10,0,5.00
2344,469,12,0,12.00
2345,469,13,1,12.00
2346,470,8,0,2.00
2347,470,9,0,3.00
2348,470,10,0,5.00
2349,470,12,0,12.00
2350,470,13,2,12.00
2351,471,8,0,2.00
2352,471,9,0,3.00
2353,471,10,0,5.00
2354,471,12,0,12.00
2355,471,13,2,12.00
2356,472,8,0,2.00
2357,472,9,0,3.00
2358,472,10,0,5.00
2359,472,12,0,12.00
2360,472,13,0,12.00
2361,473,8,0,2.00
2362,473,9,0,3.00
2363,473,10,0,5.00
2364,473,12,0,12.00
2365,473,13,0,12.00
2366,474,8,0,2.00
2367,474,9,0,3.00
2368,474,10,0,5.00
2369,474,12,0,12.00
2370,474,13,0,12.00
2371,475,8,0,2.00
2372,475,9,0,3.00
2373,475,10,0,5.00
2374,475,12,0,12.00
2375,475,13,0,12.00
2376,476,8,0,2.00
2377,476,9,0,3.00
2378,476,10,0,5.00
2379,476,12,0,12.00
2380,476,13,0,12.00
2381,477,8,0,2.00
2382,477,9,0,3.00
2383,477,10,0,5.00
2384,477,12,0,12.00
2385,477,13,1,12.00
2386,478,8,0,2.00
2387,478,9,0,3.00
2388,478,10,0,5.00
2389,478,12,0,12.00
2390,478,13,0,12.00
2391,479,8,0,2.00
2392,479,9,0,3.00
2393,479,10,0,5.00
2394,479,12,0,12.00
2395,479,13,4,12.00
2396,480,8,0,2.00
2397,480,9,0,3.00
2398,480,10,0,5.00
2399,480,12,0,12.00
2400,480,13,0,12.00
2401,481,8,0,2.00
2402,481,9,0,3.00
2403,481,10,0,5.00
2404,481,12,1,12.00
2405,481,13,0,12.00
2406,482,8,0,2.00
2407,482,9,0,3.00
2408,482,10,0,5.00
2409,482,12,0,12.00
2410,482,13,1,12.00
2411,483,8,0,2.00
2412,483,9,0,3.00
2413,483,10,0,5.00
2414,483,12,0,12.00
2415,483,13,0,12.00
2416,484,8,0,2.00
2417,484,9,0,3.00
2418,484,10,0,5.00
2419,484,12,0,12.00
2420,484,13,0,12.00
2421,485,8,0,2.00
2422,485,9,0,3.00
2423,485,10,0,5.00
2424,485,12,0,12.00
2425,485,13,0,12.00
2426,486,8,0,2.00
2427,486,9,0,3.00
2428,486,10,0,5.00
2429,486,12,0,12.00
2430,486,13,0,12.00
2431,487,8,0,2.00
2432,487,9,0,3.00
2433,487,10,0,5.00
2434,487,12,0,12.00
2435,487,13,0,12.00
2436,488,8,0,2.00
2437,488,9,0,3.00
2438,488,10,0,5.00
2439,488,12,0,12.00
2440,488,13,0,12.00
2441,489,8,0,2.00
2442,489,9,0,3.00
2443,489,10,0,5.00
2444,489,12,0,12.00
2445,489,13,0,12.00
2446,490,8,0,2.00
2447,490,9,0,3.00
2448,490,10,0,5.00
2449,490,12,0,12.00
2450,490,13,0,12.00
2451,491,8,0,2.00
2452,491,9,0,3.00
2453,491,10,0,5.00
2454,491,12,0,12.00
2455,491,13,0,12.00
2456,492,8,0,2.00
2457,492,9,0,3.00
2458,492,10,0,5.00
2459,492,12,0,12.00
2460,492,13,1,12.00
