"","X","study_id","site_id","core_id","method_id","depth_min","depth_max","dry_bulk_density","fraction_organic_matter","cs137_activity","cs137_activity_se","cs137_unit","excess_pb210_activity","excess_pb210_activity_se","total_pb210_activity","total_pb210_activity_se","pb210_unit","pb214_activity","pb214_activity_se","pb214_unit","bi214_activity","bi214_activity_se","bi214_unit","age","age_min","age_max","depth_interval_notes"
"203",203,"Langston_et_al_2022","Goodwin Island","NT3_1","push core",15,16,NA,NA,0.061714535049376,0.00756291056455354,"dpm/g",0.738138676962747,0.0693391971171457,1.49539996429681,0.0346551008200567,"dpm/g",0.744837025198587,0.0310350489602345,"dpm/g",0.857715594657907,0.0381303082147777,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"204",204,"Langston_et_al_2022","Goodwin Island","NT3_1","push core",17,18,NA,NA,0.030669892874226,0.00523637297507364,"dpm/g",0.152956213116864,0.074195206410936,0.957868127880157,0.0225493412768666,"dpm/g",0.787048494998277,0.0313320821090182,"dpm/g",0.910712598955295,0.0385883351868072,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"205",205,"Langston_et_al_2022","Goodwin Island","NT3_1","push core",19,20,NA,NA,0.0729560804859946,0.00835088402451587,"dpm/g",0.42986893270885,0.0617131137120316,1.14908987628511,0.0265525772490217,"dpm/g",0.684217945857271,0.0302091241153522,"dpm/g",0.725569817326256,0.0356169952547104,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"206",206,"Langston_et_al_2022","Goodwin Island","NT3_1","push core",23,24,NA,NA,0,NA,"dpm/g",0.693961269977883,0.0858923251602164,1.44966278422521,0.0350373061747839,"dpm/g",0.780999783777165,0.030038615207627,"dpm/g",0.876873201112184,0.0364417884797663,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"207",207,"Langston_et_al_2022","Goodwin Island","NT3_1","push core",27,28,NA,NA,0,NA,"dpm/g",0.537925334760037,0.0723659179902402,1.41576150480505,0.0326191768538847,"dpm/g",0.857616410942014,0.0330343457638493,"dpm/g",0.980764027557987,0.0404462508450942,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"208",208,"Langston_et_al_2022","Goodwin Island","NT3_1","push core",31,32,NA,NA,0,NA,"dpm/g",0.185330587032895,0.0673372297123831,1.02491055831476,0.0238842744427408,"dpm/g",0.825593300279724,0.0319433469984671,"dpm/g",0.931561557235393,0.0388490091442479,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"209",209,"Langston_et_al_2022","Goodwin Island","NT3_2","push core",0,1,NA,NA,0,NA,"dpm/g",3.66423687680829,0.147978678833635,4.3438960622597,0.100865701492762,"dpm/g",0.896134604415988,0.0402379222309405,"dpm/g",0.926024218283521,0.0468313580116289,"dpm/g",67.5,56,79,"age depth model recorded at whole-core level"
"210",210,"Langston_et_al_2022","Goodwin Island","NT3_2","push core",1,2,NA,NA,0.111566364372162,0.0121138446708161,"dpm/g",2.81186804540807,0.183936766990355,3.7593306708004,0.0867045265265277,"dpm/g",0.926284171294529,0.0413423926529994,"dpm/g",1.2625978474406,0.0552628247353875,"dpm/g",67.5,56,79,"age depth model recorded at whole-core level"
"211",211,"Langston_et_al_2022","Goodwin Island","NT3_2","push core",2,3,NA,NA,0,NA,"dpm/g",2.2837853935515,0.131791426116243,3.10154459440248,0.0723982751708043,"dpm/g",0.882434138053948,0.0381869216119899,"dpm/g",1.05059855357956,0.0477055345551904,"dpm/g",67.5,56,79,"age depth model recorded at whole-core level"
"212",212,"Langston_et_al_2022","Goodwin Island","NT3_2","push core",3,4,NA,NA,0,NA,"dpm/g",1.46381011139331,0.129130497318745,2.25075832558024,0.0526679836991784,"dpm/g",0.753195188472392,0.0349288095189842,"dpm/g",1.00856109129848,0.0462762498594412,"dpm/g",67.5,56,79,"age depth model recorded at whole-core level"
"213",213,"Langston_et_al_2022","Goodwin Island","NT3_2","push core",4,5,NA,NA,0,NA,"dpm/g",1.10922260693675,0.105087196229852,2.00628390161255,0.0474219197510783,"dpm/g",0.852524954808859,0.036451573413119,"dpm/g",1.05215813909817,0.0463639215302446,"dpm/g",67.5,56,79,"age depth model recorded at whole-core level"
"214",214,"Langston_et_al_2022","Goodwin Island","NT3_2","push core",5,6,NA,NA,0,NA,"dpm/g",1.08991961464297,0.0578519799510906,1.99563470546599,0.0458612289242496,"dpm/g",0.938594645864572,0.0403536279976121,"dpm/g",0.977919889070117,0.0471597892986445,"dpm/g",67.5,56,79,"age depth model recorded at whole-core level"
"215",215,"Langston_et_al_2022","Goodwin Island","NT3_4","push core",11,12,NA,NA,0,NA,"dpm/g",0.864017528265064,0.148492587968321,1.71567927030747,0.0403253811760487,"dpm/g",0.787292624549486,0.0358604272613068,"dpm/g",1.11338791828867,0.048825616596645,"dpm/g",28,22,34,"age depth model recorded at whole-core level"
"216",216,"Langston_et_al_2022","Goodwin Island","NT3_2","push core",7,8,NA,NA,0.100832755567051,0.0105471774601741,"dpm/g",0.890934045946809,0.0833523603902772,1.74160560653242,0.0407651246892866,"dpm/g",0.89305649796624,0.0372757074658888,"dpm/g",0.978954023704853,0.0446832068944802,"dpm/g",67.5,56,79,"age depth model recorded at whole-core level"
"217",217,"Langston_et_al_2022","Goodwin Island","NT3_2","push core",8,9,NA,NA,0.0459941491628619,0.00728581510007189,"dpm/g",1.13546276426552,0.128725280844643,1.99464196205187,0.046305390757338,"dpm/g",0.781208233651391,0.0356573425579067,"dpm/g",1.06671792972123,0.0477053877441975,"dpm/g",67.5,56,79,"age depth model recorded at whole-core level"
"218",218,"Langston_et_al_2022","Goodwin Island","NT3_2","push core",9,10,NA,NA,0.104321183515123,0.0113708445598779,"dpm/g",1.08106143054027,0.0818565577172307,2.07888908776247,0.047849020348885,"dpm/g",1.02238585267937,0.0422707733989246,"dpm/g",1.12714057524748,0.0508157751722491,"dpm/g",67.5,56,79,"age depth model recorded at whole-core level"
"219",219,"Langston_et_al_2022","Goodwin Island","NT3_2","push core",10,11,NA,NA,0.0751374893440592,0.00878826575704931,"dpm/g",0.945033603441215,0.111566152520022,1.80923414933126,0.0419464822045565,"dpm/g",0.836460621346073,0.0347623340464743,"dpm/g",1.05292089448015,0.0446540654023177,"dpm/g",67.5,56,79,"age depth model recorded at whole-core level"
"220",220,"Langston_et_al_2022","Goodwin Island","NT3_2","push core",11,12,NA,NA,0,NA,"dpm/g",0.908776601735558,0.0731435018563567,1.85734336067622,0.0430945623857004,"dpm/g",0.942009100895931,0.0397365390854519,"dpm/g",1.04587492716839,0.0479379134071213,"dpm/g",67.5,56,79,"age depth model recorded at whole-core level"
"221",221,"Langston_et_al_2022","Goodwin Island","NT3_2","push core",12,13,NA,NA,0.0610320690032114,0.00826899369143975,"dpm/g",0.778367202791684,0.139710895468613,1.80332873105174,0.0417301739697752,"dpm/g",0.985001198987545,0.0393688439350991,"dpm/g",1.26025274531815,0.0509847247996009,"dpm/g",67.5,56,79,"age depth model recorded at whole-core level"
"222",222,"Langston_et_al_2022","Goodwin Island","NT3_2","push core",13,14,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",67.5,56,79,"age depth model recorded at whole-core level"
"223",223,"Langston_et_al_2022","Goodwin Island","NT3_2","push core",14,15,NA,NA,0,NA,"dpm/g",0.848663537045229,0.10799818541959,1.89133575113411,0.0431047798267912,"dpm/g",1.07622429175993,0.0429122032656943,"dpm/g",1.20442690015766,0.0519752270414584,"dpm/g",67.5,56,79,"age depth model recorded at whole-core level"
"224",224,"Langston_et_al_2022","Goodwin Island","NT3_2","push core",15,16,NA,NA,0.101801215160138,0.0116954511423789,"dpm/g",0.374971742151668,0.111841930041034,1.50848939391212,0.0337553993008546,"dpm/g",1.08174877096016,0.0451910698369318,"dpm/g",1.30912608508015,0.0569189691225886,"dpm/g",67.5,56,79,"age depth model recorded at whole-core level"
"225",225,"Langston_et_al_2022","Goodwin Island","NT3_2","push core",16,17,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",67.5,56,79,"age depth model recorded at whole-core level"
"226",226,"Langston_et_al_2022","Goodwin Island","NT3_2","push core",17,18,NA,NA,0,NA,"dpm/g",0.547205275451382,0.0903481642680946,1.6277934995121,0.0365465656387177,"dpm/g",1.01908551174983,0.0418491405520859,"dpm/g",1.20521279028628,0.0521062645435816,"dpm/g",67.5,56,79,"age depth model recorded at whole-core level"
"227",227,"Langston_et_al_2022","Goodwin Island","NT3_2","push core",18,19,NA,NA,0.117197698366378,0.01245735036387,"dpm/g",0.512838862380162,0.14725277477125,1.71986939601595,0.0391087868291702,"dpm/g",1.14644870779975,0.04619211783573,"dpm/g",1.44915345953828,0.0594599708466678,"dpm/g",67.5,56,79,"age depth model recorded at whole-core level"
"228",228,"Langston_et_al_2022","Goodwin Island","NT3_2","push core",19,20,NA,NA,0.107339469902054,0.0118368040473114,"dpm/g",0.811023385982558,0.0998331589199678,1.98491175024869,0.0450532211871098,"dpm/g",1.16344921460409,0.0462799093743384,"dpm/g",1.32964580383746,0.0566452551015964,"dpm/g",67.5,56,79,"age depth model recorded at whole-core level"
"229",229,"Langston_et_al_2022","Goodwin Island","NT3_2","push core",20,21,NA,NA,0.0504086205907125,0.00775347555764318,"dpm/g",0.820959383301251,0.176981417635137,2.0432321048588,0.0474989991561728,"dpm/g",1.14546510524784,0.0438946640963185,"dpm/g",1.52799524356158,0.0580442009946008,"dpm/g",67.5,56,79,"age depth model recorded at whole-core level"
"230",230,"Langston_et_al_2022","Goodwin Island","NT3_4","push core",1,2,NA,NA,0.482009602117283,0.0254320613228956,"dpm/g",7.88603074638249,0.268952562283366,8.42167741160716,0.182319801551168,"dpm/g",0.903460173960137,0.0406900979439715,"dpm/g",1.15706312667488,0.0528679454803894,"dpm/g",28,22,34,"age depth model recorded at whole-core level"
"231",231,"Langston_et_al_2022","Goodwin Island","NT3_4","push core",3,4,NA,NA,0.625220510103863,0.030848835407393,"dpm/g",7.04960157210673,0.193731750560341,7.55838405606365,0.159658579547265,"dpm/g",0.937776444293764,0.0441585192464394,"dpm/g",0.95380911490145,0.0511298925159454,"dpm/g",28,22,34,"age depth model recorded at whole-core level"
"232",232,"Langston_et_al_2022","Goodwin Island","NT3_4","push core",5,6,NA,NA,0.968296480285152,0.0357354064009519,"dpm/g",5.8228620529713,0.160947944063331,6.34749551842642,0.137274877773311,"dpm/g",0.841411409866379,0.038936149562689,"dpm/g",0.904848641506616,0.0463570937512919,"dpm/g",28,22,34,"age depth model recorded at whole-core level"
"233",233,"Langston_et_al_2022","Goodwin Island","NT3_4","push core",7,8,NA,NA,1.72731186312061,0.0537250796426639,"dpm/g",8.12801510847641,0.273899479268522,8.60810357674718,0.180618626559203,"dpm/g",0.910919468734977,0.0456033873442761,"dpm/g",1.12247161390425,0.0581198385380891,"dpm/g",28,22,34,"age depth model recorded at whole-core level"
"234",234,"Langston_et_al_2022","Goodwin Island","NT3_4","push core",9,10,NA,NA,1.12601583579816,0.0392269245312109,"dpm/g",6.23614324347,0.203397084013153,6.85296630794165,0.147826903987554,"dpm/g",0.864483380631686,0.0401762404734587,"dpm/g",1.01890911013317,0.0500769933436932,"dpm/g",28,22,34,"age depth model recorded at whole-core level"
"235",235,"Langston_et_al_2022","Goodwin Island","NT3_4","push core",11,12,NA,NA,0.496116605086632,0.0246029007155885,"dpm/g",2.56201047548589,0.164305042180762,3.459743985924,0.0750722059295664,"dpm/g",0.97865926193554,0.0403938844467246,"dpm/g",1.22187744351694,0.0518195128686413,"dpm/g",28,22,34,"age depth model recorded at whole-core level"
"236",236,"Langston_et_al_2022","Goodwin Island","NT3_4","push core",13,14,NA,NA,0.325954901090842,0.0187312213762073,"dpm/g",1.01208228322088,0.080523856251556,1.97828877255162,0.0439623322395456,"dpm/g",0.992908321039738,0.0382173220883392,"dpm/g",1.09744118719878,0.0461291844442177,"dpm/g",28,22,34,"age depth model recorded at whole-core level"
"237",237,"Langston_et_al_2022","Goodwin Island","NT3_4","push core",15,16,NA,NA,0.225080429691481,0.0154644574478035,"dpm/g",0.834581561979239,0.105621774468469,1.75481079562402,0.0395512620962756,"dpm/g",0.90261741166746,0.0361918967915393,"dpm/g",1.09986811868785,0.0458679586593494,"dpm/g",28,22,34,"age depth model recorded at whole-core level"
"238",238,"Langston_et_al_2022","Goodwin Island","NT3_4","push core",17,18,NA,NA,0.147605506666328,0.0122405121575795,"dpm/g",-0.413955651708045,0.0435154420802843,0.672867028709014,0.0151403747727465,"dpm/g",1.01546434474805,0.0375328958341382,"dpm/g",1.11360285884258,0.0451257432450486,"dpm/g",28,22,34,"age depth model recorded at whole-core level"
"239",239,"Langston_et_al_2022","Goodwin Island","NT3_4","push core",19,20,NA,NA,0.0319189468011373,0.00553616438419962,"dpm/g",0.661625014248581,0.0927248358785722,1.67562497464295,0.038806384398367,"dpm/g",1.01182889465895,0.0364403666438415,"dpm/g",1.15900937434672,0.0447767124162214,"dpm/g",28,22,34,"age depth model recorded at whole-core level"
"240",240,"Langston_et_al_2022","Goodwin Island","NT3_4","push core",23,24,NA,NA,0,NA,"dpm/g",0.552303700819771,0.1043585825399,1.61807560301274,0.0364124498164186,"dpm/g",1.03714056564013,0.0382297716155758,"dpm/g",1.23335282480312,0.0478636851187222,"dpm/g",28,22,34,"age depth model recorded at whole-core level"
"241",241,"Langston_et_al_2022","Goodwin Island","NT3_4","push core",27,28,NA,NA,0,NA,"dpm/g",0.45914003521419,0.0963415744193269,1.54374974210971,0.0351485367147764,"dpm/g",1.13564602070487,0.0389526103645954,"dpm/g",1.20282988016771,0.0460252956356361,"dpm/g",28,22,34,"age depth model recorded at whole-core level"
"242",242,"Langston_et_al_2022","Goodwin Island","NT3_4","push core",31,32,NA,NA,0,NA,"dpm/g",0.379801606083022,0.089120071911609,1.40054739054564,0.0321389651727453,"dpm/g",0.9565873945912,0.0348833721540625,"dpm/g",1.1502450565341,0.0439168237976082,"dpm/g",28,22,34,"age depth model recorded at whole-core level"
"243",243,"Langston_et_al_2022","Goodwin Island","NT3_4","push core",35,36,NA,NA,0,NA,"dpm/g",0.250236590948819,0.0493052827892764,1.36189280711103,0.0312844089282641,"dpm/g",1.13343939041178,0.0386727222415897,"dpm/g",1.15312958018544,0.0447841159484395,"dpm/g",28,22,34,"age depth model recorded at whole-core level"
"244",244,"Langston_et_al_2022","Goodwin Island","NT1_1",NA,NA,NA,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",NA,79,110,"age depth model recorded at whole-core level"
"245",245,"Langston_et_al_2022","Goodwin Island","NT1_2",NA,NA,NA,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",NA,56,79,"age depth model recorded at whole-core level"
"246",246,"Langston_et_al_2022","Goodwin Island","NT1_3",NA,NA,NA,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",NA,56,79,"age depth model recorded at whole-core level"
"247",247,"Langston_et_al_2022","Goodwin Island","NT1_4",NA,NA,NA,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",NA,22,34,"age depth model recorded at whole-core level"
"248",248,"Langston_et_al_2022","Goodwin Island","NT1_5",NA,NA,NA,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",NA,3,11,"age depth model recorded at whole-core level"
"249",249,"Langston_et_al_2022","Goodwin Island","NT1_J",NA,NA,NA,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",NA,79,110,"age depth model recorded at whole-core level"
"250",250,"Langston_et_al_2022","Goodwin Island","NT3_3",NA,NA,NA,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",45,34,56,"age depth model recorded at whole-core level"
"251",251,"Langston_et_al_2022","Goodwin Island","NT3_5",NA,NA,NA,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",1.5,0,3,"age depth model recorded at whole-core level"
"252",252,"Langston_et_al_2022","Goodwin Island","NT3_J",NA,NA,NA,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"253",253,"Langston_et_al_2022","Goodwin Island","NT4_1",NA,NA,NA,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"254",254,"Langston_et_al_2022","Goodwin Island","NT4_2",NA,NA,NA,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",67.5,56,79,"age depth model recorded at whole-core level"
"255",255,"Langston_et_al_2022","Goodwin Island","NT4_3",NA,NA,NA,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",45,34,56,"age depth model recorded at whole-core level"
"256",256,"Langston_et_al_2022","Goodwin Island","NT4_4",NA,NA,NA,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",28,22,34,"age depth model recorded at whole-core level"
"257",257,"Langston_et_al_2022","Goodwin Island","NT4_5",NA,NA,NA,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",7,3,11,"age depth model recorded at whole-core level"
"258",258,"Langston_et_al_2022","Goodwin Island","NT4_6",NA,NA,NA,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",16.5,11,22,"age depth model recorded at whole-core level"
"259",259,"Langston_et_al_2022","Goodwin Island","NT4_7",NA,NA,NA,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"260",260,"Langston_et_al_2022","Goodwin Island","OT3_1",NA,NA,NA,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"261",261,"Langston_et_al_2022","Goodwin Island","OT3_4",NA,NA,NA,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"262",262,"Langston_et_al_2022","Goodwin Island","OT3_5",NA,NA,NA,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
