"study_id","bibliography_id","publication_type","bibtype","doi","title","author","publisher","year","url","month","volume","number","pages","journal","editor","booktitle","issn"
"Szczygielski_et_al_2015","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Tam_and_Wong_1998","Tam_and_Wong_1998_article","synthesis source","Article",NA,"Variations of soil nutrient and organic matter content in a subtropical mangrove ecosystem","Tam, NFY and Wong, YS",NA,"1998",NA,NA,"103",NA,NA,"Water, Air, and Soil Pollution",NA,NA,NA
"Tam_and_Wong_1998","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Thimdee_et_al_2003","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Thompson_et_al_2014","Thompson_et_al_2014_article","synthesis source","Article","10.1016/j.ecoser.2014.03.004","Locally assessing the economic viability of blue carbon: A case study from Panay Island, the Philippines","Benjamin S. Thompson and Colin P. Clubbe and Jurgenne H. Primavera and David Curnick and Heather J. Koldewey","Elsevier {BV}","2014","https://doi.org/10.1016/j.ecoser.2014.03.004","jun","8",NA,"128--140","Ecosystem Services",NA,NA,NA
"Thompson_et_al_2014","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Tue_et_al_2014","Tue_et_al_2014_article","synthesis source","Article","10.1016/j.catena.2014.05.008","Carbon storage of a tropical mangrove forest in Mui Ca Mau National Park, Vietnam","Nguyen Tai Tue and Luu Viet Dung and Mai Trong Nhuan and Koji Omori","Elsevier {BV}","2014","https://doi.org/10.1016/j.catena.2014.05.008","oct","121",NA,"119--126","{CATENA}",NA,NA,NA
"Tue_et_al_2014","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Twilley_et_al_1997","Twilley_et_al_1997_article","synthesis source","Article","10.1007/s004420050214","Litter dynamics in riverine mangrove forests in the Guayas River estuary, Ecuador","Robert R. Twilley and Mireya Pozo and Victor H. Garcia and Victor H. Rivera-Monroy and Ramon Zambrano and Alejandro Bodero","Springer Science and Business Media {LLC}","1997","https://doi.org/10.1007/s004420050214","jun","111","1","109--122","Oecologia",NA,NA,NA
"Twilley_et_al_1997","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Upkong_1997","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Vasconcelos_et_al_2014","Vasconcelos_et_al_2014_article","synthesis source","Article","10.18393/ejss.76445","Soil organic matter and soil acidity in Mangrove areas in the river Paraiba Estuary, Cabedelo, Paraiba, Brazil","Renata Wilma Vasconcelos and Vanessa {dos Santos Gomes} and Diego Rodrigues {de Lucena} and Orione Alvares {da Silva} and Anaonio Cicero Sousa and Alexandre Fonseca D\textquotesingleAndrea","Eurasian Journal of Soil Sciences","2014","https://doi.org/10.18393/ejss.76445","sep","3","3","157","{EURASIAN} {JOURNAL} {OF} {SOIL} {SCIENCE} ({EJSS})",NA,NA,NA
"Vasconcelos_et_al_2014","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"WISE","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Wang_et_al_2013","Wang_et_al_2013_article","synthesis source","Article","10.1016/j.foreco.2013.08.045","Ecosystem carbon stocks of mangrove forest in Yingluo Bay, Guangdong Province of South China","Gang Wang and Dongsheng Guan and M.R. Peart and Yujuan Chen and Yisheng Peng","Elsevier {BV}","2013","https://doi.org/10.1016/j.foreco.2013.08.045","dec","310",NA,"539--546","Forest Ecology and Management",NA,NA,NA
"Wang_et_al_2013","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Woodroffe_1985","Woodroffe_1985_article","synthesis source","Article",NA,"Studies of a mangrove basin, Tuff Crater, New Zealand: I. Mangrove biomass and production of detritus","Woodroffe, Colin D",NA,"1985",NA,NA,"20","3",NA,"Estuarine, Coastal and Shelf Science",NA,NA,NA
"Woodroffe_1985","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Wooller_et_al_2003","Wooller_et_al_2003_article","synthesis source","Article","10.1023/A:1026339517242","Carbon and nitrogen stable isotopic variation in Laguncularia racemosa (L.)(white mangrove) from Florida and Belize: implications for trophic level studies","Wooller, Matthew and Smallwood, Barbara and Jacobson, Myrna and Fogel, Marilyn",NA,"2003","https://doi.org/10.1023/A:1026339517242",NA,"499",NA,NA,"Hydrobiologia",NA,NA,NA
"Wooller_et_al_2003","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Xia_et_al_2015","Xia_et_al_2015_article","synthesis source","Article","10.1016/j.orggeochem.2015.04.003","Mangrove development and its response to environmental change in Yingluo Bay ({SW} China) during the last 150years: Stable carbon isotopes and mangrove pollen","Peng Xia and Xianwei Meng and Zhen Li and Aiping Feng and Ping Yin and Yongqiang Zhang","Elsevier {BV}","2015","https://doi.org/10.1016/j.orggeochem.2015.04.003","aug","85",NA,"32--41","Organic Geochemistry",NA,NA,NA
"Xia_et_al_2015","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Xu_et_al_2012","Xu_et_al_2012_article","synthesis source","Article",NA,"Carbon storage of three natural mangrove forests in Gaoqiao, Zhanjiang","Xu, F. H., Zhang, J. P., Zhang, Q. M., Lin, K. Y., Lin, G. X.",NA,"2012",NA,NA,"15",NA,NA,"Value Engineering",NA,NA,NA
"Xu_et_al_2012","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Yando_et_al_2016","Yando_et_al_2016_article","synthesis source","Article","10.1111/1365-2745.12571","Salt marsh-mangrove ecotones: using structural gradients to investigate the effects of woody plant encroachment on plant-soil interactions and ecosystem carbon pools","Erik S. Yando and Michael J. Osland and Jonathan M. Willis and Richard H. Day and Ken W. Krauss and Mark W. Hester","Wiley","2016","https://doi.org/10.1111/1365-2745.12571","apr","104","4","1020--1031","Journal of Ecology","Rebecca McCulley",NA,NA
"Yando_et_al_2016","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Yang_et_al_2013","Yang_et_al_2013_article","synthesis source","Article","10.1016/j.ecss.2013.09.017","Vegetation and sediment characteristics in an expanding mangrove forest in New Zealand","Juan Yang and Jay Gao and Alan Cheung and Baolin Liu and Luitgard Schwendenmann and Mark John Costello","Elsevier {BV}","2013","https://doi.org/10.1016/j.ecss.2013.09.017","dec","134",NA,"11--18","Estuarine, Coastal and Shelf Science",NA,NA,NA
"Yang_et_al_2013","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Yuan_et_al_2014","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Zhang_and_Lin_1998","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Zhang_et_al_2012","Zhang_et_al_2012_article","synthesis source","Article","10.1016/s1002-0160(11)60191-4","Estimating Change in Sedimentary Organic Carbon Content During Mangrove Restoration in Southern China Using Carbon Isotopic Measurements","Jin-Ping ZHANG and Cheng-De SHEN and Hai REN and Jun WANG and Wei-Dong HAN","Elsevier {BV}","2012","https://doi.org/10.1016/s1002-0160(11)60191-4","feb","22","1","58--66","Pedosphere",NA,NA,NA
"Zhang_et_al_2012","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
