study_id,site_id,core_id,depth_min,depth_max,depth_max_decompressed,dry_bulk_density,fraction_carbon_measured,fraction_carbon_modeled,fraction_carbon_density_measured,fraction_carbon_density_modeled,pb210_age,pb210_age_sd,c14_age,c14_age_sd,c14_material,depth_interval_notes
Belshe_et_al_2019,SM,SM25,36,37,42,1.5856,NA,0.013552,NA,0.0215,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM25,37,38,43,1.2702,0.014986999999999999,NA,0.019,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,38,39,44,1.1011,NA,0.013284,NA,0.0146,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM25,39,40,45,1.1545,0.011581999999999999,NA,0.0134,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,40,41,46,1.9344,NA,0.01254,NA,0.0243,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM25,41,42,47,1.5408,0.013498000000000001,NA,0.0208,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,42,43,48,1.5402,NA,0.013696,NA,0.0211,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM25,43,44,49,1.7207,0.013894,NA,0.0239,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,44,45,50,1.5819,NA,0.015664,NA,0.0248,NA,NA,1000,27,seagrass_sheath,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM25,45,46,51,1.5721,0.017433,NA,0.0274,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,46,47,52,1.3506,NA,0.014595,NA,0.0197,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM25,47,48,53,1.5287,0.011757,NA,0.018,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,48,49,54,1.25,NA,0.012118,NA,0.0151,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM25,49,50,55,1.343,0.01248,NA,0.0168,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,50,51,56,1.7087,NA,0.012827,NA,0.0219,NA,NA,1234,27,seagrass_sheath,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM25,51,52,57,1.6237,0.013172999999999999,NA,0.0214,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,52,53,58,1.532,NA,0.014527000000000002,NA,0.0223,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM25,53,54,59,1.391,0.015880000000000002,NA,0.0221,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,54,55,60,1.6985,NA,0.015884,NA,0.027,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM25,55,56,61,1.7415,0.015887,NA,0.0277,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,56,57,62,1.8389,NA,0.015035,NA,0.0276,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM25,57,58,63,1.664,0.014181999999999998,NA,0.0236,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,58,59,64,1.3807,NA,0.012785,NA,0.0177,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM25,59,60,65,1.725,0.011387000000000001,NA,0.0196,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,60,61,66,1.6516,NA,0.01266,NA,0.0209,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM25,61,62,67,1.8534,0.013933,NA,0.0258,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,62,63,68,1.9222,NA,0.014145000000000001,NA,0.0272,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM25,63,64,69,1.7582,0.014357,NA,0.0252,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,64,65,70,1.5343,NA,0.015258,NA,0.0234,NA,NA,1957,24,seagrass_sheath,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM25,65,66,71,1.5188,0.016159,NA,0.0245,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,66,67,72,1.5271,NA,0.014119999999999999,NA,0.0216,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM25,67,68,73,1.8281,0.012081,NA,0.0221,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,68,69,74,1.5616,NA,0.014008,NA,0.0219,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM25,69,70,75,1.4461,0.015934999999999998,NA,0.023,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,70,71,76,1.3856,NA,0.018993,NA,0.0263,NA,NA,1985,25,seagrass_sheath,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM25,71,72,77,1.6772,0.022052000000000002,NA,0.037,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,72,73,78,1.5337,NA,0.017681,NA,0.0271,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM25,73,74,79,1.6402,0.013309999999999999,NA,0.0218,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,74,75,80,1.5563,NA,0.012284,NA,0.0191,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM25,75,76,81,1.532,0.011258999999999998,NA,0.0172,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,76,77,82,1.7075,NA,0.01134,NA,0.0194,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM25,77,78,83,1.4018,0.01142,NA,0.016,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,78,79,84,1.3746,NA,0.011228,NA,0.0154,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM25,79,80,85,1.4488,0.011035,NA,0.016,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,80,81,86,1.1794,NA,0.011578,NA,0.0137,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM25,81,82,87,1.3337,0.012121,NA,0.0162,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,82,83,88,1.4492,NA,0.013182000000000001,NA,0.0191,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM25,83,84,89,1.5857,0.010185999999999999,NA,0.0162,NA,NA,NA,2178,28,seagrass_sheath,NA
Belshe_et_al_2019,SM,SM25,84,85,90,1.5878,NA,0.014256999999999999,NA,0.0226,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM25,85,86,91,1.5897,0.014256,NA,0.0227,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,86,87,92,1.5915,NA,0.014254,NA,0.0227,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM25,87,88,93,1.5934,0.014253,NA,0.0227,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,88,89,94,1.5952,NA,0.014251,NA,0.0227,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM25,89,90,95,1.597,0.01425,NA,0.0228,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,90,91,96,1.5987,NA,0.014248,NA,0.0228,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM25,91,92,97,1.6005,0.014247000000000001,NA,0.0228,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,92,93,98,1.6022,NA,0.014246000000000002,NA,0.0228,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM25,93,94,99,1.6039,0.014244000000000001,NA,0.0228,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,94,95,100,1.6056,NA,0.014242999999999999,NA,0.0229,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
