Province,Wetland,Site,Soil depth,"SOC content 
(g kg-1)",SOC density (Mg ha-1),Reference,,,,,,,,,,,,
Guangxi,Beihai,1 ,40—60,nd,17.70 ,This study,,,,,,,,,,,,
Guangxi,Beihai,1 ,60—80,nd,17.28 ,This study,,,,,,,,,,,,
Guangxi,Beihai,1 ,80—100,nd,16.34 ,This study,,,,,,,,,,,,
Guangxi,Beihai,2 ,0—10,13.08 ,9.94 ,This study,,,,,,,,,,,,
Guangxi,Beihai,2 ,10—20,9.83 ,10.62 ,This study,,,,,,,,,,,,
Guangxi,Beihai,2 ,20—30,6.94 ,10.34 ,This study,,,,,,,,,,,,
Guangxi,Beihai,2 ,30—40,7.61 ,10.63 ,This study,,,,,,,,,,,,
Guangxi,Beihai,2 ,40—60,nd,18.06 ,This study,,,,,,,,,,,,
Guangxi,Beihai,2 ,60—80,nd,17.64 ,This study,,,,,,,,,,,,
Guangxi,Beihai,2 ,80—100,nd,16.72 ,This study,,,,,,,,,,,,
Guangxi,Beihai,3 ,0—10,9.36 ,11.70 ,This study,,,,,,,,,,,,
Guangxi,Beihai,3 ,10—20,9.58 ,12.23 ,This study,,,,,,,,,,,,
Guangxi,Beihai,3 ,20—30,8.09 ,10.95 ,This study,,,,,,,,,,,,
Guangxi,Beihai,3 ,30—40,2.80 ,4.35 ,This study,,,,,,,,,,,,
Guangxi,Beihai,3 ,40—60,nd,17.25 ,This study,,,,,,,,,,,,
Guangxi,Beihai,3 ,60—80,nd,16.84 ,This study,,,,,,,,,,,,
Guangxi,Beihai,3 ,80—100,nd,15.88 ,This study,,,,,,,,,,,,
Guangxi,Beihai,4 ,0—10,13.49 ,14.16 ,This study,,,,,,,,,,,,
Guangxi,Beihai,4 ,10—20,11.72 ,12.38 ,This study,,,,,,,,,,,,
Guangxi,Beihai,4 ,20—30,6.30 ,9.31 ,This study,,,,,,,,,,,,
Guangxi,Beihai,4 ,30—40,4.69 ,7.16 ,This study,,,,,,,,,,,,
Guangxi,Beihai,4 ,40—60,nd,18.58 ,This study,,,,,,,,,,,,
Guangxi,Beihai,4 ,60—80,nd,18.16 ,This study,,,,,,,,,,,,
Guangxi,Beihai,4 ,80—100,nd,17.26 ,This study,,,,,,,,,,,,
Guangxi,Beihai,5 ,0—10,10.20 ,12.20 ,This study,,,,,,,,,,,,
Guangxi,Beihai,5 ,10—20,10.52 ,13.54 ,This study,,,,,,,,,,,,
Guangxi,Beihai,5 ,20—30,6.19 ,9.14 ,This study,,,,,,,,,,,,
Guangxi,Beihai,5 ,30—40,5.72 ,8.26 ,This study,,,,,,,,,,,,
Guangxi,Beihai,5 ,40—60,nd,18.63 ,This study,,,,,,,,,,,,
Guangxi,Beihai,5 ,60—80,nd,18.21 ,This study,,,,,,,,,,,,
Guangxi,Beihai,5 ,80—100,nd,17.31 ,This study,,,,,,,,,,,,
Guangxi,Beihai,6 ,0—10,13.58 ,13.40 ,This study,,,,,,,,,,,,
Guangxi,Beihai,6 ,10—20,7.26 ,10.02 ,This study,,,,,,,,,,,,
Guangxi,Beihai,6 ,20—30,5.83 ,7.79 ,This study,,,,,,,,,,,,
Guangxi,Beihai,6 ,30—40,4.50 ,6.85 ,This study,,,,,,,,,,,,
Guangxi,Beihai,6 ,40—60,nd,16.83 ,This study,,,,,,,,,,,,
Guangxi,Beihai,6 ,60—80,nd,16.42 ,This study,,,,,,,,,,,,
Guangxi,Beihai,6 ,80—100,nd,15.45 ,This study,,,,,,,,,,,,
Hainan,Dongzhai Bay,1 ,0—100,nd,99.40 ,"Fu et al., 2021",,,,,,,,,,,,
Hainan,Qinglan Harbor,2 ,0—100,nd,260.50 ,"Fu et al., 2021",,,,,,,,,,,,
Hainan,Xinying Harbor,3 ,0—100,nd,268.20 ,"Fu et al., 2021",,,,,,,,,,,,
Hainan,Dongzhai Bay,4 ,0—100,2.03 ,261.50 ,"Huang et al., 2017",,,,,,,,,,,,
Hainan,Dongzhai Bay,5 ,0—100,1.97 ,291.50 ,"Huang et al., 2017",,,,,,,,,,,,
Hainan,Dongzhai Bay,6 ,0—100,1.70 ,273.00 ,"Huang et al., 2017",,,,,,,,,,,,
Hainan,Dongzhai Bay,7 ,0—100,1.74 ,249.50 ,"Huang et al., 2017",,,,,,,,,,,,
Hainan,Dongzhai Bay,8 ,0—100,1.49 ,205.50 ,"Huang et al., 2017",,,,,,,,,,,,
Hainan,Dongzhai Bay,9 ,0—100,2.09 ,220.00 ,"Huang et al., 2017",,,,,,,,,,,,
Hainan,Dongzhai Bay,10 ,0—100,1.20 ,132.57 ,"Xiong et al., 2018",,,,,,,,,,,,
Hainan,Dongzhai Bay,11 ,0—100,0.79 ,88.18 ,"Xiong et al., 2018",,,,,,,,,,,,
Hainan,Dongzhai Bay,12 ,0—100,1.64 ,151.79 ,"Xiong et al., 2018",,,,,,,,,,,,
Hainan,Dongzhai Bay,13 ,0—100,2.62 ,201.77 ,"Xiong et al., 2018",,,,,,,,,,,,
Hainan,Dongzhai Bay,14 ,0—100,4.34 ,341.10 ,"Wang et al., 2019",,,,,,,,,,,,
Hainan,Dongzhai Bay,15 ,0—100,3.85 ,330.60 ,"Wang et al., 2019",,,,,,,,,,,,
Hainan,Dongzhai Bay,16 ,0—100,2.72 ,248.50 ,"Wang et al., 2019",,,,,,,,,,,,
Hainan,Dongzhai Bay,17 ,0—100,4.27 ,343.30 ,"Wang et al., 2019",,,,,,,,,,,,
Hainan,Dongzhai Bay,18 ,0—100,3.30 ,280.90 ,"Wang et al., 2019",,,,,,,,,,,,
Hainan,Dongzhai Bay,19 ,0—100,2.49 ,243.60 ,"Wang et al., 2019",,,,,,,,,,,,
Hainan,Dongzhai Bay,20 ,0—100,1.70 ,267.70 ,"Xin et al., 2014",,,,,,,,,,,,
Hainan,Dongzhai Bay,21 ,0—100,1.97 ,291.70 ,"Xin et al., 2014",,,,,,,,,,,,
Hainan,Dongzhai Bay,22 ,0—100,2.09 ,220.00 ,"Xin et al., 2014",,,,,,,,,,,,
Hainan,Dongzhai Bay,23 ,0—100,1.49 ,205.90 ,"Xin et al., 2014",,,,,,,,,,,,
Hainan,Dongzhai Bay,24 ,0—100,1.73 ,249.30 ,"Xin et al., 2014",,,,,,,,,,,,
Hainan,Dongzhai Bay,25 ,0—100,2.03 ,261.50 ,"Xin et al., 2014",,,,,,,,,,,,
Hainan,Dongzhai Bay,26 ,0—100,1.21 ,83.60 ,"Gao et al., 2019",,,,,,,,,,,,
Hainan,Dongzhai Bay,27 ,0—100,1.00 ,86.50 ,"Gao et al., 2019",,,,,,,,,,,,
Hainan,Qinglan Harbor,28 ,0—100,4.41 ,483.93 ,"Lin et al., 2015",,,,,,,,,,,,
Hainan,Qiaglan Harbor,29 ,0—100,16.76 ,1490.50 ,"Xin et al., 2014",,,,,,,,,,,,
Hainan,Qiaglan Harbor,30 ,0—100,3.88 ,506.40 ,"Xin et al., 2014",,,,,,,,,,,,
Hainan,Qiaglan Harbor,31 ,0—100,6.71 ,851.20 ,"Xin et al., 2014",,,,,,,,,,,,
Hainan,Qinglan Harbor,32 ,0—100,4.92 ,447.30 ,"Gao et al., 2019",,,,,,,,,,,,
Hainan,Sanya Bay,33 ,0—100,1.27 ,219.50 ,"Xin et al., 2014",,,,,,,,,,,,
Hainan,Sanya Bay,34 ,0—100,1.47 ,208.60 ,"Xin et al., 2014",,,,,,,,,,,,
Hainan,Sanya Bay,35 ,0—100,1.42 ,191.20 ,"Xin et al., 2014",,,,,,,,,,,,
Hainan,Sibi Bay,36 ,0—100,9.20 ,765.80 ,"Xin et al., 2014",,,,,,,,,,,,
Hainan,Xinying Bay,37 ,0—100,2.06 ,302.00 ,"Xin et al., 2014",,,,,,,,,,,,
Hainan,"Dongzhai Bay, Qinglan Harbor, Tielu Harbor, Danzhou, Lingao",38 ,0—100,2.72 ,354.00 ,"Gao et al., 2018",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
