Study ID,Sample_ID,Country,Latitude,Longitude,LOI,OC,ecosystem
Morris and Whiting (1986),morris_16,USA,33.3281,-79.1668,5.8,1.6,saltmarsh
Morris and Whiting (1986),morris_17,USA,33.3281,-79.1668,5.5,1.5,saltmarsh
Morris and Whiting (1986),morris_18,USA,33.3281,-79.1668,3.7,1.3,saltmarsh
Morris and Whiting (1986),morris_19,USA,33.3281,-79.1668,3.7,1.2,saltmarsh
Morris and Whiting (1986),morris_20,USA,33.3281,-79.1668,3.4,0.9,saltmarsh
Morris and Whiting (1986),morris_21,USA,33.3281,-79.1668,2.8,0.9,saltmarsh
Morris and Whiting (1986),morris_22,USA,33.3281,-79.1668,2.6,1,saltmarsh
Morris and Whiting (1986),morris_23,USA,33.3281,-79.1668,2.6,0.8,saltmarsh
Morris and Whiting (1986),morris_24,USA,33.3281,-79.1668,2.5,0.8,saltmarsh
Morris and Whiting (1986),morris_25,USA,33.3281,-79.1668,2.6,0.6,saltmarsh
Morris and Whiting (1986),morris_26,USA,33.3281,-79.1668,1.8,0.5,saltmarsh
Morris and Whiting (1986),morris_27,USA,33.3281,-79.1668,1.9,0.4,saltmarsh
Chambers et al. (2014),,USA,25.35,-81.07,50.35,21.7,mangrove
Castaneda-Moya et al. (2013),Shark River Estuary,USA,25.377,-81.0323,68.9,31.12,mangrove
Hutchins et al. (2007),Moreton Bay,Australia,-27.0946,152.9206,5.1,1.9,NA
Shaifullah et al. (2009),Hatiya Island_1,Bangladesh,22.2824,91.0969,3.29,2.11,mangrove
Shaifullah et al. (2009),Hatiya Island_2,Bangladesh,22.2824,91.0969,3.21,1.34,mangrove
Shaifullah et al. (2009),Hatiya Island_3,Bangladesh,22.2824,91.0969,4.1,2.38,mangrove
Shaifullah et al. (2009),Hatiya Island_4,Bangladesh,22.2824,91.0969,3.86,2.11,mangrove
Shaifullah et al. (2009),Hatiya Island_5,Bangladesh,22.2824,91.0969,3.47,2.01,mangrove
Shaifullah et al. (2009),Hatiya Island_6,Bangladesh,22.2824,91.0969,3.01,1.79,mangrove
Breithaupt et al. (2014),SH3-1,USA,25.3043,-90.0659,43,19,mangrove
Breithaupt et al. (2014),SH3-3,USA,25.3043,-90.0659,40,18,mangrove
Breithaupt et al. (2014),SH3-5,USA,25.3043,-90.0659,59,27,mangrove
Breithaupt et al. (2014),SH3-7,USA,25.3043,-90.0659,54,26,mangrove
Breithaupt et al. (2014),SH3-8,USA,25.3043,-90.0659,57,25,mangrove
Breithaupt et al. (2014),SH3-9,USA,25.3043,-90.0659,56,27,mangrove
This study,YSO_1,China,22.5167,114.2667,6.09,1.34,mangrove
This study,YSO_2,China,22.5167,114.2667,6.02,0.43,mangrove
This study,YSO_3,China,22.5167,114.2667,5.52,0.69,mangrove
This study,YSO_4,China,22.5167,114.2667,5.92,0.6,mangrove
This study,YSO_5,China,22.5167,114.2667,5.61,0.92,mangrove
This study,YSO_6,China,22.5167,114.2667,5.52,1.45,mangrove
This study,TK_1,China,22.4667,114.2167,5.55,0.89,mangrove
This study,TK_2,China,22.4667,114.2167,3.92,0.53,mangrove
This study,TK_3,China,22.4667,114.2167,4.8,0.87,mangrove
This study,TK_4,China,22.4667,114.2167,4.27,0.69,mangrove
This study,TK_5,China,22.4667,114.2167,4.25,0.7,mangrove
This study,TK_6,China,22.4667,114.2167,4.59,0.57,mangrove
This study,TK_7,China,22.4667,114.2167,4.72,0.4,mangrove
This study,TK_8,China,22.4667,114.2167,2.53,0.26,mangrove
This study,TK_9,China,22.4667,114.2167,2.95,0.38,mangrove
This study,TK_10,China,22.4667,114.2167,2.87,0.36,mangrove
This study,TK_11,China,22.4667,114.2167,3.86,0.63,mangrove
This study,TK_12,China,22.4667,114.2167,2.81,0.34,mangrove
This study,TK_13,China,22.4667,114.2167,6.65,1.04,mangrove
This study,TK_14,China,22.4667,114.2167,4.33,0.53,mangrove
This study,TK_15,China,22.4667,114.2167,4.68,0.7,mangrove
This study,TK_16,China,22.4667,114.2167,6.28,1.13,mangrove
This study,TK_17,China,22.4667,114.2167,5.25,0.94,mangrove
This study,TK_18,China,22.4667,114.2167,3.41,0.6,mangrove
This study,TK_19,China,22.4667,114.2167,2.07,0.66,saltmarsh
This study,TK_20,China,22.4667,114.2167,1.38,0.68,saltmarsh
This study,TK_21,China,22.4667,114.2167,1.23,0.13,saltmarsh
This study,TK_22,China,22.4667,114.2167,0.95,0.04,saltmarsh
This study,TK_23,China,22.4667,114.2167,0.97,0.1,saltmarsh
This study,TK_24,China,22.4667,114.2167,1.12,0.11,saltmarsh
This study,WSK_1,China,22.5333,114.2167,3.69,0.66,mangrove
This study,WSK_2,China,22.5333,114.2167,3.05,0.48,mangrove
This study,WSK_3,China,22.5333,114.2167,5.29,0.81,mangrove
This study,WSK_4,China,22.5333,114.2167,2.66,0.25,mangrove
This study,WSK_5,China,22.5333,114.2167,5.4,0.75,mangrove
This study,WSK_6,China,22.5333,114.2167,3.42,0.5,mangrove
This study,WSK_7,China,22.5333,114.2167,7.22,1.62,saltmarsh
This study,WSK_8,China,22.5333,114.2167,7.71,1.4,saltmarsh
This study,WSK_9,China,22.5333,114.2167,6.01,1.28,saltmarsh
This study,WSK_10,China,22.5333,114.2167,5.04,0.73,saltmarsh
This study,WSK_11,China,22.5333,114.2167,5.32,1.2,saltmarsh
This study,WSK_12,China,22.5333,114.2167,3.96,0.81,saltmarsh
This study,Mai Po_1,China,22.5,114.0333,56.51,25.12,mangrove
This study,Mai Po_2,China,22.5,114.0333,50.62,25.41,mangrove
This study,Mai Po_3,China,22.5,114.0333,45.3,12.87,mangrove
This study,Mai Po_4,China,22.5,114.0333,44.62,18.56,mangrove
This study,Mai Po_5,China,22.5,114.0333,41.2,14.53,mangrove
This study,Mai Po_6,China,22.5,114.0333,39.94,13.82,mangrove
This study,Mai Po_7,China,22.5,114.0333,36.02,14.03,mangrove
This study,Mai Po_8,China,22.5,114.0333,35.1,12.75,mangrove
This study,Mai Po_9,China,22.5,114.0333,33.4,15.72,mangrove
This study,Mai Po_10,China,22.5,114.0333,33.29,12.1,mangrove
This study,Mai Po_11,China,22.5,114.0333,33.14,10.27,mangrove
This study,Mai Po_12,China,22.5,114.0333,31.56,12.09,mangrove
This study,Mai Po_13,China,22.5,114.0333,29.24,10.61,mangrove
This study,Mai Po_14,China,22.5,114.0333,26.26,10.89,mangrove
This study,Mai Po_15,China,22.5,114.0333,25.4,9.26,mangrove
This study,Mai Po_16,China,22.5,114.0333,25.19,7.74,mangrove
This study,Mai Po_17,China,22.5,114.0333,23.82,8.24,mangrove
This study,Mai Po_18,China,22.5,114.0333,21.36,6.58,mangrove
This study,Mai Po_19,China,22.5,114.0333,19.98,4.52,mangrove
This study,Mai Po_20,China,22.5,114.0333,19.85,5.97,mangrove
This study,Mai Po_21,China,22.5,114.0333,19.66,6.58,mangrove
This study,Mai Po_22,China,22.5,114.0333,19.2,2.13,mangrove
This study,Mai Po_23,China,22.5,114.0333,19.02,4.61,mangrove
This study,Mai Po_24,China,22.5,114.0333,19,6.95,mangrove
This study,Mai Po_25,China,22.5,114.0333,18.83,4.61,mangrove
This study,Mai Po_26,China,22.5,114.0333,17.51,3.92,mangrove
This study,Mai Po_27,China,22.5,114.0333,17.48,4.61,mangrove
This study,Mai Po_28,China,22.5,114.0333,17.43,5.21,mangrove
This study,Mai Po_29,China,22.5,114.0333,16.92,3.84,mangrove
This study,Mai Po_30,China,22.5,114.0333,16.81,2.74,mangrove
This study,Mai Po_31,China,22.5,114.0333,16.65,3.34,mangrove
This study,Mai Po_32,China,22.5,114.0333,16.62,3.77,mangrove
This study,Mai Po_33,China,22.5,114.0333,16.6,4.15,mangrove
This study,Mai Po_34,China,22.5,114.0333,16.58,2.74,mangrove
This study,Mai Po_35,China,22.5,114.0333,16.34,4.62,mangrove
This study,Mai Po_36,China,22.5,114.0333,16.33,10.35,mangrove
This study,Mai Po_37,China,22.5,114.0333,16.27,4.1,mangrove
This study,Mai Po_38,China,22.5,114.0333,16.25,3.62,mangrove
This study,Mai Po_39,China,22.5,114.0333,16.25,2.2,mangrove
This study,Mai Po_40,China,22.5,114.0333,16.24,3.67,mangrove
This study,Mai Po_41,China,22.5,114.0333,16.18,3.46,mangrove
This study,Mai Po_42,China,22.5,114.0333,15.91,4.63,mangrove
This study,Mai Po_43,China,22.5,114.0333,15.86,3.64,mangrove
This study,Mai Po_44,China,22.5,114.0333,15.67,3.21,mangrove
This study,Mai Po_45,China,22.5,114.0333,15.67,3.22,mangrove
This study,Mai Po_46,China,22.5,114.0333,15.64,4.05,mangrove
This study,Mai Po_47,China,22.5,114.0333,15.61,3.31,mangrove
This study,Mai Po_48,China,22.5,114.0333,15.56,2.7,mangrove
This study,Mai Po_49,China,22.5,114.0333,15.22,1.55,mangrove
This study,Mai Po_50,China,22.5,114.0333,15.2,3.21,mangrove
This study,Mai Po_51,China,22.5,114.0333,15.2,2.82,mangrove
This study,Mai Po_52,China,22.5,114.0333,15.16,2.29,mangrove
This study,Mai Po_53,China,22.5,114.0333,15.16,5.31,mangrove
This study,Mai Po_54,China,22.5,114.0333,14.94,4.02,mangrove
This study,Mai Po_55,China,22.5,114.0333,14.93,2.29,mangrove
This study,Mai Po_56,China,22.5,114.0333,14.91,2.43,mangrove
This study,Mai Po_57,China,22.5,114.0333,14.78,3.25,mangrove
This study,Mai Po_58,China,22.5,114.0333,14.7,4.06,mangrove
This study,Mai Po_59,China,22.5,114.0333,14.64,2.18,mangrove
This study,Mai Po_60,China,22.5,114.0333,14.62,3.33,mangrove
This study,Mai Po_61,China,22.5,114.0333,14.57,3.13,mangrove
This study,Mai Po_62,China,22.5,114.0333,14.53,4.75,mangrove
This study,Mai Po_63,China,22.5,114.0333,14.52,3.28,mangrove
This study,Mai Po_64,China,22.5,114.0333,14.41,2.61,mangrove
This study,Mai Po_65,China,22.5,114.0333,14.38,3.9,mangrove
This study,Mai Po_66,China,22.5,114.0333,14.36,2.63,mangrove
This study,Mai Po_67,China,22.5,114.0333,14.34,10.98,mangrove
This study,Mai Po_68,China,22.5,114.0333,14.34,5.31,mangrove
This study,Mai Po_69,China,22.5,114.0333,14.33,3.61,mangrove
This study,Mai Po_70,China,22.5,114.0333,14.33,6.23,mangrove
This study,Mai Po_71,China,22.5,114.0333,14.19,4.35,mangrove
This study,Mai Po_72,China,22.5,114.0333,14.18,3.74,mangrove
This study,Mai Po_73,China,22.5,114.0333,14.17,2.73,mangrove
This study,Mai Po_74,China,22.5,114.0333,14.13,6.41,mangrove
This study,Mai Po_75,China,22.5,114.0333,14.13,3.64,mangrove
This study,Mai Po_76,China,22.5,114.0333,14.12,2.67,mangrove
This study,Mai Po_77,China,22.5,114.0333,14.08,2.44,mangrove
This study,Mai Po_78,China,22.5,114.0333,14.07,9,mangrove
This study,Mai Po_79,China,22.5,114.0333,14.07,9.27,mangrove
This study,Mai Po_80,China,22.5,114.0333,14.06,8.02,mangrove
This study,Mai Po_81,China,22.5,114.0333,14.01,2.26,mangrove
This study,Mai Po_82,China,22.5,114.0333,13.99,2.27,mangrove
This study,Mai Po_83,China,22.5,114.0333,13.97,4.38,mangrove
This study,Mai Po_84,China,22.5,114.0333,13.95,7.63,mangrove
This study,Mai Po_85,China,22.5,114.0333,13.94,2.36,mangrove
This study,Mai Po_86,China,22.5,114.0333,13.94,3.02,mangrove
This study,Mai Po_87,China,22.5,114.0333,13.93,2.65,mangrove
This study,Mai Po_88,China,22.5,114.0333,13.92,2.55,mangrove
This study,Mai Po_89,China,22.5,114.0333,13.92,5.69,mangrove
This study,Mai Po_90,China,22.5,114.0333,13.88,5.31,mangrove
This study,Mai Po_91,China,22.5,114.0333,13.87,4.04,mangrove
This study,Mai Po_92,China,22.5,114.0333,13.86,2.65,mangrove
This study,Mai Po_93,China,22.5,114.0333,13.84,4.72,mangrove
This study,Mai Po_94,China,22.5,114.0333,13.83,3.53,mangrove
This study,Mai Po_95,China,22.5,114.0333,13.82,2.5,mangrove
This study,Mai Po_96,China,22.5,114.0333,13.67,2.33,mangrove
This study,Mai Po_97,China,22.5,114.0333,13.59,1.98,mangrove
This study,Mai Po_98,China,22.5,114.0333,13.57,3.19,mangrove
This study,Mai Po_99,China,22.5,114.0333,13.51,2.85,mangrove
This study,Mai Po_100,China,22.5,114.0333,13.49,5.45,mangrove
This study,Mai Po_101,China,22.5,114.0333,13.49,2.71,mangrove
This study,Mai Po_102,China,22.5,114.0333,13.49,2.61,mangrove
This study,Mai Po_103,China,22.5,114.0333,13.48,2.49,mangrove
This study,Mai Po_104,China,22.5,114.0333,13.48,3.41,mangrove
This study,Mai Po_105,China,22.5,114.0333,13.44,2.19,mangrove
This study,Mai Po_106,China,22.5,114.0333,13.35,2.13,mangrove
This study,Mai Po_107,China,22.5,114.0333,13.33,2.87,mangrove
This study,Mai Po_108,China,22.5,114.0333,13.31,2.33,mangrove
This study,Mai Po_109,China,22.5,114.0333,13.3,2.32,mangrove
This study,Mai Po_110,China,22.5,114.0333,13.3,3.17,mangrove
This study,Mai Po_111,China,22.5,114.0333,13.25,2.48,mangrove
This study,Mai Po_112,China,22.5,114.0333,13.24,2.42,mangrove
This study,Mai Po_113,China,22.5,114.0333,13.23,2.71,mangrove
This study,Mai Po_114,China,22.5,114.0333,13.22,2.87,mangrove
This study,Mai Po_115,China,22.5,114.0333,13.21,3.15,mangrove
This study,Mai Po_116,China,22.5,114.0333,13.18,2.14,mangrove
This study,Mai Po_117,China,22.5,114.0333,13.17,2.45,mangrove
This study,Mai Po_118,China,22.5,114.0333,13.16,3.35,mangrove
This study,Mai Po_119,China,22.5,114.0333,13.08,3.18,mangrove
This study,Mai Po_120,China,22.5,114.0333,12.99,2.35,mangrove
This study,Mai Po_121,China,22.5,114.0333,12.97,3.6,mangrove
This study,Mai Po_122,China,22.5,114.0333,12.91,2.5,mangrove
This study,Mai Po_123,China,22.5,114.0333,12.9,2.14,mangrove
This study,Mai Po_124,China,22.5,114.0333,12.87,3.1,mangrove
This study,Mai Po_125,China,22.5,114.0333,12.82,3.05,mangrove
This study,Mai Po_126,China,22.5,114.0333,12.81,2.5,mangrove
This study,Mai Po_127,China,22.5,114.0333,12.8,1.88,mangrove
This study,Mai Po_128,China,22.5,114.0333,12.78,2.33,mangrove
This study,Mai Po_129,China,22.5,114.0333,12.73,2.53,mangrove
This study,Mai Po_130,China,22.5,114.0333,12.71,2.41,mangrove
This study,Mai Po_131,China,22.5,114.0333,12.65,1.75,mangrove
This study,Mai Po_132,China,22.5,114.0333,12.63,1.21,mangrove
This study,Mai Po_133,China,22.5,114.0333,12.59,2.21,mangrove
This study,Mai Po_134,China,22.5,114.0333,12.58,6.19,mangrove
This study,Mai Po_135,China,22.5,114.0333,12.58,1.36,mangrove
This study,Mai Po_136,China,22.5,114.0333,12.56,2.61,mangrove
This study,Mai Po_137,China,22.5,114.0333,12.54,6.53,mangrove
This study,Mai Po_138,China,22.5,114.0333,12.53,3.2,mangrove
This study,Mai Po_139,China,22.5,114.0333,12.51,2.95,mangrove
This study,Mai Po_140,China,22.5,114.0333,12.49,1.89,mangrove
This study,Mai Po_141,China,22.5,114.0333,12.38,2.31,mangrove
This study,Mai Po_142,China,22.5,114.0333,12.36,1.47,mangrove
This study,Mai Po_143,China,22.5,114.0333,12.36,1.74,mangrove
This study,Mai Po_144,China,22.5,114.0333,12.32,2.39,mangrove
This study,Mai Po_145,China,22.5,114.0333,12.3,2.04,mangrove
This study,Mai Po_146,China,22.5,114.0333,12.23,1.4,mangrove
This study,Mai Po_147,China,22.5,114.0333,12.15,1.86,mangrove
This study,Mai Po_148,China,22.5,114.0333,12.11,2.36,mangrove
This study,Mai Po_149,China,22.5,114.0333,12.09,1.47,mangrove
This study,Mai Po_150,China,22.5,114.0333,11.96,2.17,mangrove
This study,Mai Po_151,China,22.5,114.0333,11.95,3.32,mangrove
This study,Mai Po_152,China,22.5,114.0333,11.94,2.75,mangrove
This study,Mai Po_153,China,22.5,114.0333,11.93,2.12,mangrove
This study,Mai Po_154,China,22.5,114.0333,11.87,1.57,mangrove
This study,Mai Po_155,China,22.5,114.0333,11.85,2.15,mangrove
This study,Mai Po_156,China,22.5,114.0333,11.81,3.72,mangrove
This study,Mai Po_157,China,22.5,114.0333,11.73,1.81,mangrove
This study,Mai Po_158,China,22.5,114.0333,11.69,2.65,mangrove
This study,Mai Po_159,China,22.5,114.0333,11.61,3.19,mangrove
This study,Mai Po_160,China,22.5,114.0333,11.54,1.66,mangrove
This study,Mai Po_161,China,22.5,114.0333,11.54,2.29,mangrove
This study,Mai Po_162,China,22.5,114.0333,11.5,1.99,mangrove
This study,Mai Po_163,China,22.5,114.0333,11.5,1.75,mangrove
This study,Mai Po_164,China,22.5,114.0333,11.47,1.93,mangrove
This study,Mai Po_165,China,22.5,114.0333,11.33,1.65,mangrove
This study,Mai Po_166,China,22.5,114.0333,11.26,2.29,mangrove
This study,Mai Po_167,China,22.5,114.0333,11.23,1.23,mangrove
This study,Mai Po_168,China,22.5,114.0333,11.15,3.2,mangrove
This study,Mai Po_169,China,22.5,114.0333,11.1,1.26,mangrove
This study,Mai Po_170,China,22.5,114.0333,11.06,1.48,mangrove
This study,Mai Po_171,China,22.5,114.0333,10.8,1.7,mangrove
This study,Mai Po_172,China,22.5,114.0333,10.55,1.33,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_1,Madagascar,NA,NA,3.7,0.36,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_2,Madagascar,NA,NA,3.85,0.37,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_3,Madagascar,NA,NA,4.44,0.39,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_4,Madagascar,NA,NA,3.7,0.42,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_5,Madagascar,NA,NA,4.7,0.45,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_6,Madagascar,NA,NA,4.29,0.5,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_7,Madagascar,NA,NA,3.19,0.51,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_8,Madagascar,NA,NA,4.18,0.52,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_9,Madagascar,NA,NA,4.92,0.53,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_10,Madagascar,NA,NA,5.51,0.54,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_11,Madagascar,NA,NA,2.88,0.55,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_12,Madagascar,NA,NA,3.8,0.56,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_13,Madagascar,NA,NA,4.51,0.58,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_14,Madagascar,NA,NA,3.46,0.59,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_15,Madagascar,NA,NA,4.96,0.6,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_16,Madagascar,NA,NA,3.79,0.62,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_17,Madagascar,NA,NA,3.76,0.62,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_18,Madagascar,NA,NA,3.61,0.65,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_19,Madagascar,NA,NA,3.98,0.69,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_20,Madagascar,NA,NA,3.97,0.7,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_21,Madagascar,NA,NA,3.86,0.7,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_22,Madagascar,NA,NA,4.07,0.7,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_23,Madagascar,NA,NA,2.42,0.71,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_24,Madagascar,NA,NA,4.44,0.72,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_25,Madagascar,NA,NA,4.22,0.73,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_26,Madagascar,NA,NA,4.13,0.73,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_27,Madagascar,NA,NA,3.82,0.74,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_28,Madagascar,NA,NA,5.07,0.75,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_29,Madagascar,NA,NA,4.6,0.75,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_30,Madagascar,NA,NA,3.5,0.75,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_31,Madagascar,NA,NA,4.52,0.76,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_32,Madagascar,NA,NA,2.38,0.78,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_33,Madagascar,NA,NA,3.93,0.8,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_34,Madagascar,NA,NA,4.12,0.84,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_35,Madagascar,NA,NA,4.26,0.85,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_36,Madagascar,NA,NA,4.7,0.86,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_37,Madagascar,NA,NA,5.07,0.89,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_38,Madagascar,NA,NA,4.31,0.9,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_39,Madagascar,NA,NA,5,0.91,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_40,Madagascar,NA,NA,3,0.91,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_41,Madagascar,NA,NA,3,0.93,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_42,Madagascar,NA,NA,4.22,0.94,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_43,Madagascar,NA,NA,4.08,0.96,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_44,Madagascar,NA,NA,4.68,0.97,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_45,Madagascar,NA,NA,5.38,0.97,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_46,Madagascar,NA,NA,5.01,0.98,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_47,Madagascar,NA,NA,4.27,0.98,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_48,Madagascar,NA,NA,3.6,0.98,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_49,Madagascar,NA,NA,5.07,0.99,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_50,Madagascar,NA,NA,4.21,1,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_51,Madagascar,NA,NA,3.71,1.04,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_52,Madagascar,NA,NA,4.98,1.04,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_53,Madagascar,NA,NA,4.53,1.04,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_54,Madagascar,NA,NA,4.13,1.05,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_55,Madagascar,NA,NA,5.31,1.05,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_56,Madagascar,NA,NA,4.64,1.06,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_57,Madagascar,NA,NA,5.48,1.06,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_58,Madagascar,NA,NA,5.01,1.07,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_59,Madagascar,NA,NA,4.83,1.07,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_60,Madagascar,NA,NA,4.83,1.09,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_61,Madagascar,NA,NA,4.55,1.1,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_62,Madagascar,NA,NA,4.83,1.1,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_63,Madagascar,NA,NA,5.21,1.11,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_64,Madagascar,NA,NA,4.65,1.14,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_65,Madagascar,NA,NA,5.29,1.14,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_66,Madagascar,NA,NA,5.25,1.15,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_67,Madagascar,NA,NA,5.36,1.16,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_68,Madagascar,NA,NA,5.26,1.18,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_69,Madagascar,NA,NA,5.54,1.2,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_70,Madagascar,NA,NA,5.45,1.21,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_71,Madagascar,NA,NA,4.03,1.22,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_72,Madagascar,NA,NA,4.9,1.23,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_73,Madagascar,NA,NA,4.81,1.23,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_74,Madagascar,NA,NA,5.51,1.24,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_75,Madagascar,NA,NA,5.05,1.25,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_76,Madagascar,NA,NA,4.18,1.25,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_77,Madagascar,NA,NA,4.71,1.26,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_78,Madagascar,NA,NA,4.65,1.27,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_79,Madagascar,NA,NA,4.94,1.31,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_80,Madagascar,NA,NA,4.3,1.32,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_81,Madagascar,NA,NA,5.04,1.33,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_82,Madagascar,NA,NA,4.42,1.38,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_83,Madagascar,NA,NA,4.28,1.46,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_84,Madagascar,NA,NA,4.16,1.55,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_85,Madagascar,NA,NA,5.66,1.56,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_86,Madagascar,NA,NA,4.87,1.58,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_87,Madagascar,NA,NA,4.55,1.61,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_88,Madagascar,NA,NA,5.46,1.61,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_89,Madagascar,NA,NA,5.99,1.78,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_90,Madagascar,NA,NA,4.99,1.81,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_91,Madagascar,NA,NA,6.87,1.89,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_92,Madagascar,NA,NA,5.86,1.91,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_93,Madagascar,NA,NA,5.89,1.91,mangrove
Blue Ventures Unpublished in  Jones et al 2016,madgasgar_94,Madagascar,NA,NA,7.97,2.07,mangrove
