study_id,genus,species,n_plants,height,height_unit,carbon_conversion_factor,carbon_conversion_factor_source,plant_mass_organic_matter,plant_mass_organic_matter_unit,allometric_eq_present
Dontis_et_al_2020,Panicum,species,1,16,cm,0.411,Radabaugh et al. 2017,0.19,g,yes
Dontis_et_al_2020,Panicum,species,1,15.5,cm,0.411,Radabaugh et al. 2017,0.204,g,yes
Dontis_et_al_2020,Panicum,species,1,30,cm,0.411,Radabaugh et al. 2017,0.371,g,yes
Dontis_et_al_2020,Panicum,species,1,7,cm,0.411,Radabaugh et al. 2017,0.038,g,yes
Dontis_et_al_2020,Panicum,species,1,8,cm,0.411,Radabaugh et al. 2017,0.083,g,yes
Dontis_et_al_2020,Panicum,species,1,9.5,cm,0.411,Radabaugh et al. 2017,0.062,g,yes
Dontis_et_al_2020,Panicum,species,1,15.5,cm,0.411,Radabaugh et al. 2017,0.152,g,yes
Dontis_et_al_2020,Panicum,species,1,8,cm,0.411,Radabaugh et al. 2017,0.064,g,yes
Dontis_et_al_2020,Panicum,species,1,7,cm,0.411,Radabaugh et al. 2017,0.064,g,yes
Dontis_et_al_2020,Panicum,species,1,10,cm,0.411,Radabaugh et al. 2017,0.068,g,yes
Dontis_et_al_2020,Panicum,species,1,11.5,cm,0.411,Radabaugh et al. 2017,0.112,g,yes
Dontis_et_al_2020,Panicum,species,1,13.5,cm,0.411,Radabaugh et al. 2017,0.041,g,yes
Dontis_et_al_2020,Panicum,species,1,20,cm,0.411,Radabaugh et al. 2017,0.2,g,yes
Dontis_et_al_2020,Panicum,species,1,20,cm,0.411,Radabaugh et al. 2017,0.394,g,yes
Dontis_et_al_2020,Panicum,species,1,15.5,cm,0.411,Radabaugh et al. 2017,0.15,g,yes
Dontis_et_al_2020,Panicum,species,1,31,cm,0.411,Radabaugh et al. 2017,0.384,g,yes
Dontis_et_al_2020,Panicum,species,1,27,cm,0.411,Radabaugh et al. 2017,0.245,g,yes
Dontis_et_al_2020,Panicum,species,1,9,cm,0.411,Radabaugh et al. 2017,0.05,g,yes
Dontis_et_al_2020,Panicum,species,1,17,cm,0.411,Radabaugh et al. 2017,0.282,g,yes
Dontis_et_al_2020,Panicum,species,1,23,cm,0.411,Radabaugh et al. 2017,0.309,g,yes
Dontis_et_al_2020,Panicum,species,1,24,cm,0.411,Radabaugh et al. 2017,0.362,g,yes
Dontis_et_al_2020,Panicum,species,1,28.5,cm,0.411,Radabaugh et al. 2017,0.168,g,yes
Dontis_et_al_2020,Panicum,species,1,10.5,cm,0.411,Radabaugh et al. 2017,0.093,g,yes
Dontis_et_al_2020,Panicum,species,1,6,cm,0.411,Radabaugh et al. 2017,0.036,g,yes
Dontis_et_al_2020,Panicum,species,1,17.5,cm,0.411,Radabaugh et al. 2017,0.435,g,yes
Dontis_et_al_2020,Panicum,species,1,11,cm,0.411,Radabaugh et al. 2017,0.141,g,yes
Dontis_et_al_2020,Scoparia,dulcis,1,28,cm,0.411,Radabaugh et al. 2017,0.706,g,yes
Dontis_et_al_2020,Scoparia,dulcis,1,15,cm,0.411,Radabaugh et al. 2017,0.197,g,yes
Dontis_et_al_2020,Scoparia,dulcis,1,24,cm,0.411,Radabaugh et al. 2017,0.724,g,yes
Dontis_et_al_2020,Scoparia,dulcis,1,12,cm,0.411,Radabaugh et al. 2017,0.274,g,yes
Dontis_et_al_2020,Scoparia,dulcis,1,24,cm,0.411,Radabaugh et al. 2017,0.533,g,yes
Dontis_et_al_2020,Scoparia,dulcis,1,28,cm,0.411,Radabaugh et al. 2017,0.419,g,yes
Dontis_et_al_2020,Scoparia,dulcis,1,16.5,cm,0.411,Radabaugh et al. 2017,0.214,g,yes
Dontis_et_al_2020,Scoparia,dulcis,1,19,cm,0.411,Radabaugh et al. 2017,0.225,g,yes
Dontis_et_al_2020,Scoparia,dulcis,1,23,cm,0.411,Radabaugh et al. 2017,0.464,g,yes
Dontis_et_al_2020,Scoparia,dulcis,1,25,cm,0.411,Radabaugh et al. 2017,0.419,g,yes
Dontis_et_al_2020,Scoparia,dulcis,1,15,cm,0.411,Radabaugh et al. 2017,0.366,g,yes
Dontis_et_al_2020,Scoparia,dulcis,1,39,cm,0.411,Radabaugh et al. 2017,0.867,g,yes
Dontis_et_al_2020,Scoparia,dulcis,1,35.5,cm,0.411,Radabaugh et al. 2017,0.918,g,yes
Dontis_et_al_2020,Scoparia,dulcis,1,50.5,cm,0.411,Radabaugh et al. 2017,1.277,g,yes
Dontis_et_al_2020,Scoparia,dulcis,1,44.5,cm,0.411,Radabaugh et al. 2017,1.146,g,yes
Dontis_et_al_2020,Scoparia,dulcis,1,52,cm,0.411,Radabaugh et al. 2017,2.456,g,yes
Dontis_et_al_2020,Scoparia,dulcis,1,32,cm,0.411,Radabaugh et al. 2017,1.06,g,yes
Dontis_et_al_2020,Scoparia,dulcis,1,40,cm,0.411,Radabaugh et al. 2017,0.712,g,yes
Dontis_et_al_2020,Scoparia,dulcis,1,37.5,cm,0.411,Radabaugh et al. 2017,0.827,g,yes
Dontis_et_al_2020,Scoparia,dulcis,1,51,cm,0.411,Radabaugh et al. 2017,3.893,g,yes
Dontis_et_al_2020,Scoparia,dulcis,1,36,cm,0.411,Radabaugh et al. 2017,1.351,g,yes
Dontis_et_al_2020,Scoparia,dulcis,1,45,cm,0.411,Radabaugh et al. 2017,1.07,g,yes
Dontis_et_al_2020,Scoparia,dulcis,1,47,cm,0.411,Radabaugh et al. 2017,1.629,g,yes
Dontis_et_al_2020,Scoparia,dulcis,1,42,cm,0.411,Radabaugh et al. 2017,1.227,g,yes
Dontis_et_al_2020,Scoparia,dulcis,1,43,cm,0.411,Radabaugh et al. 2017,2.16,g,yes
Dontis_et_al_2020,Scoparia,dulcis,1,56,cm,0.411,Radabaugh et al. 2017,6.63,g,yes
Dontis_et_al_2020,Scoparia,dulcis,1,74.5,cm,0.411,Radabaugh et al. 2017,9.902,g,yes
Dontis_et_al_2020,Scoparia,dulcis,1,61,cm,0.411,Radabaugh et al. 2017,3.502,g,yes
Dontis_et_al_2020,Scoparia,dulcis,1,72,cm,0.411,Radabaugh et al. 2017,13.73,g,yes
Dontis_et_al_2020,Scoparia,dulcis,1,12,cm,0.411,Radabaugh et al. 2017,0.187,g,yes
Dontis_et_al_2020,Scoparia,dulcis,1,13,cm,0.411,Radabaugh et al. 2017,0.183,g,yes
Dontis_et_al_2020,Scoparia,dulcis,1,36.5,cm,0.411,Radabaugh et al. 2017,0.508,g,yes
Dontis_et_al_2020,Scoparia,dulcis,1,31.5,cm,0.411,Radabaugh et al. 2017,0.618,g,yes
Dontis_et_al_2020,Scoparia,dulcis,1,19,cm,0.411,Radabaugh et al. 2017,0.288,g,yes
Dontis_et_al_2020,Scoparia,dulcis,1,35,cm,0.411,Radabaugh et al. 2017,1.009,g,yes
Dontis_et_al_2020,Scoparia,dulcis,1,62,cm,0.411,Radabaugh et al. 2017,6.07,g,yes
Dontis_et_al_2020,Scoparia,dulcis,1,37,cm,0.411,Radabaugh et al. 2017,2.909,g,yes
